variant,reward_r,reversal_signal_type,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,1.2,unclear,109,109,56,53,51.38,818.8,1.334,7.51,0.13,275.35,2.54,51.38,45.87,0,0,0,0,0.785,0.961,16710154403.67,20052185284.404,0.084
current_thirdwave,1.3,unclear,109,109,54,55,49.54,861.08,1.338,7.9,0.139,284.03,2.73,49.54,47.71,0,0,0,0,0.81,1.034,16710154403.67,21723200724.771,0.084
current_thirdwave,1.5,unclear,109,109,53,56,48.62,1214.98,1.467,11.15,0.206,302.82,2.72,47.71,48.62,0,0,0,0,0.834,1.112,16710154403.67,25065231605.505,0.084
v4_all_signals,1.2,candle_reversal,80,80,40,40,50.0,703.26,1.366,8.79,0.1,348.95,3.18,50.0,50.0,0,0,0,0,0.784,1.009,17589342375.0,21107210850.0,0.124
v4_all_signals,1.2,confirmed_fractal_reclaim,3,3,1,2,33.33,-30.43,0.64,-10.14,-0.267,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.599,21960000000.0,26352000000.0,0.027
v4_all_signals,1.2,early_higher_low,49,49,22,27,44.9,16.42,1.013,0.34,0.001,412.74,3.98,44.9,53.06,0,0,0,0,0.946,0.856,8637775510.204,10365330612.245,0.119
v4_all_signals,1.2,early_lower_high,41,41,21,20,51.22,267.31,1.258,6.52,0.127,275.64,2.63,51.22,46.34,0,0,0,0,0.741,0.941,18324739756.098,21989687707.317,0.172
v4_all_signals,1.2,micro_break,20,20,16,4,80.0,733.42,4.789,36.67,0.76,96.31,0.96,80.0,20.0,0,0,0,0,0.589,1.218,8746466000.0,10495759200.0,0.169
v4_all_signals,1.2,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,13380000000.0,0.04
v4_all_signals,1.3,candle_reversal,80,80,38,42,47.5,698.1,1.346,8.73,0.093,437.43,3.95,47.5,52.5,0,0,0,0,0.8,1.051,17589342375.0,22866145087.5,0.124
v4_all_signals,1.3,confirmed_fractal_reclaim,3,3,1,2,33.33,-25.93,0.693,-8.64,-0.233,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.677,21960000000.0,28548000000.0,0.027
v4_all_signals,1.3,early_higher_low,49,49,21,28,42.86,27.52,1.022,0.56,-0.001,482.81,4.62,42.86,55.1,0,0,0,0,0.962,0.915,8637775510.204,11229108163.265,0.119
v4_all_signals,1.3,early_lower_high,41,41,19,22,46.34,147.68,1.13,3.6,0.066,251.15,2.43,46.34,51.22,0,0,0,0,0.781,0.981,18324739756.098,23822161682.927,0.172
