period,variant,scenario,sl_mode,reward_r,evaluations,setup_pass,entry_pass,orders_sent,orders_failed,sl_too_close,sl_too_tight,sl_too_wide,invalid_stops,market_closed,spread_guard,execution_order_failed,top_structure_stage_fail_reason,top_structure_stage_fail_reason_rows,top_execution_block_reason,top_execution_block_reason_rows,top_skip_reason,top_skip_reason_rows
2025-08,v4_micro_or_candle_lower_tf_sl_1_3R,v4_micro_or_candle_lower_tf_sl_1_3R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,84154,6459,38,24,0,57,6,528,2,0,70672,0,regime_requires_trend_down,37185,spread_guard,191,regime_requires_trend_down,37185
2025-08,v4_micro_or_candle_lower_tf_sl_1_5R,v4_micro_or_candle_lower_tf_sl_1_5R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.5,84154,6459,38,23,0,57,6,528,2,0,70672,0,regime_requires_trend_down,37185,spread_guard,191,regime_requires_trend_down,37185
2025-08,v4_without_weak_lower_tf_sl_1_2R,v4_without_weak_lower_tf_sl_1_2R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,84154,6459,52,28,0,60,13,605,3,0,70672,0,regime_requires_trend_down,37185,spread_guard,252,regime_requires_trend_down,37185
2025-08,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,84154,6459,52,26,0,60,13,605,3,0,70672,0,regime_requires_trend_down,37185,spread_guard,252,regime_requires_trend_down,37185
2025-10,current_thirdwave_current_sl_1_5R,current_thirdwave_current_sl_1_5R,THIRD_WAVE_SL_CURRENT,1.5,87514,7723,43,20,0,19,0,873,0,0,71726,0,regime_requires_trend_down,37393,spread_guard,172,regime_requires_trend_down,37393
2025-10,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,THIRD_WAVE_SL_CURRENT,1.5,87514,7723,59,25,0,31,0,740,0,0,71726,0,regime_requires_trend_down,37393,spread_guard,250,regime_requires_trend_down,37393
2025-10,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,87514,7723,52,23,0,31,13,754,3,0,71726,0,regime_requires_trend_down,37393,spread_guard,231,regime_requires_trend_down,37393
2025-10,v4_micro_or_candle_lower_tf_sl_1_3R,v4_micro_or_candle_lower_tf_sl_1_3R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,87514,7723,52,23,0,31,13,754,3,0,71726,0,regime_requires_trend_down,37393,spread_guard,231,regime_requires_trend_down,37393
2025-10,v4_micro_or_candle_lower_tf_sl_1_5R,v4_micro_or_candle_lower_tf_sl_1_5R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.5,87514,7723,52,23,0,31,13,754,3,0,71726,0,regime_requires_trend_down,37393,spread_guard,231,regime_requires_trend_down,37393
2025-10,v4_without_weak_lower_tf_sl_1_2R,v4_without_weak_lower_tf_sl_1_2R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,87514,7723,61,27,0,45,27,892,6,0,71726,0,regime_requires_trend_down,37393,spread_guard,344,regime_requires_trend_down,37393
2025-10,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,87514,7723,61,27,0,45,27,892,6,0,71726,0,regime_requires_trend_down,37393,spread_guard,344,regime_requires_trend_down,37393
2026-Q1,current_thirdwave_current_sl_1_5R,current_thirdwave_current_sl_1_5R,THIRD_WAVE_SL_CURRENT,1.5,248850,20572,151,60,0,47,0,2210,0,0,203588,0,regime_requires_trend_down,107014,spread_guard,490,regime_requires_trend_down,107014
2026-Q1,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,THIRD_WAVE_SL_CURRENT,1.5,248850,20572,176,73,0,100,0,1921,0,0,203588,0,regime_requires_trend_down,107014,spread_guard,628,regime_requires_trend_down,107014
2026-Q1,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,248850,20572,142,68,0,100,50,1955,7,0,203588,0,regime_requires_trend_down,107014,spread_guard,580,regime_requires_trend_down,107014
2026-Q1,v4_micro_or_candle_lower_tf_sl_1_3R,v4_micro_or_candle_lower_tf_sl_1_3R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,248850,20572,142,67,0,100,50,1955,7,0,203588,0,regime_requires_trend_down,107014,spread_guard,580,regime_requires_trend_down,107014
2026-Q1,v4_micro_or_candle_lower_tf_sl_1_5R,v4_micro_or_candle_lower_tf_sl_1_5R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.5,248850,20572,142,66,0,100,50,1955,7,0,203588,0,regime_requires_trend_down,107014,spread_guard,580,regime_requires_trend_down,107014
2026-Q1,v4_without_weak_lower_tf_sl_1_2R,v4_without_weak_lower_tf_sl_1_2R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,248850,20572,206,85,0,139,69,2342,12,0,203588,0,regime_requires_trend_down,107014,spread_guard,815,regime_requires_trend_down,107014
2026-Q1,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,248850,20572,206,83,0,139,69,2342,12,0,203588,0,regime_requires_trend_down,107014,spread_guard,815,regime_requires_trend_down,107014
