variant,sl_mode,symbol,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,CURRENT_SL,EURJPY,3,3,3,0,100.0,199.91,,66.64,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.241,1.53,237000000.0,316000000.0,0.32
current_thirdwave,CURRENT_SL,EURUSD,9,9,6,3,66.67,257.54,2.663,28.62,0.556,154.86,1.52,66.67,33.33,0,0,0,0,0.699,1.358,1630000.0,2173333.333,0.33
current_thirdwave,CURRENT_SL,GBPUSD,9,9,3,6,33.33,-89.07,0.697,-9.9,-0.222,294.27,2.88,33.33,33.33,0,0,0,0,0.746,0.959,3313333.333,4417777.778,0.18
current_thirdwave,CURRENT_SL,USDJPY,33,33,15,18,45.45,107.74,1.122,3.26,0.061,387.4,3.71,45.45,54.55,0,0,0,0,0.838,0.831,365000000.0,486666666.667,0.276
current_thirdwave,CURRENT_SL,XAUUSD,273,273,136,137,49.82,2418.74,1.386,8.86,0.157,859.35,7.74,49.45,47.99,0,0,0,0,0.818,1.046,19968571428.571,26624761904.762,0.047
current_thirdwave,LOWER_TF_REVERSAL_SL,EURJPY,3,3,3,0,100.0,199.91,,66.64,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.257,1.572,222000000.0,296000000.0,0.342
current_thirdwave,LOWER_TF_REVERSAL_SL,EURUSD,9,9,9,0,100.0,618.88,,68.76,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.318,1.566,1193333.333,1591111.111,0.464
current_thirdwave,LOWER_TF_REVERSAL_SL,GBPUSD,9,6,3,3,50.0,55.66,1.386,9.28,0.167,144.3,1.41,33.33,33.33,0,0,3,0,0.689,0.729,2625000.0,3500000.0,0.188
current_thirdwave,LOWER_TF_REVERSAL_SL,USDJPY,33,24,9,15,37.5,-151.04,0.795,-6.29,-0.125,447.15,4.36,27.27,45.45,0,0,6,3,0.998,0.777,221125000.0,294833333.333,0.403
current_thirdwave,LOWER_TF_REVERSAL_SL,XAUUSD,273,195,72,123,36.92,-1166.91,0.787,-5.98,-0.132,2121.08,20.24,25.64,42.86,0,3,72,3,0.893,0.872,11645692307.692,15527589743.59,0.068
current_thirdwave,MID_TF_STRUCTURE_SL,EURJPY,3,3,3,0,100.0,199.91,,66.64,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.241,1.53,237000000.0,316000000.0,0.32
current_thirdwave,MID_TF_STRUCTURE_SL,EURUSD,9,9,6,3,66.67,257.54,2.663,28.62,0.556,154.86,1.52,66.67,33.33,0,0,0,0,0.699,1.358,1630000.0,2173333.333,0.33
current_thirdwave,MID_TF_STRUCTURE_SL,GBPUSD,9,9,3,6,33.33,-89.07,0.697,-9.9,-0.222,294.27,2.88,33.33,33.33,0,0,0,0,0.746,0.959,3313333.333,4417777.778,0.18
current_thirdwave,MID_TF_STRUCTURE_SL,USDJPY,33,33,15,18,45.45,107.74,1.122,3.26,0.061,387.4,3.71,45.45,54.55,0,0,0,0,0.838,0.831,365000000.0,486666666.667,0.276
current_thirdwave,MID_TF_STRUCTURE_SL,XAUUSD,273,273,136,137,49.82,2418.74,1.386,8.86,0.157,859.35,7.74,49.45,47.99,0,0,0,0,0.818,1.046,19968571428.571,26624761904.762,0.047
v4_all_signals,CURRENT_SL,EURJPY,6,6,6,0,100.0,412.82,,68.8,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.304,1.477,335000000.0,446666666.667,0.255
v4_all_signals,CURRENT_SL,EURUSD,18,18,15,3,83.33,924.53,6.515,51.36,0.943,167.64,1.68,83.33,0.0,0,0,0,0,0.355,1.353,1233333.333,1644444.444,0.518
v4_all_signals,CURRENT_SL,GBPJPY,18,18,9,9,50.0,138.89,1.298,7.72,0.167,300.15,2.94,50.0,50.0,0,0,0,0,0.844,1.059,343000000.0,457333333.333,0.278
