period,run,scenario,fail_reason,label,structural_bos_state,rows
2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,spread_guard,neckline_break_late,not_evaluated,6
2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,spread_guard,neckline_break_initial,not_evaluated,2
2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,spread_guard,clean_nested_nwave_entry,not_evaluated,1
2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_retest_confirmation_break,h1_counter_trend_nwave,not_evaluated,490
2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_retest_trigger,h1_counter_trend_nwave,not_evaluated,96
2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,sl_too_wide,sl_too_wide,not_evaluated,58
2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_retest_detected,h1_counter_trend_nwave,not_evaluated,36
2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_invalidated,h1_counter_trend_nwave,not_evaluated,18
2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,spread_guard,retest_then_go_after_return_inside,not_evaluated,3
2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,spread_guard,retest_confirmation_entry,not_evaluated,1
2025-02,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,no_retest_confirmation_break,h1_counter_trend_nwave,not_evaluated,437
2025-02,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,sl_too_wide,sl_too_wide,not_evaluated,170
2025-02,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,no_retest_trigger,h1_counter_trend_nwave,not_evaluated,43
2025-02,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,dirty_breakout,dirty_breakout,not_evaluated,27
2025-02,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,retest_invalidated,h1_counter_trend_nwave,not_evaluated,18
2025-02,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,weak_breakout_waiting_retest,weak_breakout,not_evaluated,11
2025-02,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,spread_guard,strong_breakout,not_evaluated,1
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,no_retest_confirmation_break,h1_counter_trend_nwave,not_evaluated,437
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,sl_too_wide,sl_too_wide,not_evaluated,170
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,no_retest_trigger,h1_counter_trend_nwave,not_evaluated,43
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,retest_invalidated,h1_counter_trend_nwave,not_evaluated,18
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,context_router_dirty_wait_retest,dirty_breakout_mixed_context,not_evaluated,13
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,context_router_dirty_wait_retest,dirty_breakout_clean_context,not_evaluated,8
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,context_router_dirty_poor_context,dirty_breakout_poor_context,not_evaluated,6
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,context_router_weak_wait_retest,weak_breakout_mixed_context,not_evaluated,4
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,context_router_v2_weak_body_too_small,weak_breakout_clean_context_body_too_small,not_evaluated,2
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,spread_guard,weak_breakout_clean_context,not_evaluated,1
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,spread_guard,strong_breakout_clean_context,not_evaluated,1
2025-02,E,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,spread_guard,late_entry,h1_bos_confirmed,5
2025-02,E,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,spread_guard,clean_structural_bos,h1_bos_confirmed,2
2025-08,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,spread_guard,neckline_break_late,not_evaluated,10
2025-08,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,spread_guard,neckline_break_initial,not_evaluated,4
2025-08,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,spread_guard,clean_nested_nwave_entry,not_evaluated,2
2025-08,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_retest_confirmation_break,h1_counter_trend_nwave,not_evaluated,317
2025-08,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_retest_trigger,h1_counter_trend_nwave,not_evaluated,72
2025-08,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,sl_too_wide,sl_too_wide,not_evaluated,58
2025-08,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_invalidated,h1_counter_trend_nwave,not_evaluated,13
2025-08,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_retest_detected,h1_counter_trend_nwave,not_evaluated,9
2025-08,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,spread_guard,retest_confirmation_entry,not_evaluated,3
2025-08,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,spread_guard,retest_then_go_after_return_inside,not_evaluated,2
2025-08,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,no_retest_confirmation_break,h1_counter_trend_nwave,not_evaluated,299
2025-08,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,sl_too_wide,sl_too_wide,not_evaluated,104
2025-08,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,no_retest_trigger,h1_counter_trend_nwave,not_evaluated,41
2025-08,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,dirty_breakout,dirty_breakout,not_evaluated,14
2025-08,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,retest_invalidated,h1_counter_trend_nwave,not_evaluated,13
2025-08,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,weak_breakout_waiting_retest,weak_breakout,not_evaluated,5
2025-08,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,no_retest_confirmation_break,h1_counter_trend_nwave,not_evaluated,299
2025-08,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,sl_too_wide,sl_too_wide,not_evaluated,104
2025-08,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,no_retest_trigger,h1_counter_trend_nwave,not_evaluated,41
2025-08,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,retest_invalidated,h1_counter_trend_nwave,not_evaluated,13
2025-08,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,context_router_dirty_wait_retest,dirty_breakout_mixed_context,not_evaluated,7
2025-08,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,context_router_dirty_poor_context,dirty_breakout_poor_context,not_evaluated,5
2025-08,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,spread_guard,weak_breakout_clean_context,not_evaluated,3
2025-08,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,context_router_dirty_wait_retest,dirty_breakout_clean_context,not_evaluated,2
2025-08,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,context_router_weak_wait_retest,weak_breakout_mixed_context,not_evaluated,2
2025-08,E,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,spread_guard,clean_structural_bos,m15_countertrend_bos_confirmed,3
2025-08,E,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,spread_guard,clean_structural_bos,h1_bos_confirmed,3
2025-08,E,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,spread_guard,late_entry,h1_bos_confirmed,1
2025-10,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,spread_guard,neckline_break_late,not_evaluated,11
2025-10,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,spread_guard,neckline_break_initial,not_evaluated,3
2025-10,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,spread_guard,clean_nested_nwave_entry,not_evaluated,3
2025-10,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_retest_confirmation_break,h1_counter_trend_nwave,not_evaluated,285
2025-10,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_retest_trigger,h1_counter_trend_nwave,not_evaluated,99
2025-10,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,sl_too_wide,sl_too_wide,not_evaluated,65
2025-10,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_retest_detected,h1_counter_trend_nwave,not_evaluated,27
2025-10,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_invalidated,h1_counter_trend_nwave,not_evaluated,19
2025-10,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,spread_guard,retest_confirmation_entry,not_evaluated,3
2025-10,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,spread_guard,retest_then_go_after_return_inside,not_evaluated,3
2025-10,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,no_retest_confirmation_break,h1_counter_trend_nwave,not_evaluated,235
