period,run,scenario,execution_block_reason,rows
2025,A,ThirdWave_BOTH,spread_guard,4401
2025,A,ThirdWave_BOTH,position_limit,859
2025,A,ThirdWave_BOTH,order_failed,13
2025,B,ThirdWave_LONG_ONLY,spread_guard,1968
2025,B,ThirdWave_LONG_ONLY,position_limit,468
2025,C,ThirdWave_SHORT_ONLY,spread_guard,2433
2025,C,ThirdWave_SHORT_ONLY,position_limit,369
2025,C,ThirdWave_SHORT_ONLY,order_failed,13
2024,A,ThirdWave_BOTH,spread_guard,4431
2024,A,ThirdWave_BOTH,position_limit,565
2024,B,ThirdWave_LONG_ONLY,spread_guard,2147
2024,B,ThirdWave_LONG_ONLY,position_limit,311
2024,C,ThirdWave_SHORT_ONLY,spread_guard,2284
2024,C,ThirdWave_SHORT_ONLY,position_limit,238
2026YTD,A,ThirdWave_BOTH,spread_guard,1672
2026YTD,A,ThirdWave_BOTH,position_limit,347
2026YTD,B,ThirdWave_LONG_ONLY,spread_guard,771
2026YTD,B,ThirdWave_LONG_ONLY,position_limit,197
2026YTD,C,ThirdWave_SHORT_ONLY,spread_guard,901
2026YTD,C,ThirdWave_SHORT_ONLY,position_limit,143
