variant,reward_r,symbol,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,1.2,EURJPY,1,1,1,0,100.0,59.97,,59.97,1.2,0.0,0.0,100.0,0.0,0,0,0,0,0.24,1.473,237000000.0,284400000.0,0.32
current_thirdwave,1.2,EURUSD,3,3,2,1,66.67,72.1,2.397,24.03,0.467,51.62,0.51,66.67,33.33,0,0,0,0,0.699,1.311,1630000.0,1956000.0,0.33
current_thirdwave,1.2,GBPUSD,3,3,1,2,33.33,-36.53,0.628,-12.18,-0.267,98.09,0.97,33.33,33.33,0,0,0,0,0.746,0.959,3313333.333,3976000.0,0.18
current_thirdwave,1.2,USDJPY,11,11,5,6,45.45,2.86,1.01,0.26,-0.0,136.03,1.34,45.45,54.55,0,0,0,0,0.831,0.739,365000000.0,438000000.0,0.276
current_thirdwave,1.2,XAUUSD,91,91,47,44,51.65,720.4,1.359,7.92,0.136,258.3,2.41,51.65,46.15,0,0,0,0,0.79,0.97,19968571428.571,23962285714.286,0.047
current_thirdwave,1.3,EURJPY,1,1,1,0,100.0,64.97,,64.97,1.3,0.0,0.0,100.0,0.0,0,0,0,0,0.24,1.473,237000000.0,308100000.0,0.32
current_thirdwave,1.3,EURUSD,3,3,2,1,66.67,82.41,2.596,27.47,0.533,51.62,0.51,66.67,33.33,0,0,0,0,0.699,1.35,1630000.0,2119000.0,0.33
current_thirdwave,1.3,GBPUSD,3,3,1,2,33.33,-31.4,0.68,-10.47,-0.233,98.09,0.97,33.33,33.33,0,0,0,0,0.746,0.959,3313333.333,4307333.333,0.18
current_thirdwave,1.3,USDJPY,11,11,5,6,45.45,27.64,1.094,2.51,0.045,130.86,1.29,45.45,54.55,0,0,0,0,0.831,0.819,365000000.0,474500000.0,0.276
current_thirdwave,1.3,XAUUSD,91,91,45,46,49.45,717.46,1.341,7.88,0.137,325.91,3.16,49.45,48.35,0,0,0,0,0.819,1.047,19968571428.571,25959142857.143,0.047
current_thirdwave,1.5,EURJPY,1,1,1,0,100.0,74.97,,74.97,1.5,0.0,0.0,100.0,0.0,0,0,0,0,0.24,1.646,237000000.0,355500000.0,0.32
current_thirdwave,1.5,EURUSD,3,3,2,1,66.67,103.03,2.996,34.34,0.667,51.62,0.51,66.67,33.33,0,0,0,0,0.699,1.412,1630000.0,2445000.0,0.33
current_thirdwave,1.5,GBPUSD,3,3,1,2,33.33,-21.14,0.784,-7.05,-0.167,98.09,0.97,33.33,33.33,0,0,0,0,0.746,0.959,3313333.333,4970000.0,0.18
current_thirdwave,1.5,USDJPY,11,11,5,6,45.45,77.24,1.262,7.02,0.136,120.51,1.18,45.45,54.55,0,0,0,0,0.851,0.935,365000000.0,547500000.0,0.276
current_thirdwave,1.5,XAUUSD,91,91,44,47,48.35,980.88,1.455,10.78,0.197,308.45,2.97,47.25,49.45,0,0,0,0,0.846,1.122,19968571428.571,29952857142.857,0.047
v4_all_signals,1.2,EURJPY,2,2,2,0,100.0,123.84,,61.92,1.2,0.0,0.0,100.0,0.0,0,0,0,0,0.304,1.42,335000000.0,402000000.0,0.255
