pullback_depth_band,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct
18-25,7,5,2,71.43,244.96,3.46,34.99,0.795,99.58,1.0
25-38.2,11,5,6,45.45,170.01,1.617,15.46,0.139,96.18,0.96
38.2-50,20,9,11,45.0,140.36,1.282,7.02,0.182,185.84,1.81
50-61.8,21,10,11,47.62,240.25,1.457,11.44,0.225,232.66,2.25
61.8-75,22,12,10,54.55,457.43,1.981,20.79,0.363,117.03,1.15
75-90,28,12,16,42.86,35.95,1.047,1.28,0.035,316.64,3.09
