period,variant,direction,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount
2024,current_thirdwave_current_sl_1_5R,LONG,106,48,58,45.28,542.88,1.18,5.12,0.155,690.84,6.46,8,-406.13,5.15,537.73,542.88,0,74.53,100.0,494.4,3.194,741.7,4.791,0.164,0.55,49.16
2024,current_thirdwave_current_sl_1_5R,SHORT,72,30,42,41.67,171.37,1.08,2.38,0.039,451.83,4.3,5,-248.62,151.49,19.88,0,171.37,59.72,100.0,477.4,3.022,716.2,4.532,0.181,0.69,49.94
2024,v4_micro_or_candle_lower_tf_sl_1_2R,LONG,137,65,72,47.45,-49.53,0.986,-0.36,0.057,864.83,8.4,7,-362.87,-3.74,-45.79,-49.53,0,74.45,100.0,377.5,2.46,453.0,2.952,0.194,0.96,45.98
2024,v4_micro_or_candle_lower_tf_sl_1_2R,SHORT,103,44,59,42.72,-372.82,0.866,-3.62,-0.08,687.23,6.76,7,-326.48,-155.42,-217.4,0,-372.82,56.31,100.0,345.5,2.167,414.6,2.6,0.209,0.71,45.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,LONG,135,63,72,46.67,121.71,1.034,0.9,0.086,740.61,7.21,7,-362.87,120.02,1.69,121.71,0,74.81,100.0,376.2,2.459,489.1,3.196,0.194,0.96,46.01
2024,v4_micro_or_candle_lower_tf_sl_1_3R,SHORT,103,41,62,39.81,-488.76,0.833,-4.75,-0.105,747.29,7.41,7,-326.48,-180.81,-307.95,0,-488.76,56.31,100.0,344.9,2.168,448.4,2.818,0.209,0.71,45.93
2024,v4_without_weak_lower_tf_sl_1_3R,LONG,135,63,72,46.67,153.46,1.045,1.14,0.086,708.78,6.91,7,-331.73,112.84,40.62,153.46,0,74.81,100.0,376.2,2.459,489.1,3.196,0.19,0.95,44.75
2024,v4_without_weak_lower_tf_sl_1_3R,SHORT,150,56,94,37.33,-1065.34,0.756,-7.1,-0.151,1172.12,11.63,9,-405.06,-564.35,-500.99,0,-1065.34,52.0,100.0,345.2,2.103,448.7,2.734,0.219,0.87,45.01
2025,current_thirdwave_current_sl_1_5R,LONG,160,62,98,38.75,-550.52,0.881,-3.44,-0.035,1090.69,10.51,10,-499.51,-210.91,-339.61,-550.52,0,81.88,100.0,813.4,3.203,1220.1,4.805,0.094,0.51,45.54
2025,current_thirdwave_current_sl_1_5R,SHORT,109,44,65,40.37,118.54,1.038,1.09,0.029,533.5,5.15,6,-288.2,-199.91,318.45,0,118.54,66.97,100.0,735.0,3.057,1102.6,4.585,0.119,0.8,46.48
2025,v4_micro_or_candle_lower_tf_sl_1_2R,LONG,188,100,88,53.19,1389.23,1.321,7.39,0.18,289.55,2.82,5,-253.21,264.82,1124.41,1389.23,0,82.98,100.0,656.1,2.417,787.3,2.901,0.116,0.75,47.32
2025,v4_micro_or_candle_lower_tf_sl_1_2R,SHORT,149,63,86,42.28,-545.62,0.872,-3.66,-0.067,881.46,8.6,8,-388.88,-347.98,-197.64,0,-545.62,61.07,100.0,546.8,2.318,656.2,2.782,0.199,0.83,48.24
2025,v4_micro_or_candle_lower_tf_sl_1_3R,LONG,186,94,92,50.54,1275.26,1.285,6.86,0.173,367.76,3.59,5,-253.21,172.12,1103.14,1275.26,0,83.33,100.0,659.8,2.41,857.8,3.133,0.114,0.72,46.75
2025,v4_micro_or_candle_lower_tf_sl_1_3R,SHORT,149,60,89,40.27,-550.41,0.873,-3.69,-0.07,848.51,8.33,8,-374.74,-456.78,-93.63,0,-550.41,61.07,100.0,547.4,2.319,711.6,3.015,0.196,0.83,47.38
2025,v4_without_weak_lower_tf_sl_1_3R,LONG,186,94,92,50.54,1267.28,1.283,6.81,0.173,360.3,3.52,5,-264.72,175.32,1091.96,1267.28,0,83.33,100.0,659.8,2.41,857.8,3.133,0.114,0.74,46.79
2025,v4_without_weak_lower_tf_sl_1_3R,SHORT,202,85,117,42.08,-148.93,0.974,-0.74,-0.01,816.36,8.0,12,-578.32,-695.95,547.02,0,-148.93,55.94,100.0,519.7,2.301,675.6,2.991,0.2,0.85,47.89
2026YTD,current_thirdwave_current_sl_1_5R,LONG,37,16,21,43.24,104.0,1.101,2.81,0.093,323.43,3.13,4,-176.67,-49.77,153.77,104.0,0,97.3,100.0,1819.9,3.151,2729.8,4.727,0.041,0.31,44.9
2026YTD,current_thirdwave_current_sl_1_5R,SHORT,58,28,30,48.28,761.75,1.534,13.13,0.205,215.21,1.98,4,-198.96,59.41,702.34,0,761.75,84.48,100.0,2185.8,2.789,3278.7,4.183,0.064,0.44,49.26
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,LONG,44,21,23,47.73,-18.73,0.985,-0.43,0.038,415.43,4.0,6,-317.77,-171.04,152.31,-18.73,0,88.64,100.0,1339.9,2.498,1607.9,2.998,0.074,0.4,47.85
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,SHORT,78,42,36,53.85,940.39,1.517,12.06,0.209,339.52,3.03,6,-313.24,577.22,363.17,0,940.39,82.05,100.0,2090.6,2.336,2508.7,2.803,0.081,0.61,51.37
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,LONG,44,20,24,45.45,-67.67,0.948,-1.54,0.025,531.55,5.1,6,-332.6,-165.3,97.63,-67.67,0,88.64,100.0,1339.9,2.498,1741.9,3.247,0.074,0.4,48.81
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,SHORT,78,39,39,50.0,852.51,1.447,10.93,0.17,486.19,4.32,6,-276.3,499.34,353.17,0,852.51,82.05,100.0,2045.0,2.309,2658.5,3.002,0.081,0.61,50.45
2026YTD,v4_without_weak_lower_tf_sl_1_3R,LONG,44,20,24,45.45,-41.77,0.967,-0.95,0.025,513.16,4.92,6,-314.21,-161.74,119.97,-41.77,0,88.64,100.0,1339.9,2.498,1741.9,3.247,0.073,0.4,47.66
2026YTD,v4_without_weak_lower_tf_sl_1_3R,SHORT,103,49,54,47.57,716.66,1.274,6.96,0.096,430.69,3.9,5,-217.87,377.88,338.78,0,716.66,79.61,100.0,1901.0,2.282,2471.4,2.967,0.095,1.0,49.61
