period,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,ThirdWave_original_BOTH,not_used:LONG,193,75,118,38.86,-501.32,5114.92,-5616.24,0.911,-2.6,68.2,-47.6
2024,ThirdWave_original_BOTH,not_used:SHORT,162,61,101,37.65,-412.72,4236.07,-4648.79,0.911,-2.55,69.44,-46.03
2024,ThirdWave_regime_BOTH,REGIME_TREND_DOWN:SHORT,60,25,35,41.67,162.38,1936.61,-1774.23,1.092,2.71,77.46,-50.69
2024,ThirdWave_regime_BOTH,REGIME_TREND_UP:LONG,99,46,53,46.46,670.03,3435.49,-2765.46,1.242,6.77,74.68,-52.18
2024,ThirdWave_regime_LONG_ONLY,REGIME_TREND_UP:LONG,100,46,54,46.0,595.83,3387.82,-2791.99,1.213,5.96,73.65,-51.7
2024,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_DOWN:SHORT,65,28,37,43.08,257.93,2058.81,-1800.88,1.143,3.97,73.53,-48.67
2025,ThirdWave_original_BOTH,not_used:LONG,262,99,163,37.79,-1051.26,6496.46,-7547.72,0.861,-4.01,65.62,-46.31
2025,ThirdWave_original_BOTH,not_used:SHORT,189,80,109,42.33,586.85,5504.14,-4917.29,1.119,3.11,68.8,-45.11
2025,ThirdWave_regime_BOTH,REGIME_TREND_DOWN:SHORT,96,39,57,40.62,209.54,2850.29,-2640.75,1.079,2.18,73.08,-46.33
2025,ThirdWave_regime_BOTH,REGIME_TREND_UP:LONG,151,56,95,37.09,-776.56,3654.25,-4430.81,0.825,-5.14,65.25,-46.64
2025,ThirdWave_regime_LONG_ONLY,REGIME_TREND_UP:LONG,156,59,97,37.82,-660.2,3853.08,-4513.28,0.854,-4.23,65.31,-46.53
2025,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_DOWN:SHORT,104,40,64,38.46,-75.55,2947.6,-3023.15,0.975,-0.73,73.69,-47.24
2026YTD,ThirdWave_original_BOTH,not_used:LONG,92,39,53,42.39,128.51,2661.97,-2533.46,1.051,1.4,68.26,-47.8
2026YTD,ThirdWave_original_BOTH,not_used:SHORT,97,43,54,44.33,727.6,3259.65,-2532.05,1.287,7.5,75.81,-46.89
2026YTD,ThirdWave_regime_BOTH,REGIME_TREND_DOWN:SHORT,51,25,26,49.02,705.15,1964.53,-1259.38,1.56,13.83,78.58,-48.44
2026YTD,ThirdWave_regime_BOTH,REGIME_TREND_UP:LONG,37,16,21,43.24,104.0,1130.66,-1026.66,1.101,2.81,70.67,-48.89
2026YTD,ThirdWave_regime_LONG_ONLY,REGIME_TREND_UP:LONG,37,16,21,43.24,116.2,1130.66,-1014.46,1.115,3.14,70.67,-48.31
2026YTD,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_DOWN:SHORT,52,25,27,48.08,674.93,1962.56,-1287.63,1.524,12.98,78.5,-47.69
