min_trades,rank,enabled_conditions,condition_count,candidates,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,symbols_count,periods_count,period_distribution,symbol_distribution,direction_distribution
5,16,cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_true_bos_level;cond_m15_prev_extreme_bos,4,8,8,62.5,2.943,0.869,294.8,51.48,0.5,1.611,0.981,62.5,62.5,39.78,255.02,-82.99,377.79,3,3,2025-02:1;2025-08:2;2026-Q1:5,AUDJPY:1;USDJPY:4;XAUUSD:3,LONG:4;SHORT:4
5,17,cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_counter_wave_atr,3,5,5,60.0,2.676,0.796,168.01,50.9,0.5,1.598,0.912,60.0,60.0,99.28,68.73,-31.51,199.52,3,3,2025-02:2;2025-08:1;2026-Q1:2,EURUSD:1;USDJPY:3;XAUUSD:1,LONG:3;SHORT:2
5,18,cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr,4,5,5,60.0,2.676,0.796,168.01,50.9,0.5,1.598,0.912,60.0,60.0,99.28,68.73,-31.51,199.52,3,3,2025-02:2;2025-08:1;2026-Q1:2,EURUSD:1;USDJPY:3;XAUUSD:1,LONG:3;SHORT:2
5,19,cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_true_bos_level,4,5,5,60.0,2.676,0.796,168.01,50.9,0.5,1.598,0.912,60.0,60.0,99.28,68.73,-31.51,199.52,3,3,2025-02:2;2025-08:1;2026-Q1:2,EURUSD:1;USDJPY:3;XAUUSD:1,LONG:3;SHORT:2
5,20,cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_true_bos_level,5,5,5,60.0,2.676,0.796,168.01,50.9,0.5,1.598,0.912,60.0,60.0,99.28,68.73,-31.51,199.52,3,3,2025-02:2;2025-08:1;2026-Q1:2,EURUSD:1;USDJPY:3;XAUUSD:1,LONG:3;SHORT:2
10,1,cond_h4_bias_ma;cond_room_to_2r,2,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
10,2,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_room_to_2r,3,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
10,3,cond_h4_bias_ma;cond_h1_counter_wave_atr;cond_room_to_2r,3,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
10,4,cond_h4_bias_ma;cond_true_bos_level;cond_room_to_2r,3,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
10,5,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_room_to_2r,4,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
10,6,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_true_bos_level;cond_room_to_2r,4,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
10,7,cond_h4_bias_ma;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,4,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
10,8,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,5,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
