period,scenario,symbol,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2025-02,breakout_router_all_r12,EURJPY,1,0,1,0.0,-47.83,0.0,-47.83,-1.003,47.83,0.48,1
2025-02,breakout_router_all_r12,XAUUSD,1,1,0,100.0,58.94,,58.94,1.213,0.0,0.0,0
2025-02,context_router_all_r12,AUDJPY,1,1,0,100.0,56.27,,56.27,1.206,0.0,0.0,0
2025-02,context_router_all_r12,EURJPY,1,0,1,0.0,-47.83,0.0,-47.83,-1.003,47.83,0.48,1
2025-02,context_router_all_r12,GBPJPY,1,0,1,0.0,-49.97,0.0,-49.97,-1.021,49.97,0.5,1
2025-02,context_router_all_r12,USDJPY,1,0,1,0.0,-52.56,0.0,-52.56,-1.0,52.56,0.53,1
2025-02,context_router_all_r12,XAUUSD,3,2,1,66.67,59.88,2.219,19.96,0.474,49.14,0.49,1
2025-02,context_router_v2_all_r12,AUDJPY,1,1,0,100.0,56.27,,56.27,1.206,0.0,0.0,0
2025-02,context_router_v2_all_r12,EURJPY,1,0,1,0.0,-47.83,0.0,-47.83,-1.003,47.83,0.48,1
2025-02,context_router_v2_all_r12,USDJPY,1,0,1,0.0,-52.56,0.0,-52.56,-1.0,52.56,0.53,1
2025-02,context_router_v2_all_r12,XAUUSD,3,2,1,66.67,59.88,2.219,19.96,0.474,49.14,0.49,1
2025-02,instant_all_r12,AUDJPY,1,1,0,100.0,56.5,,56.5,1.201,0.0,0.0,0
2025-02,instant_all_r12,EURJPY,3,1,2,33.33,-39.4,0.596,-13.13,-0.271,97.52,0.98,2
2025-02,instant_all_r12,EURUSD,2,0,2,0.0,-103.97,0.0,-51.98,-1.003,103.97,1.04,2
2025-02,instant_all_r12,GBPJPY,3,1,2,33.33,-41.2,0.589,-13.73,-0.275,100.19,1.0,2
2025-02,instant_all_r12,USDJPY,1,0,1,0.0,-51.38,0.0,-51.38,-1.0,51.38,0.51,1
2025-02,instant_all_r12,XAUUSD,3,2,1,66.67,62.33,2.387,20.78,0.471,44.93,0.45,1
2025-02,retest_all_r12,EURJPY,2,0,2,0.0,-98.17,0.0,-49.09,-1.006,98.17,0.98,2
2025-02,retest_all_r12,EURUSD,1,0,1,0.0,-49.3,0.0,-49.3,-1.0,49.3,0.49,1
2025-02,retest_all_r12,GBPJPY,1,0,1,0.0,-50.82,0.0,-50.82,-1.035,50.82,0.51,1
2025-02,retest_all_r12,XAUUSD,1,1,0,100.0,50.08,,50.08,1.208,0.0,0.0,0
2025-08,instant_all_r12,GBPJPY,1,0,1,0.0,-52.72,0.0,-52.72,-1.006,52.72,0.53,1
2025-08,instant_all_r12,XAUUSD,1,1,0,100.0,58.52,,58.52,1.206,0.0,0.0,0
2025-08,retest_all_r12,XAUUSD,1,1,0,100.0,58.52,,58.52,1.206,0.0,0.0,0
2025-10,breakout_router_all_r12,XAUUSD,1,1,0,100.0,56.46,,56.46,1.202,0.0,0.0,0
2025-10,context_router_all_r12,USDJPY,1,1,0,100.0,61.51,,61.51,1.22,0.0,0.0,0
2025-10,context_router_all_r12,XAUUSD,3,2,1,66.67,73.82,2.625,24.61,0.469,45.44,0.45,1
