period,variant,pullback_depth_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,deep_38-62,70,33,37,47.14,534.63,1.279,7.64,0.182,407.76,3.98,6,-296.91,183.47,351.16,187.2,347.43,65.71,70.0,3.07,4.605,0.1299,0.4592,49.0,2.935,0.153,0.47
2024,current_thirdwave_current_sl_1_5R,normal_20-38,39,11,28,28.21,-584.79,0.591,-14.99,-0.297,779.67,7.67,9,-461.86,-286.97,-297.82,-163.92,-420.87,61.54,53.85,2.919,4.379,0.1389,0.4699,30.22,2.777,0.22,0.69
2024,current_thirdwave_current_sl_1_5R,shallow_<20,8,3,5,37.5,-28.74,0.888,-3.59,-0.068,105.24,1.04,2,-100.28,-81.34,52.6,50.26,-79.0,50.0,50.0,2.918,4.376,0.1681,0.5974,18.99,2.745,0.242,0.43
2024,current_thirdwave_current_sl_1_5R,very_deep_62-100,61,31,30,50.82,793.15,1.514,13.0,0.305,282.71,2.64,4,-206.28,341.48,451.67,469.34,323.81,78.69,52.46,3.345,5.018,0.1339,0.4729,76.11,3.202,0.15,0.46
2024,v4_micro_or_candle_lower_tf_sl_1_2R,deep_38-62,87,36,51,41.38,-541.01,0.782,-6.22,-0.115,701.16,7.01,7,-332.27,-23.51,-517.5,-25.09,-515.92,66.67,66.67,2.396,2.875,0.1395,0.49,50.93,2.393,0.192,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,normal_20-38,49,22,27,44.9,-142.78,0.89,-2.91,-0.004,552.92,5.36,8,-373.08,182.9,-325.68,-45.69,-97.09,67.35,59.18,2.222,2.666,0.1321,0.6259,30.47,2.354,0.21,0.81
2024,v4_micro_or_candle_lower_tf_sl_1_2R,shallow_<20,7,4,3,57.14,58.69,1.41,8.38,0.255,96.28,0.96,2,-96.28,-97.14,155.83,41.38,17.31,71.43,14.29,2.251,2.702,0.1319,0.6989,18.91,2.353,0.154,0.28
2024,v4_micro_or_candle_lower_tf_sl_1_2R,very_deep_62-100,97,47,50,48.45,202.75,1.084,2.09,0.082,503.13,4.97,7,-339.3,-221.41,424.16,-20.13,222.88,65.98,50.52,2.341,2.81,0.1387,0.4324,77.4,2.372,0.206,0.83
2024,v4_micro_or_candle_lower_tf_sl_1_3R,deep_38-62,85,34,51,40.0,-499.3,0.799,-5.87,-0.106,761.92,7.62,7,-329.88,78.48,-577.78,-27.15,-472.15,67.06,65.88,2.392,3.11,0.1392,0.4874,50.92,2.393,0.194,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,normal_20-38,49,22,27,44.9,-26.03,0.98,-0.53,0.045,508.44,4.91,8,-373.11,231.13,-257.16,19.39,-45.42,67.35,59.18,2.222,2.888,0.1321,0.6259,30.47,2.354,0.21,0.81
