scenario,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,63,26.98,0.737,-0.19,-603.67,1184.23,11.19,1.19,1.088,65.08,49.21,26.98,28,35,-192.2,-411.47,-0.138,-0.231,6,12,AUDJPY:2;EURJPY:9;EURUSD:8;GBPJPY:6;GBPUSD:11;USDJPY:27,2025-01:7;2025-02:4;2025-03:7;2025-04:10;2025-05:1;2025-06:4;2025-07:6;2025-08:8;2025-09:5;2025-10:3;2025-11:6;2025-12:2,LONG:28;SHORT:35
B_broad_hard_gate_reduced,3999,29.43,0.826,0.0,-9227.62,10064.01,93.01,0.0,0.0,0.0,0.0,0.0,1994,2005,-5687.01,-3540.61,0.0,0.0,6,12,AUDJPY:220;EURJPY:518;EURUSD:576;GBPJPY:516;GBPUSD:673;USDJPY:1496,2025-01:413;2025-02:377;2025-03:484;2025-04:610;2025-05:402;2025-06:311;2025-07:266;2025-08:230;2025-09:216;2025-10:293;2025-11:222;2025-12:175,LONG:1994;SHORT:2005
C_broad_reduced_room_to_2r,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,,
D_broad_reduced_h4_ma_bias,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,,
E_broad_reduced_m15_close_bos,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,,
F_broad_reduced_room_to_2r_h4_ma,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,,
