group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
AUDJPY,2,0.0,0.0,-1.014,-100.44,100.44,1.0,0.808,1.212,50.0,50.0,0.0,1,1,-47.38,-53.06,-1.009,-1.019,1,2,AUDJPY:2,2025-04:1;2025-10:1,LONG:1;SHORT:1
EURJPY,9,44.44,1.627,0.354,154.36,102.57,1.01,1.25,0.954,44.44,44.44,44.44,3,6,160.07,-5.71,1.064,-0.001,1,6,EURJPY:9,2025-01:1;2025-02:1;2025-03:3;2025-04:2;2025-10:1;2025-11:1,LONG:3;SHORT:6
EURUSD,8,50.0,2.002,0.495,197.93,146.95,1.42,1.52,0.864,62.5,62.5,50.0,5,3,47.82,150.11,0.196,0.995,1,6,EURUSD:8,2025-02:1;2025-03:2;2025-04:1;2025-07:2;2025-09:1;2025-12:1,LONG:5;SHORT:3
GBPJPY,6,50.0,2.007,0.509,147.07,94.61,0.95,1.644,0.916,83.33,83.33,50.0,2,4,52.73,94.34,0.521,0.503,1,3,GBPJPY:6,2025-01:1;2025-03:2;2025-04:3,LONG:2;SHORT:4
GBPUSD,11,0.0,0.0,-1.005,-546.79,546.79,5.47,0.979,1.207,81.82,36.36,0.0,3,8,-151.11,-395.68,-1.002,-1.006,1,8,GBPUSD:11,2025-01:2;2025-04:1;2025-05:1;2025-06:1;2025-07:1;2025-08:2;2025-10:1;2025-11:2,LONG:3;SHORT:8
USDJPY,27,22.22,0.568,-0.336,-455.8,558.69,5.53,1.086,1.181,62.96,44.44,22.22,14,13,-254.33,-201.47,-0.362,-0.308,1,9,USDJPY:27,2025-01:3;2025-02:2;2025-04:2;2025-06:3;2025-07:3;2025-08:6;2025-09:4;2025-11:3;2025-12:1,LONG:14;SHORT:13
