time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score
2025.02.04 08:04:59,order_attempt,EURJPY,SHORT,server_08_15,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,159.853,160.161,159.237,0.25,0.308,2.00,308.0,1.83,616.0,3.66,160.016,159.788,160.131,7,0.97,1.65,0.1781,30.0,63.27
2025.02.04 08:04:59,order_sent,EURJPY,SHORT,server_08_15,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,159.853,160.161,159.237,0.25,0.308,2.00,308.0,1.83,616.0,3.66,160.016,159.788,160.131,7,0.97,1.65,0.1781,30.0,63.27
2025.02.04 08:19:59,order_blocked,EURJPY,SHORT,server_08_15,0,max_positions,Nested_NWave_NecklineBreak,neckline_break_late,max_positions,max_positions,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,159.820,160.161,159.138,0.22,0.341,2.00,341.0,1.97,682.0,3.94,160.016,159.862,160.131,8,1.13,1.80,0.1735,30.0,59.28
2025.02.04 08:34:59,order_blocked,EURJPY,SHORT,server_08_15,0,max_positions,Nested_NWave_NecklineBreak,neckline_break_late,max_positions,max_positions,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,159.866,160.161,159.276,0.26,0.295,2.00,295.0,1.70,590.0,3.41,160.016,159.938,160.131,9,0.87,1.53,0.1733,30.0,60.48
2025.02.04 08:49:59,order_blocked,EURJPY,SHORT,server_08_15,0,max_positions,Nested_NWave_NecklineBreak,neckline_break_late,max_positions,max_positions,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,159.824,160.161,159.150,0.23,0.337,2.00,337.0,1.86,674.0,3.72,160.016,159.741,160.131,10,1.06,1.69,0.1656,30.0,56.16
2025.02.04 19:34:59,order_attempt,EURUSD,SHORT,server_16_23,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.03715,1.03885,1.03375,0.29,0.00170,2.00,170.0,1.37,340.0,2.73,1.03726,1.03717,1.03867,3,0.09,1.22,0.1447,18.0,74.10
2025.02.04 19:34:59,order_sent,EURUSD,SHORT,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.03715,1.03885,1.03375,0.29,0.00170,2.00,170.0,1.37,340.0,2.73,1.03726,1.03717,1.03867,3,0.09,1.22,0.1447,18.0,74.10
2025.02.04 19:49:59,order_blocked,EURUSD,SHORT,server_16_23,0,max_positions,Nested_NWave_NecklineBreak,neckline_break_late,max_positions,max_positions,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.03716,1.03885,1.03378,0.29,0.00169,2.00,169.0,1.41,338.0,2.83,1.03726,1.03721,1.03867,4,0.08,1.26,0.1504,18.0,74.16
2025.02.06 22:34:59,order_attempt,XAUUSD,LONG,server_16_23,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,2854.89,2850.22,2864.23,0.10,4.67,2.00,467.0,1.91,934.0,3.82,2853.65,2854.38,2850.40,4,0.51,1.84,0.0737,18.0,67.87
2025.02.06 22:34:59,order_sent,XAUUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,2854.89,2850.22,2864.23,0.10,4.67,2.00,467.0,1.91,934.0,3.82,2853.65,2854.38,2850.40,4,0.51,1.84,0.0737,18.0,67.87
