period,selection_mode,scan_minutes,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,all,10,0.05-0.10,29,16,13,55.17,457.54,1116.53,-658.99,1.694,15.78,69.78,-50.69
2024,all,10,0.10-0.15,54,29,25,53.7,848.41,2131.46,-1283.05,1.661,15.71,73.5,-51.32
2024,all,10,0.15-0.20,48,14,34,29.17,-696.78,1065.47,-1762.25,0.605,-14.52,76.11,-51.83
2024,all,10,<0.05,1,0,1,0.0,-43.35,0.0,-43.35,0.0,-43.35,0.0,-43.35
2024,all,15,0.05-0.10,19,11,8,57.89,347.62,711.6,-363.98,1.955,18.3,64.69,-45.5
2024,all,15,0.10-0.15,41,20,21,48.78,278.72,1347.49,-1068.77,1.261,6.8,67.37,-50.89
2024,all,15,0.15-0.20,39,9,30,23.08,-869.69,633.21,-1502.9,0.421,-22.3,70.36,-50.1
2024,all,5,0.05-0.10,36,19,17,52.78,455.51,1303.91,-848.4,1.537,12.65,68.63,-49.91
2024,all,5,0.10-0.15,72,36,36,50.0,836.72,2714.33,-1877.61,1.446,11.62,75.4,-52.16
2024,all,5,0.15-0.20,69,23,46,33.33,-534.63,1840.7,-2375.33,0.775,-7.75,80.03,-51.64
2024,all,5,<0.05,1,0,1,0.0,-43.35,0.0,-43.35,0.0,-43.35,0.0,-43.35
2024,best,10,0.05-0.10,28,15,13,53.57,393.3,1052.29,-658.99,1.597,14.05,70.15,-50.69
2024,best,10,0.10-0.15,50,28,22,56.0,926.22,2049.6,-1123.38,1.824,18.52,73.2,-51.06
2024,best,10,0.15-0.20,43,12,31,27.91,-691.49,916.15,-1607.64,0.57,-16.08,76.35,-51.86
2024,best,10,<0.05,1,0,1,0.0,-43.35,0.0,-43.35,0.0,-43.35,0.0,-43.35
2024,best,15,0.05-0.10,19,11,8,57.89,341.52,711.6,-370.08,1.923,17.97,64.69,-46.26
2024,best,15,0.10-0.15,39,18,21,46.15,151.28,1208.07,-1056.79,1.143,3.88,67.12,-50.32
2024,best,15,0.15-0.20,34,8,26,23.53,-757.84,555.33,-1313.17,0.423,-22.29,69.42,-50.51
2024,best,5,0.05-0.10,35,18,17,51.43,410.78,1259.18,-848.4,1.484,11.74,69.95,-49.91
2024,best,5,0.10-0.15,65,33,32,50.77,825.6,2485.26,-1659.66,1.497,12.7,75.31,-51.86
2024,best,5,0.15-0.20,58,20,38,34.48,-360.62,1627.66,-1988.28,0.819,-6.22,81.38,-52.32
2024,best,5,<0.05,1,0,1,0.0,-43.35,0.0,-43.35,0.0,-43.35,0.0,-43.35
2025,all,10,0.05-0.10,87,32,55,36.78,-356.9,2155.3,-2512.2,0.858,-4.1,67.35,-45.68
2025,all,10,0.10-0.15,39,15,24,38.46,-73.95,1057.28,-1131.23,0.935,-1.9,70.49,-47.13
2025,all,10,0.15-0.20,36,9,27,25.0,-540.83,804.65,-1345.48,0.598,-15.02,89.41,-49.83
2025,all,10,<0.05,40,18,22,45.0,209.05,1099.69,-890.64,1.235,5.23,61.09,-40.48
2025,all,15,0.05-0.10,63,26,37,41.27,4.72,1800.8,-1796.08,1.003,0.07,69.26,-48.54
2025,all,15,0.10-0.15,25,10,15,40.0,-13.67,711.33,-725.0,0.981,-0.55,71.13,-48.33
2025,all,15,0.15-0.20,28,8,20,28.57,-447.71,589.45,-1037.16,0.568,-15.99,73.68,-51.86
2025,all,15,<0.05,31,16,15,51.61,337.75,1002.76,-665.01,1.508,10.9,62.67,-44.33
2025,all,5,0.05-0.10,107,38,69,35.51,-709.52,2549.25,-3258.77,0.782,-6.63,67.09,-47.23
2025,all,5,0.10-0.15,52,20,32,38.46,-106.08,1438.19,-1544.27,0.931,-2.04,71.91,-48.26
2025,all,5,0.15-0.20,61,23,38,37.7,-164.94,1750.83,-1915.77,0.914,-2.7,76.12,-50.41
2025,all,5,<0.05,49,25,24,51.02,548.56,1564.58,-1016.02,1.54,11.2,62.58,-42.33
2025,best,10,0.05-0.10,84,31,53,36.9,-331.63,2097.26,-2428.89,0.863,-3.95,67.65,-45.83
2025,best,10,0.10-0.15,36,14,22,38.89,-53.95,983.51,-1037.46,0.948,-1.5,70.25,-47.16
2025,best,10,0.15-0.20,33,8,25,24.24,-516.91,738.24,-1255.15,0.588,-15.66,92.28,-50.21
2025,best,10,<0.05,40,18,22,45.0,194.07,1074.75,-880.68,1.22,4.85,59.71,-40.03
