run,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
stop_on,AUDJPY:SHORT,1,1,0,100.0,75.27,75.27,0.0,,75.27,75.27,0.0
stop_on,EURJPY:LONG,1,1,0,100.0,75.19,75.19,0.0,,75.19,75.19,0.0
stop_on,EURJPY:SHORT,1,0,1,0.0,-52.69,0.0,-52.69,0.0,-52.69,0.0,-52.69
stop_on,EURUSD:LONG,1,0,1,0.0,-50.16,0.0,-50.16,0.0,-50.16,0.0,-50.16
stop_on,EURUSD:SHORT,1,0,1,0.0,-48.78,0.0,-48.78,0.0,-48.78,0.0,-48.78
stop_on,GBPJPY:LONG,1,1,0,100.0,75.75,75.75,0.0,,75.75,75.75,0.0
stop_on,GBPJPY:SHORT,6,2,4,33.33,-55.04,148.02,-203.06,0.729,-9.17,74.01,-50.77
stop_on,GBPUSD:LONG,3,1,2,33.33,-23.39,77.85,-101.24,0.769,-7.8,77.85,-50.62
stop_on,GBPUSD:SHORT,1,0,1,0.0,-52.56,0.0,-52.56,0.0,-52.56,0.0,-52.56
stop_on,USDJPY:LONG,13,3,10,23.08,-290.96,231.57,-522.53,0.443,-22.38,77.19,-52.25
stop_on,USDJPY:SHORT,42,17,25,40.48,24.69,1317.16,-1292.47,1.019,0.59,77.48,-51.7
stop_on,XAUUSD:LONG,126,54,72,42.86,241.65,3969.5,-3727.85,1.065,1.92,73.51,-51.78
stop_on,XAUUSD:SHORT,28,8,20,28.57,-419.18,599.67,-1018.85,0.589,-14.97,74.96,-50.94
stop_off,AUDJPY:SHORT,9,4,5,44.44,59.8,261.43,-201.63,1.297,6.64,65.36,-40.33
stop_off,EURJPY:LONG,14,1,13,7.14,-486.83,75.19,-562.02,0.134,-34.77,75.19,-43.23
stop_off,EURJPY:SHORT,4,1,3,25.0,-70.78,66.69,-137.47,0.485,-17.7,66.69,-45.82
stop_off,EURUSD:LONG,25,13,12,52.0,329.25,843.93,-514.68,1.64,13.17,64.92,-42.89
stop_off,EURUSD:SHORT,9,2,7,22.22,-170.78,121.65,-292.43,0.416,-18.98,60.83,-41.78
stop_off,GBPJPY:LONG,3,3,0,100.0,207.11,207.11,0.0,,69.04,69.04,0.0
stop_off,GBPJPY:SHORT,17,7,10,41.18,5.68,450.69,-445.01,1.013,0.33,64.38,-44.5
stop_off,GBPUSD:LONG,14,6,8,42.86,23.96,376.11,-352.15,1.068,1.71,62.69,-44.02
stop_off,GBPUSD:SHORT,17,4,13,23.53,-327.17,238.61,-565.78,0.422,-19.25,59.65,-43.52
stop_off,USDJPY:LONG,150,57,93,38.0,-32.7,3925.83,-3958.53,0.992,-0.22,68.87,-42.56
stop_off,USDJPY:SHORT,206,61,145,29.61,-2307.74,4125.9,-6433.64,0.641,-11.2,67.64,-44.37
stop_off,XAUUSD:LONG,860,378,482,43.95,2688.53,22235.76,-19547.23,1.138,3.13,58.82,-40.55
stop_off,XAUUSD:SHORT,364,140,224,38.46,-591.24,8236.57,-8827.81,0.933,-1.62,58.83,-39.41
