run,scenario,prefix,elapsed_seconds
A,ThirdWave_regime_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_2026_q1_thirdwave_v2_A_current_regime_all_5m,174.9
B,ThirdWave_v2_audit_filtered_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_2026_q1_thirdwave_v2_B_v2_audit_filtered_all_5m,174.4
