period,strategy_mode,entry_selection_mode,scan_interval,trades,PF,expected_payoff,avg_R,net_profit,maxDD,maxDD_pct,win_rate,profit_by_long,profit_by_short,profit_by_fx,profit_by_xauusd,best_symbol,worst_symbol,best_session,worst_session,main_fail_reason,main_loss_reason,source_artifact
2025,Phase2 BOTH_5m_new_bar,best_candidate,5m,1690,0.982,-0.44,,-750.91,3818.27,36.06,40.0,2641.86,-3392.77,-2800.24,2049.33,XAUUSD:2049.33,USDJPY:-2373.99,,,,short branch loss; FX basket loss,ExpectedValue_MultiCurrency_ScoreScanner_2025_phase2_run_comparison.csv
2025,Phase2 LONG_ONLY_5m_new_bar,best_candidate,5m,1184,1.109,3.19,,3777.82,2123.33,19.26,42.65,3777.82,0.0,-275.57,4053.39,XAUUSD:4053.39,EURJPY:-603.08,,,,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_2025_phase2_run_comparison.csv
2025,Phase2 SHORT_ONLY_5m_new_bar,best_candidate,5m,757,0.817,-4.53,,-3428.37,3804.09,37.3,35.8,0.0,-3428.37,-2696.77,-731.6,EURJPY:66.28,USDJPY:-2173.97,,,,short branch loss,ExpectedValue_MultiCurrency_ScoreScanner_2025_phase2_run_comparison.csv
2025,Phase2 LONG_ONLY_DowFractal_5m_new_bar,best_candidate,5m,675,1.159,4.96,,3349.91,905.85,6.64,44.15,3349.91,0.0,475.2,2874.71,XAUUSD:2874.71,EURJPY:-241.75,,,no_trend_up,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_2025_phase2_run_comparison.csv
2025,Phase2 XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,best_candidate,5m,549,1.171,5.25,,2880.52,934.98,7.0,44.44,2880.52,0.0,0.0,2880.52,XAUUSD:2880.52,XAUUSD:2880.52,,,no_trend_up,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_2025_phase2_run_comparison.csv
2025,Phase2 BOTH_disable_USDJPY_SHORT_5m_new_bar,best_candidate,5m,1566,1.054,1.43,,2237.56,2588.16,24.6,41.44,3648.58,-1411.02,-877.87,3115.43,XAUUSD:3115.43,EURJPY:-774.43,,,,residual short loss after USDJPY short removal; short branch loss; FX basket loss; XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_2025_phase2_run_comparison.csv
2024,Phase2 OOS LONG_ONLY_DowFractal_5m_new_bar,best_candidate,5m,510,0.908,-2.56,,-1305.43,1920.99,18.55,38.43,-1305.43,0.0,-720.04,-585.39,EURJPY:310.35; GBPJPY:296.60,USDJPY:-735.63; XAUUSD:-585.39; GBPUSD:-339.37,,,no_trend_up,long branch loss,ExpectedValue_MultiCurrency_ScoreScanner_oos_run_comparison.csv
2024,Phase2 OOS XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,best_candidate,5m,357,0.961,-1.12,,-401.11,975.36,9.69,39.78,-401.11,0.0,0.0,-401.11,,XAUUSD:-401.11,,,no_trend_up,XAUUSD loss; XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_oos_run_comparison.csv
2026YTD,Phase2 OOS LONG_ONLY_DowFractal_5m_new_bar,best_candidate,5m,181,1.007,0.2,,36.7,901.47,8.34,40.33,36.7,0.0,-458.5,495.2,XAUUSD:495.20,USDJPY:-193.77; EURUSD:-177.83; AUDJPY:-59.48,,,no_trend_up,FX basket loss; XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_oos_run_comparison.csv
2026YTD,Phase2 OOS XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,best_candidate,5m,162,1.086,2.35,,381.21,701.49,6.43,41.98,381.21,0.0,0.0,381.21,XAUUSD:381.21,,,,no_trend_up,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_oos_run_comparison.csv
