period,scenario,group_field,group,rows
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,dirty_breakout,27
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,strong_breakout,5
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,unclassified,668
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,weak_breakout,11
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,dirty_breakout,27
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,strong_breakout,5
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,unclassified,668
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,weak_breakout,11
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,breakout_quality_label,not_recorded,73
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,breakout_quality_label,not_recorded,72
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,breakout_quality_label,not_recorded,716
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,breakout_quality_label,not_recorded,716
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,dirty_breakout,14
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,unclassified,457
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,weak_breakout,5
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,dirty_breakout,14
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,unclassified,457
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,weak_breakout,5
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,breakout_quality_label,not_recorded,22
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,breakout_quality_label,not_recorded,22
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,breakout_quality_label,not_recorded,478
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,breakout_quality_label,not_recorded,478
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,dirty_breakout,16
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,strong_breakout,7
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,unclassified,476
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,weak_breakout,7
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,dirty_breakout,16
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,strong_breakout,7
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,unclassified,476
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,weak_breakout,7
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,breakout_quality_label,not_recorded,39
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,breakout_quality_label,not_recorded,39
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,breakout_quality_label,not_recorded,507
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,breakout_quality_label,not_recorded,507
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,dirty_breakout,76
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,strong_breakout,13
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,unclassified,1781
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_label,weak_breakout,36
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,dirty_breakout,76
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,strong_breakout,13
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,unclassified,1781
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_label,weak_breakout,36
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,breakout_quality_label,not_recorded,187
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,breakout_quality_label,not_recorded,186
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,breakout_quality_label,not_recorded,1929
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,breakout_quality_label,not_recorded,1929
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,707
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,2
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,order_sent,2
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,707
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,2
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,order_sent,2
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,9
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,32
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,order_blocked,19
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,order_sent,13
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,9
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,32
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,order_blocked,19
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,order_sent,12
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,702
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,7
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,order_blocked,2
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,order_sent,5
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,702
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,7
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,order_blocked,2
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,order_sent,5
