period,scenario,label,true_clean_candidate,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,clean_nested_nwave_entry,0,1,0,1,0.0,-50.82,0.0,-50.82,-1.035,50.82,0.51,-50.82,0,-50.82,0,0.581,2.934,100.0,0.0,0.0,100.0
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_initial,0,2,1,1,50.0,52.25,2.159,26.12,0.501,45.07,0.45,97.32,-45.07,-45.07,97.32,1.294,0.575,50.0,50.0,50.0,50.0
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_late,0,10,3,7,30.0,-72.85,0.792,-7.28,-0.101,111.14,1.11,-255.48,182.63,-67.75,-5.1,1.212,0.872,50.0,50.0,30.0,60.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,clean_nested_nwave_entry,0,1,0,1,0.0,-50.82,0.0,-50.82,-1.035,50.82,0.51,-50.82,0,-50.82,0,0.581,2.934,100.0,0.0,0.0,100.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,neckline_break_initial,0,2,1,1,50.0,52.25,2.159,26.12,0.501,45.07,0.45,97.32,-45.07,-45.07,97.32,1.294,0.575,50.0,50.0,50.0,50.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,neckline_break_late,0,9,2,7,22.22,-168.37,0.52,-18.71,-0.335,168.37,1.68,-351.0,182.63,-67.75,-100.62,1.102,0.921,44.44,44.44,22.22,66.67
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_late,0,2,1,1,50.0,27.14,1.514,13.57,0.501,52.77,0.52,-52.77,79.91,79.91,-52.77,1.401,0.619,100.0,50.0,50.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,neckline_break_late,0,2,1,1,50.0,27.14,1.514,13.57,0.501,52.77,0.52,-52.77,79.91,79.91,-52.77,1.401,0.619,100.0,50.0,50.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_initial,0,3,2,1,66.67,114.14,3.311,38.05,1.0,49.4,0.49,0,114.14,163.54,-49.4,2.015,1.204,100.0,100.0,66.67,66.67
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_late,0,2,2,0,100.0,199.43,,99.72,2.013,0.0,0.0,199.43,0,0,199.43,2.208,0.338,100.0,100.0,100.0,0.0
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,neckline_break_initial,0,3,2,1,66.67,114.14,3.311,38.05,1.0,49.4,0.49,0,114.14,163.54,-49.4,2.015,1.204,100.0,100.0,66.67,66.67
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,neckline_break_late,0,1,1,0,100.0,98.56,,98.56,2.0,0.0,0.0,98.56,0,0,98.56,2.181,0.062,100.0,100.0,100.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,chasing_after_break,0,2,0,2,0.0,-93.77,0.0,-46.88,-1.018,93.77,0.94,-93.77,0,-93.77,0,0.811,1.839,50.0,50.0,0.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,clean_nested_nwave_entry,0,3,0,3,0.0,-130.75,0.0,-43.58,-1.025,130.75,1.31,-95.82,-34.93,-82.93,-47.82,1.048,1.372,66.67,66.67,0.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_initial,0,5,0,5,0.0,-243.67,0.0,-48.73,-1.008,243.67,2.44,-45.8,-197.87,-154.91,-88.76,0.578,1.431,40.0,20.0,0.0,60.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_late,0,17,4,13,23.53,-248.49,0.586,-14.62,-0.298,362.3,3.6,-238.27,-10.22,-185.05,-63.44,1.278,1.041,76.47,58.82,29.41,47.06
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,chasing_after_break,0,2,0,2,0.0,-93.77,0.0,-46.88,-1.018,93.77,0.94,-93.77,0,-93.77,0,0.811,1.839,50.0,50.0,0.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,clean_nested_nwave_entry,0,3,0,3,0.0,-130.75,0.0,-43.58,-1.025,130.75,1.31,-95.82,-34.93,-82.93,-47.82,1.048,1.372,66.67,66.67,0.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,neckline_break_initial,0,5,0,5,0.0,-243.67,0.0,-48.73,-1.008,243.67,2.44,-45.8,-197.87,-154.91,-88.76,0.578,1.431,40.0,20.0,0.0,60.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,neckline_break_late,0,15,3,12,20.0,-294.89,0.464,-19.66,-0.405,408.7,4.06,-284.67,-10.22,-183.73,-111.16,1.182,1.076,73.33,53.33,20.0,53.33
