period,year,run,scenario,elapsed_seconds,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,max_balance_dd,max_balance_dd_pct,max_consecutive_losses,max_consecutive_losses_amount,long_trades,long_net_profit,short_trades,short_net_profit,xauusd_trades,xauusd_trade_share_pct,xauusd_net_profit,usdjpy_short_trades,usdjpy_short_net_profit,major_winning_symbols,major_losing_symbols,evaluations,higher_tf_trend_pass,mid_tf_pullback_pass,lower_tf_reversal_pass,structure_sl_pass,rr_pass,spread_guard_blocked,final_entry_pass,top_structure_stage_fail_reason,top_structure_stage_fail_reason_rows,top_execution_block_reason,top_execution_block_reason_rows
2025,2025,A,ThirdWave_BOTH,1353.1,451,179,272,39.69,-464.41,0.963,-1.03,1880.64,17.62,9,-461.86,262,-1051.26,189,586.85,357,79.16,-401.84,36,206.22,EURJPY:154.73; AUDJPY:69.22,XAUUSD:-401.84; GBPUSD:-98.44; GBPJPY:-89.54,1031072,264302,159050,20599,5741,5741,831344,1340,no_higher_tf_trend,723569,spread_guard,4401
2025,2025,B,ThirdWave_LONG_ONLY,921.7,271,101,170,37.27,-1364.56,0.821,-5.04,1891.26,18.44,11,-533.47,271,-1364.56,0,0,224,82.66,-850.69,0,0,AUDJPY:66.74; EURJPY:49.64; EURUSD:18.81,XAUUSD:-850.69; USDJPY:-366.16; GBPUSD:-190.27,515536,144075,85451,11703,2716,2716,415672,748,no_higher_tf_trend,349872,spread_guard,1968
2025,2025,C,ThirdWave_SHORT_ONLY,931.5,208,85,123,40.87,246.7,1.043,1.19,1237.82,11.82,9,-409.14,0,0,208,246.7,151,72.6,480.84,41,-59.17,XAUUSD:480.84; EURJPY:44.07,GBPJPY:-74.44; USDJPY:-59.17; GBPUSD:-51.20,515536,120227,73599,8896,3025,3025,415672,592,no_higher_tf_trend,373697,spread_guard,2433
2024,2024,A,ThirdWave_BOTH,1413.2,355,136,219,38.31,-914.04,0.911,-2.57,1661.14,15.97,9,-450.53,193,-501.32,162,-412.72,265,74.65,-1000.83,19,266.88,GBPJPY:500.64; USDJPY:355.73,XAUUSD:-1000.83; GBPUSD:-301.61; EURJPY:-282.47,1039906,257952,156212,20000,5387,5387,866458,956,no_higher_tf_trend,736080,spread_guard,4431
2024,2024,B,ThirdWave_LONG_ONLY,1011.9,201,81,120,40.3,-134.0,0.977,-0.67,958.0,9.21,7,-354.57,201,-134.0,0,0,156,77.61,-134.76,0,0,GBPJPY:160.93; USDJPY:160.81,GBPUSD:-204.59; XAUUSD:-134.76; EURJPY:-116.39,519953,145215,88209,12179,2678,2678,433229,531,no_higher_tf_trend,353262,spread_guard,2147
2024,2024,C,ThirdWave_SHORT_ONLY,921.6,172,66,106,38.37,-298.73,0.94,-1.74,901.43,8.79,9,-417.93,0,0,172,-298.73,118,68.6,-677.4,22,492.15,USDJPY:492.15; GBPJPY:318.31,XAUUSD:-677.40; GBPUSD:-149.63; AUDJPY:-135.58,519953,112737,68003,7821,2709,2709,433229,425,no_higher_tf_trend,382818,spread_guard,2284
2026YTD,2026YTD,A,ThirdWave_BOTH,616.8,188,83,105,44.15,962.24,1.194,5.12,759.07,6.89,10,-496.04,91,177.27,97,784.97,171,90.96,1058.68,5,-3.15,XAUUSD:1058.68; EURUSD:135.14,USDJPY:-103.85; GBPUSD:-74.23; GBPJPY:-53.50,429744,112515,67485,8635,2208,2208,356112,536,no_higher_tf_trend,300367,spread_guard,1672
2026YTD,2026YTD,B,ThirdWave_LONG_ONLY,426.1,95,40,55,42.11,148.69,1.059,1.57,726.28,6.9,7,-297.46,95,148.69,0,0,90,94.74,401.37,0,0,XAUUSD:401.37,USDJPY:-149.39; EURUSD:-52.87; GBPJPY:-50.42,214872,60948,36559,4977,1063,1063,178056,292,no_higher_tf_trend,145873,spread_guard,771
2026YTD,2026YTD,C,ThirdWave_SHORT_ONLY,395.8,100,45,55,45.0,783.85,1.304,7.84,567.06,5.19,7,-328.92,0,0,100,783.85,87,87.0,672.41,5,-3.15,XAUUSD:672.41; EURUSD:188.82,GBPUSD:-74.23; USDJPY:-3.15,214872,51567,30926,3658,1145,1145,178056,244,no_higher_tf_trend,154494,spread_guard,901
