period,selection_mode,scan_minutes,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,all,10,LONG,78,35,43,44.87,227.35,2465.51,-2238.16,1.102,2.91,70.44,-52.05
2024,all,10,SHORT,54,24,30,44.44,338.47,1847.95,-1509.48,1.224,6.27,77.0,-50.32
2024,all,15,LONG,59,27,32,45.76,101.07,1757.71,-1656.64,1.061,1.71,65.1,-51.77
2024,all,15,SHORT,40,13,27,32.5,-344.42,934.59,-1279.01,0.731,-8.61,71.89,-47.37
2024,all,5,LONG,106,48,58,45.28,542.88,3551.07,-3008.19,1.18,5.12,73.98,-51.87
2024,all,5,SHORT,72,30,42,41.67,171.37,2307.87,-2136.5,1.08,2.38,76.93,-50.87
2024,best,10,LONG,73,34,39,46.58,371.27,2390.85,-2019.58,1.184,5.09,70.32,-51.78
2024,best,10,SHORT,49,21,28,42.86,213.41,1627.19,-1413.78,1.151,4.36,77.49,-50.49
2024,best,15,LONG,58,27,31,46.55,165.68,1763.96,-1598.28,1.104,2.86,65.33,-51.56
2024,best,15,SHORT,34,10,24,29.41,-430.72,711.04,-1141.76,0.623,-12.67,71.1,-47.57
2024,best,5,LONG,99,46,53,46.46,670.03,3435.49,-2765.46,1.242,6.77,74.68,-52.18
2024,best,5,SHORT,60,25,35,41.67,162.38,1936.61,-1774.23,1.092,2.71,77.46,-50.69
2025,all,10,LONG,116,40,76,34.48,-903.59,2581.67,-3485.26,0.741,-7.79,64.54,-45.86
2025,all,10,SHORT,86,34,52,39.53,140.96,2535.25,-2394.29,1.059,1.64,74.57,-46.04
2025,all,15,LONG,87,37,50,42.53,73.81,2484.85,-2411.04,1.031,0.85,67.16,-48.22
2025,all,15,SHORT,60,23,37,38.33,-192.72,1619.49,-1812.21,0.894,-3.21,70.41,-48.98
2025,all,5,LONG,160,62,98,38.75,-550.52,4091.03,-4641.55,0.881,-3.44,65.98,-47.36
2025,all,5,SHORT,109,44,65,40.37,118.54,3211.82,-3093.28,1.038,1.09,73.0,-47.59
2025,best,10,LONG,112,38,74,33.93,-961.65,2431.33,-3392.98,0.717,-8.59,63.98,-45.85
2025,best,10,SHORT,81,33,48,40.74,253.23,2462.43,-2209.2,1.115,3.13,74.62,-46.02
2025,best,15,LONG,83,34,49,40.96,-64.06,2272.97,-2337.03,0.973,-0.77,66.85,-47.69
2025,best,15,SHORT,59,23,36,38.98,-156.18,1608.31,-1764.49,0.911,-2.65,69.93,-49.01
2025,best,5,LONG,151,56,95,37.09,-776.56,3654.25,-4430.81,0.825,-5.14,65.25,-46.64
2025,best,5,SHORT,96,39,57,40.62,209.54,2850.29,-2640.75,1.079,2.18,73.08,-46.33
2026YTD,all,10,LONG,24,12,12,50.0,201.15,772.63,-571.48,1.352,8.38,64.39,-47.62
2026YTD,all,10,SHORT,37,17,20,45.95,403.79,1349.09,-945.3,1.427,10.91,79.36,-47.27
2026YTD,all,15,LONG,20,8,12,40.0,31.88,566.98,-535.1,1.06,1.59,70.87,-44.59
2026YTD,all,15,SHORT,23,9,14,39.13,8.53,639.7,-631.17,1.014,0.37,71.08,-45.08
2026YTD,all,5,LONG,37,16,21,43.24,104.0,1130.66,-1026.66,1.101,2.81,70.67,-48.89
2026YTD,all,5,SHORT,55,26,29,47.27,654.63,2041.33,-1386.7,1.472,11.9,78.51,-47.82
2026YTD,best,10,LONG,24,12,12,50.0,201.15,772.63,-571.48,1.352,8.38,64.39,-47.62
2026YTD,best,10,SHORT,37,17,20,45.95,403.79,1349.09,-945.3,1.427,10.91,79.36,-47.27
2026YTD,best,15,LONG,20,8,12,40.0,31.88,566.98,-535.1,1.06,1.59,70.87,-44.59
2026YTD,best,15,SHORT,23,9,14,39.13,8.53,639.7,-631.17,1.014,0.37,71.08,-45.08
2026YTD,best,5,LONG,37,16,21,43.24,104.0,1130.66,-1026.66,1.101,2.81,70.67,-48.89
2026YTD,best,5,SHORT,51,25,26,49.02,705.15,1964.53,-1259.38,1.56,13.83,78.58,-48.44
