run,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
stop_on,AUDJPY,1,1,0,100.0,75.27,75.27,0.0,,75.27,75.27,0.0
stop_on,EURJPY,2,1,1,50.0,22.5,75.19,-52.69,1.427,11.25,75.19,-52.69
stop_on,EURUSD,2,0,2,0.0,-98.94,0.0,-98.94,0.0,-49.47,0.0,-49.47
stop_on,GBPJPY,7,3,4,42.86,20.71,223.77,-203.06,1.102,2.96,74.59,-50.77
stop_on,GBPUSD,4,1,3,25.0,-75.95,77.85,-153.8,0.506,-18.99,77.85,-51.27
stop_on,USDJPY,55,20,35,36.36,-266.27,1548.73,-1815.0,0.853,-4.84,77.44,-51.86
stop_on,XAUUSD,154,62,92,40.26,-177.53,4569.17,-4746.7,0.963,-1.15,73.7,-51.59
stop_off,AUDJPY,9,4,5,44.44,59.8,261.43,-201.63,1.297,6.64,65.36,-40.33
stop_off,EURJPY,18,2,16,11.11,-557.61,141.88,-699.49,0.203,-30.98,70.94,-43.72
stop_off,EURUSD,34,15,19,44.12,158.47,965.58,-807.11,1.196,4.66,64.37,-42.48
stop_off,GBPJPY,20,10,10,50.0,212.79,657.8,-445.01,1.478,10.64,65.78,-44.5
stop_off,GBPUSD,31,10,21,32.26,-303.21,614.72,-917.93,0.67,-9.78,61.47,-43.71
stop_off,USDJPY,356,118,238,33.15,-2340.44,8051.73,-10392.17,0.775,-6.57,68.24,-43.66
stop_off,XAUUSD,1224,518,706,42.32,2097.29,30472.33,-28375.04,1.074,1.71,58.83,-40.19
