variant,sl_mode,wave_audit_label,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,CURRENT_SL,chasing_entry,300,300,148,152,49.33,2503.54,1.357,8.35,0.146,826.05,6.68,49.0,47.67,0,0,0,0,0.814,1.03,17764786400.0,23686381866.667,0.072
current_thirdwave,CURRENT_SL,late_entry,6,6,6,0,100.0,398.48,,66.41,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.266,1.582,3870595000.0,5160793333.333,0.25
current_thirdwave,CURRENT_SL,third_wave_initial,3,3,0,3,0.0,-139.68,0.0,-46.56,-1.0,139.68,1.4,0.0,100.0,0,0,0,0,1.103,0.674,7760000000.0,10346666666.667,0.06
current_thirdwave,CURRENT_SL,third_wave_middle,15,15,9,6,60.0,280.36,1.936,18.69,0.4,299.55,2.88,60.0,40.0,0,0,0,0,0.818,1.068,4989400000.0,6652533333.333,0.26
current_thirdwave,CURRENT_SL,unclear,3,3,0,3,0.0,-147.84,0.0,-49.28,-1.0,147.84,1.48,0.0,100.0,0,0,0,0,1.096,0.694,4480000000.0,5973333333.333,0.11
current_thirdwave,LOWER_TF_REVERSAL_SL,chasing_entry,300,213,81,132,38.03,-1145.5,0.812,-5.38,-0.123,2000.86,19.35,26.33,44.0,0,3,78,6,0.907,0.859,9905749154.93,13207665539.906,0.116
current_thirdwave,LOWER_TF_REVERSAL_SL,late_entry,6,6,6,0,100.0,398.48,,66.41,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.254,2.06,2880820000.0,3841093333.333,0.2
current_thirdwave,LOWER_TF_REVERSAL_SL,third_wave_initial,3,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,LOWER_TF_REVERSAL_SL,third_wave_middle,15,15,9,6,60.0,451.36,4.511,30.09,0.629,128.55,1.24,60.0,0.0,0,0,0,0,0.527,1.003,8724000000.0,11632000000.0,0.205
current_thirdwave,LOWER_TF_REVERSAL_SL,unclear,3,3,0,3,0.0,-147.84,0.0,-49.28,-1.0,147.84,1.48,0.0,100.0,0,0,0,0,1.131,0.495,6280000000.0,8373333333.334,0.079
current_thirdwave,MID_TF_STRUCTURE_SL,chasing_entry,300,300,148,152,49.33,2503.54,1.357,8.35,0.146,826.05,6.68,49.0,47.67,0,0,0,0,0.814,1.03,17764786400.0,23686381866.667,0.072
current_thirdwave,MID_TF_STRUCTURE_SL,late_entry,6,6,6,0,100.0,398.48,,66.41,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.266,1.582,3870595000.0,5160793333.333,0.25
current_thirdwave,MID_TF_STRUCTURE_SL,third_wave_initial,3,3,0,3,0.0,-139.68,0.0,-46.56,-1.0,139.68,1.4,0.0,100.0,0,0,0,0,1.103,0.674,7760000000.0,10346666666.667,0.06
current_thirdwave,MID_TF_STRUCTURE_SL,third_wave_middle,15,15,9,6,60.0,280.36,1.936,18.69,0.4,299.55,2.88,60.0,40.0,0,0,0,0,0.818,1.068,4989400000.0,6652533333.333,0.26
current_thirdwave,MID_TF_STRUCTURE_SL,unclear,3,3,0,3,0.0,-147.84,0.0,-49.28,-1.0,147.84,1.48,0.0,100.0,0,0,0,0,1.096,0.694,4480000000.0,5973333333.333,0.11
v4_all_signals,CURRENT_SL,chasing_entry,510,510,243,267,47.65,3928.38,1.306,7.7,0.114,1664.65,11.1,47.65,51.18,0,0,0,0,0.833,0.998,15838197352.941,21117596470.588,0.118
v4_all_signals,CURRENT_SL,late_entry,24,24,11,13,45.83,40.2,1.063,1.67,0.062,449.82,4.5,45.83,54.17,0,0,0,0,0.757,1.09,11388500000.0,15184666666.667,0.167
v4_all_signals,CURRENT_SL,third_wave_initial,18,18,15,3,83.33,838.11,6.467,46.56,0.944,153.3,1.48,83.33,16.67,0,0,0,0,0.509,1.549,1133000000.0,1510666666.667,0.422
v4_all_signals,CURRENT_SL,third_wave_middle,18,18,11,7,61.11,412.45,2.33,22.91,0.417,193.79,1.87,61.11,38.89,0,0,0,0,0.679,1.252,5065581666.667,6754108888.889,0.252
v4_all_signals,CURRENT_SL,unclear,12,12,6,6,50.0,121.66,1.415,10.14,0.167,293.31,2.88,50.0,50.0,0,0,0,0,0.917,0.987,3219750000.0,4293000000.0,0.23
v4_all_signals,LOWER_TF_REVERSAL_SL,chasing_entry,510,456,219,237,48.03,3370.22,1.304,7.39,0.118,1749.14,12.27,40.98,44.12,0,6,39,9,0.842,0.996,14017208750.0,18689611666.667,0.119
v4_all_signals,LOWER_TF_REVERSAL_SL,late_entry,24,24,11,13,45.83,33.37,1.052,1.39,0.055,449.82,4.5,41.67,54.17,0,0,0,0,0.74,1.036,12331750000.0,16442333333.333,0.159
