period,run,scenario,elapsed_seconds,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses,fx_net,xauusd_net,long_net,short_net
2024,A,instant_all_r12,0.0,78,33,45,42.31,-253.96,0.886,-3.26,-0.071,782.39,7.43,12,-110.47,-143.49,-30.84,-223.12
2024,E,context_router_v2_all_r12,0.0,28,12,16,42.86,-74.12,0.908,-2.65,-0.059,415.56,4.02,5,-88.99,14.87,57.81,-131.93
2024,F,context_router_v3_all_r12,449.1,28,12,16,42.86,-74.12,0.908,-2.65,-0.059,415.56,4.02,5,-88.99,14.87,57.81,-131.93
2025,A,instant_all_r12,0.0,92,45,47,48.91,53.45,1.022,0.58,0.041,567.7,5.64,6,-107.76,161.21,-178.68,232.13
2025,E,context_router_v2_all_r12,0.0,36,16,20,44.44,-253.03,0.777,-7.03,-0.116,424.85,4.23,4,3.61,-256.64,-285.81,32.78
2025,F,context_router_v3_all_r12,418.7,35,16,19,45.71,-45.03,0.952,-1.29,-0.003,229.34,2.28,4,1.26,-46.29,-285.81,240.78
2026YTD,A,instant_all_r12,0.0,36,16,20,44.44,-75.36,0.922,-2.09,-0.03,546.8,5.33,6,-55.02,-20.34,-269.07,193.71
2026YTD,E,context_router_v2_all_r12,0.0,12,6,6,50.0,34.76,1.129,2.9,0.088,183.25,1.82,4,73.21,-38.45,74.12,-39.36
2026YTD,F,context_router_v3_all_r12,205.2,11,5,6,45.45,-16.8,0.938,-1.53,-0.013,183.25,1.82,4,73.21,-90.01,74.12,-90.92
