group,candidates,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,symbols_count,periods_count,period_distribution,symbol_distribution,direction_distribution
2025-02,5,5,60.0,2.998,0.793,197.09,98.66,0.97,1.717,1.054,80.0,60.0,244.93,-47.84,-50.82,247.91,4,1,2025-02:5,EURJPY:1;EURUSD:1;USDJPY:2;XAUUSD:1,LONG:1;SHORT:4
2025-08,12,12,33.33,1.067,0.066,24.48,165.15,1.62,1.275,0.926,50.0,33.33,-364.5,388.98,-251.67,276.15,3,1,2025-08:12,GBPUSD:2;USDJPY:6;XAUUSD:4,LONG:5;SHORT:7
2025-10,5,5,40.0,0.836,-0.037,-23.97,145.97,1.46,0.835,0.929,40.0,20.0,-58.23,34.26,-58.23,34.26,4,1,2025-10:5,AUDJPY:1;EURJPY:1;GBPUSD:1;XAUUSD:2,LONG:3;SHORT:2
2026-Q1,25,25,36.0,1.053,0.075,41.96,294.14,2.92,1.243,1.16,48.0,36.0,-19.11,61.07,4.31,37.65,7,1,2026-Q1:25,AUDJPY:2;EURJPY:2;EURUSD:4;GBPJPY:1;GBPUSD:3;USDJPY:9;XAUUSD:4,LONG:11;SHORT:14
