run_id,scenario,source,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,periods_count,symbols_count,period_distribution,symbol_distribution,direction_distribution,clean_or_acceptable_pct,audit_quality_distribution,failure_distribution
D,Nested_Fixed_H4MA_M15Close_Room2R_BOTH_all_H4_H1_M15_2R,fixed_condition,3,100.0,,2.006,295.86,0.0,0.0,2.317,0.382,100.0,100.0,295.86,0,100.81,195.05,1,3,2026-Q1:3,EURJPY:1;EURUSD:1;USDJPY:1,LONG:1;SHORT:2,100.0,acceptable_fractal:1;clean_fractal:2,
E,Nested_Fixed_H4Fib_Room2R_BOTH_all_H4_H1_M15_2R,fixed_condition,5,60.0,2.868,0.792,186.52,99.87,0.97,1.58,1.072,60.0,60.0,0.23,186.29,-99.87,286.39,3,2,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3,100.0,clean_fractal:5,other:2
C,Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,fixed_condition,15,53.33,2.184,0.598,412.59,147.81,1.41,1.572,0.967,60.0,53.33,236.19,176.4,45.3,367.29,4,6,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10,100.0,acceptable_fractal:3;clean_fractal:12,other:7
B,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,fixed_condition,24,45.83,1.625,0.37,403.59,150.13,1.45,1.431,1.031,54.17,45.83,136.23,267.36,-4.7,408.29,4,7,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15,100.0,acceptable_fractal:3;clean_fractal:21,other:13
A,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,condition_factorial,47,38.3,1.171,0.137,239.56,395.51,3.81,1.258,1.064,51.06,36.17,-196.91,436.47,-356.41,595.97,4,7,2025-02:5;2025-08:12;2025-10:5;2026-Q1:25,AUDJPY:3;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:6;USDJPY:17;XAUUSD:11,LONG:20;SHORT:27,51.06,acceptable_fractal:3;chasing:9;clean_fractal:21;unclear:14,other:13;target_blocked:16
H,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,comparison,19,36.84,1.15,0.101,82.8,270.63,2.64,1.572,1.161,63.16,36.84,39.05,43.75,69.25,13.55,3,5,2025-02:6;2025-10:3;2026-Q1:10,AUDJPY:1;EURJPY:1;GBPUSD:2;USDJPY:4;XAUUSD:11,LONG:8;SHORT:11,0.0,unclear:19,bad_h4_bias:12
F,Nested_Fixed_H4MA_H4Fib_M15Close_Room2R_BOTH_all_H4_H1_M15_2R,fixed_condition,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,0.0,,
K,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,comparison,9,33.33,1.014,-0.003,3.87,233.3,2.3,1.613,1.1,55.56,33.33,-104.2,108.07,6.99,-3.12,3,4,2025-02:2;2025-10:1;2026-Q1:6,EURJPY:1;GBPUSD:1;USDJPY:3;XAUUSD:4,LONG:3;SHORT:6,0.0,unclear:9,bad_h4_bias:6
I,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,comparison,47,27.66,0.725,-0.175,-445.43,772.94,7.48,1.374,1.207,57.45,29.79,-535.7,90.27,-435.17,-10.26,4,7,2025-02:13;2025-08:2;2025-10:5;2026-Q1:27,AUDJPY:1;EURJPY:4;EURUSD:6;GBPJPY:5;GBPUSD:9;USDJPY:7;XAUUSD:15,LONG:23;SHORT:24,0.0,chasing:1;unclear:46,bad_h4_bias:34
J,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,comparison,24,25.0,0.67,-0.259,-277.06,347.85,3.45,1.14,1.197,50.0,25.0,-344.38,67.32,94.76,-371.82,4,6,2025-02:5;2025-08:1;2025-10:1;2026-Q1:17,EURJPY:3;EURUSD:3;GBPJPY:2;GBPUSD:5;USDJPY:3;XAUUSD:8,LONG:10;SHORT:14,0.0,chasing:1;unclear:23,bad_h4_bias:18
G,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,comparison,4,0.0,0.0,-1.004,-198.08,198.08,1.98,0.865,1.271,25.0,0.0,-198.08,0,-149.01,-49.07,1,3,2026-Q1:4,EURUSD:1;GBPUSD:2;USDJPY:1,LONG:3;SHORT:1,0.0,unclear:4,bad_h4_bias:4
