period,run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2025,A,ThirdWave_BOTH,01,7,1,6,14.29,-217.08,63.63,-280.71,0.227,-31.01,63.63,-46.79
2025,A,ThirdWave_BOTH,02,18,4,14,22.22,-358.42,271.74,-630.16,0.431,-19.91,67.94,-45.01
2025,A,ThirdWave_BOTH,03,15,4,11,26.67,-192.49,280.4,-472.89,0.593,-12.83,70.1,-42.99
2025,A,ThirdWave_BOTH,04,19,7,12,36.84,-100.46,455.9,-556.36,0.819,-5.29,65.13,-46.36
2025,A,ThirdWave_BOTH,05,12,3,9,25.0,-204.6,198.74,-403.34,0.493,-17.05,66.25,-44.82
2025,A,ThirdWave_BOTH,06,10,6,4,60.0,218.53,386.38,-167.85,2.302,21.85,64.4,-41.96
2025,A,ThirdWave_BOTH,07,18,12,6,66.67,557.73,802.99,-245.26,3.274,30.98,66.92,-40.88
2025,A,ThirdWave_BOTH,08,19,8,11,42.11,47.68,538.65,-490.97,1.097,2.51,67.33,-44.63
2025,A,ThirdWave_BOTH,09,17,7,10,41.18,22.41,471.37,-448.96,1.05,1.32,67.34,-44.9
2025,A,ThirdWave_BOTH,10,14,6,8,42.86,21.81,404.12,-382.31,1.057,1.56,67.35,-47.79
2025,A,ThirdWave_BOTH,11,28,13,15,46.43,190.91,883.55,-692.64,1.276,6.82,67.97,-46.18
2025,A,ThirdWave_BOTH,12,17,10,7,58.82,335.88,649.5,-313.62,2.071,19.76,64.95,-44.8
2025,A,ThirdWave_BOTH,13,25,10,15,40.0,67.98,702.1,-634.12,1.107,2.72,70.21,-42.27
2025,A,ThirdWave_BOTH,14,28,10,18,35.71,-148.94,674.4,-823.34,0.819,-5.32,67.44,-45.74
2025,A,ThirdWave_BOTH,15,27,12,15,44.44,150.01,821.85,-671.84,1.223,5.56,68.49,-44.79
2025,A,ThirdWave_BOTH,16,22,11,11,50.0,258.26,762.28,-504.02,1.512,11.74,69.3,-45.82
2025,A,ThirdWave_BOTH,17,18,4,14,22.22,-367.37,286.7,-654.07,0.438,-20.41,71.68,-46.72
2025,A,ThirdWave_BOTH,18,23,8,15,34.78,-194.06,516.07,-710.13,0.727,-8.44,64.51,-47.34
2025,A,ThirdWave_BOTH,19,29,11,18,37.93,-89.86,716.0,-805.86,0.888,-3.1,65.09,-44.77
2025,A,ThirdWave_BOTH,20,25,9,16,36.0,-164.7,586.63,-751.33,0.781,-6.59,65.18,-46.96
2025,A,ThirdWave_BOTH,21,19,6,13,31.58,-258.57,358.14,-616.71,0.581,-13.61,59.69,-47.44
2025,A,ThirdWave_BOTH,22,24,9,15,37.5,-136.58,580.03,-716.61,0.809,-5.69,64.45,-47.77
2025,A,ThirdWave_BOTH,23,17,8,9,47.06,97.52,589.43,-491.91,1.198,5.74,73.68,-54.66
2025,B,ThirdWave_LONG_ONLY,01,5,1,4,20.0,-114.45,63.63,-178.08,0.357,-22.89,63.63,-44.52
2025,B,ThirdWave_LONG_ONLY,02,10,3,7,30.0,-111.85,204.66,-316.51,0.647,-11.18,68.22,-45.22
2025,B,ThirdWave_LONG_ONLY,03,9,4,5,44.44,73.33,268.41,-195.08,1.376,8.15,67.1,-39.02
2025,B,ThirdWave_LONG_ONLY,04,10,4,6,40.0,-26.96,258.9,-285.86,0.906,-2.7,64.72,-47.64
2025,B,ThirdWave_LONG_ONLY,05,10,2,8,20.0,-233.32,121.51,-354.83,0.342,-23.33,60.75,-44.35
2025,B,ThirdWave_LONG_ONLY,06,2,1,1,50.0,-0.88,37.14,-38.02,0.977,-0.44,37.14,-38.02
2025,B,ThirdWave_LONG_ONLY,07,11,8,3,72.73,414.62,539.89,-125.27,4.31,37.69,67.49,-41.76
2025,B,ThirdWave_LONG_ONLY,08,11,4,7,36.36,-61.4,230.67,-292.07,0.79,-5.58,57.67,-41.72
2025,B,ThirdWave_LONG_ONLY,09,9,4,5,44.44,15.79,241.18,-225.39,1.07,1.75,60.29,-45.08
2025,B,ThirdWave_LONG_ONLY,10,10,3,7,30.0,-143.02,181.72,-324.74,0.56,-14.3,60.57,-46.39
2025,B,ThirdWave_LONG_ONLY,11,20,9,11,45.0,103.45,577.64,-474.19,1.218,5.17,64.18,-43.11
