period,scenario,symbol,direction,time,close_time,entry_price,sl,tp,result_R,net_profit,fx_bucket,session,month,scan_driver_symbol,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_2R,time_to_1R,time_to_SL,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h4_fib_retracement_pct,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,h1_counter_wave_atr,bos_level_type,true_bos_level,m15_trigger_type,room_to_1r,room_to_2r,nearest_obstacle_type,nearest_obstacle_price,sl_atr,label,fail_reason,h4_pivot_sequence,h1_pivot_sequence,h4_impulse_atr,room_to_target_label,cond_h4_bias_ma,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_room_to_2r,cond_h4_dow_bias,cond_m15_close_bos,cond_room_to_1r,cond_sl_atr_ok
2025-02,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,EURJPY,SHORT,2025.02.04 17:20:00,2025.02.05 01:46:44,160.423,160.674,159.921,2.008,96.23,FX,server_16_23,2025-02,USDJPY,2.331,0.721,true,true,true,115.0,,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,5.01,last_higher_low,160.172,m15_prev_extreme_bos,2.12,1.06,h4_impulse_low,159.892,1.58,condition_factorial_candidate,,A_high@2025.01.29 20:00=161.82900|B_low@2025.01.31 00:00=159.89200|C_high@2025.01.31 16:00=161.48800,high_latest@2025.02.04 11:00=160.64400|low_latest@2025.02.04 13:00=160.17200|bos@2025.02.04 13:00=160.17200,1.90,room_to_2r_ok,true,false,true,true,true,true,true,true,true,false,true,true
2025-02,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,EURUSD,SHORT,2025.02.07 17:35:00,2025.02.07 18:40:15,1.03767,1.0401,1.03281,2.0,97.2,FX,server_16_23,2025-02,USDJPY,2.296,0.374,true,true,true,10.0,,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,1.74,weak_higher_low,1.03719,m15_true_bos_close,0.2,0.1,h1_counter_low,1.03719,1.81,condition_factorial_candidate,,A_high@2025.02.05 16:00=1.04419|B_low@2025.02.06 12:00=1.03517|C_high@2025.02.06 20:00=1.03958,high_latest@2025.02.07 10:00=1.03992|low_latest@2025.02.07 08:00=1.03719|bos@2025.02.07 08:00=1.03719,3.37,insufficient_room_to_1r,true,true,true,false,true,true,false,false,false,true,false,true
2025-02,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,LONG,2025.02.19 19:50:00,2025.02.19 21:08:21,151.744,151.525,152.182,-1.005,-50.82,FX,server_16_23,2025-02,USDJPY,0.361,1.644,false,false,false,,70.0,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.37,weak_lower_high,151.948,m15_prev_extreme_bos,0.93,0.47,h1_counter_high,151.948,1.84,condition_factorial_candidate,,A_low@2025.02.18 00:00=151.22500|B_high@2025.02.18 04:00=152.21100|C_low@2025.02.18 16:00=151.52300,high_latest@2025.02.19 13:00=151.94800|low_latest@2025.02.19 11:00=151.54100|bos@2025.02.19 13:00=151.94800,2.66,insufficient_room_to_1r,false,false,true,false,true,true,true,false,true,false,false,true
2025-02,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,2025.02.21 22:05:00,2025.02.24 01:02:04,2935.86,2939.19,2929.2,-1.039,-47.84,XAUUSD,server_16_23,2025-02,USDJPY,1.165,1.396,true,true,false,10.0,3055.0,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.77,last_higher_low,2921.59,m15_prev_extreme_bos,3.54,1.77,h4_impulse_low,2924.08,1.14,condition_factorial_candidate,,A_high@2025.02.20 08:00=2954.82000|B_low@2025.02.20 16:00=2924.08000|C_high@2025.02.21 00:00=2949.71000,high_latest@2025.02.21 16:00=2939.01000|low_latest@2025.02.21 17:00=2921.59000|bos@2025.02.21 17:00=2921.59000,1.91,room_to_2r_ok,false,false,true,true,true,true,true,true,true,false,true,true
2025-02,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,2025.02.24 16:50:00,2025.02.24 17:06:13,149.423,149.506,149.257,2.0,102.32,FX,server_16_23,2025-02,USDJPY,2.434,1.133,true,true,true,-5.0,-5.0,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.5,last_higher_low,149.226,m15_prev_extreme_bos,2.04,1.02,h4_impulse_low,149.254,0.61,condition_factorial_candidate,,A_high@2025.02.19 04:00=152.30600|B_low@2025.02.21 00:00=149.25400|C_high@2025.02.21 04:00=150.72700,high_latest@2025.02.24 04:00=149.48700|low_latest@2025.02.24 10:00=149.22600|bos@2025.02.24 10:00=149.22600,5.27,room_to_2r_ok,true,true,true,true,true,true,true,true,true,false,true,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,GBPUSD,SHORT,2025.08.04 18:35:00,2025.08.05 19:30:05,1.32859,1.3315,1.32277,-1.0,-49.68,FX,server_16_23,2025-08,USDJPY,0.924,1.017,true,false,false,,1495.0,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.84,last_higher_low,1.32636,m15_prev_extreme_bos,1.14,0.57,h1_counter_low,1.32526,1.91,condition_factorial_candidate,,,high_latest@2025.08.04 14:00=1.33130|low_latest@2025.08.04 10:00=1.32636|bos@2025.08.04 10:00=1.32636,0.00,room_to_1r_only,true,false,true,true,true,true,true,false,false,false,true,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,2025.08.12 15:35:00,2025.08.12 17:15:21,3350.6,3358.35,3335.1,2.039,94.8,XAUUSD,server_08_15,2025-08,USDJPY,2.521,0.956,true,true,true,-5.0,,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,1.45,weak_higher_low,3342.25,m15_true_bos_close,1.08,0.54,h1_counter_low,3342.25,1.74,condition_factorial_candidate,,,high_latest@2025.08.12 10:00=3358.13000|low_latest@2025.08.12 09:00=3342.25000|bos@2025.08.12 09:00=3342.25000,0.00,room_to_1r_only,false,false,true,false,true,true,false,false,true,true,true,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,2025.08.15 11:35:00,2025.08.18 02:17:57,3340.81,3348.93,3324.57,2.039,100.99,XAUUSD,server_08_15,2025-08,USDJPY,2.131,0.631,true,true,true,3745.0,,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.84,last_higher_low,3332.19,m15_prev_extreme_bos,1.35,0.68,h1_counter_low,3329.82,2.14,condition_factorial_candidate,,,high_latest@2025.08.15 08:00=3348.74000|low_latest@2025.08.15 02:00=3332.19000|bos@2025.08.15 02:00=3332.19000,0.00,room_to_1r_only,true,false,true,true,true,true,true,false,false,false,true,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,2025.08.15 18:50:00,2025.08.18 09:28:20,1.35658,1.35426,1.36122,-1.0,-48.91,FX,server_16_23,2025-08,USDJPY,0.0,1.129,false,false,false,,3745.0,none,ma_bias_pass,dow_bias_pass,too_shallow_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,0.0,weak_lower_high,1.35594,m15_true_bos_close,1.22,0.61,h4_impulse_high,1.35941,2.14,condition_factorial_candidate,,A_low@2025.08.11 16:00=1.33982|B_high@2025.08.14 12:00=1.35941|C_low@2025.08.14 16:00=1.35199,high_latest@2025.08.15 10:00=1.35594|low_latest@2025.08.15 15:00=1.35446|bos@2025.08.15 10:00=1.35594,7.07,room_to_1r_only,true,false,true,false,false,true,false,false,true,true,true,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,LONG,2025.08.19 12:35:00,2025.08.19 13:24:00,147.783,147.599,148.151,-1.0,-49.86,FX,server_08_15,2025-08,USDJPY,0.011,1.033,false,false,false,,40.0,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.83,weak_lower_high,148.105,m15_prev_extreme_bos,0.93,0.46,h4_impulse_high,147.954,2.19,condition_factorial_candidate,,A_low@2025.08.14 08:00=146.20700|B_high@2025.08.14 20:00=147.95400|C_low@2025.08.15 12:00=146.72900,high_latest@2025.08.19 04:00=148.10500|low_latest@2025.08.19 04:00=147.61400|bos@2025.08.19 04:00=148.10500,4.74,insufficient_room_to_1r,true,false,true,false,true,true,true,false,true,false,false,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,2025.08.19 15:20:00,2025.08.19 16:07:49,3338.77,3341.92,3332.47,2.003,94.65,XAUUSD,server_08_15,2025-08,USDJPY,4.108,0.4,true,true,true,10.0,,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,2.11,weak_higher_low,3326.04,m15_prev_extreme_bos,4.04,2.02,h1_counter_low,3326.04,1.33,condition_factorial_candidate,,,high_latest@2025.08.19 10:00=3341.73000|low_latest@2025.08.19 03:00=3326.04000|bos@2025.08.19 03:00=3326.04000,0.00,room_to_2r_ok,true,false,true,false,true,true,true,true,false,false,true,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,LONG,2025.08.20 11:05:00,2025.08.20 13:15:48,147.583,147.403,147.943,-1.017,-50.9,FX,server_08_15,2025-08,USDJPY,0.311,1.233,false,false,false,,130.0,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.39,weak_lower_high,147.811,m15_prev_extreme_bos,1.27,0.63,h1_counter_high,147.811,1.7,condition_factorial_candidate,,A_low@2025.08.15 12:00=146.72900|B_high@2025.08.19 04:00=148.10500|C_low@2025.08.19 08:00=147.52400,high_latest@2025.08.20 03:00=147.81100|low_latest@2025.08.20 04:00=147.41800|bos@2025.08.20 03:00=147.81100,4.21,room_to_1r_only,true,true,true,false,true,true,true,false,false,false,true,true
