run,year,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,LONG,510,196,314,38.43,-1305.43,12939.26,-14244.69,0.908,-2.56,66.02,-45.37
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,LONG,357,142,215,39.78,-401.11,9785.14,-10186.25,0.961,-1.12,68.91,-47.38
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,LONG,181,73,108,40.33,36.7,5134.71,-5098.01,1.007,0.2,70.34,-47.2
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,LONG,162,68,94,41.98,381.21,4813.1,-4431.89,1.086,2.35,70.78,-47.15
