entry_selection_mode,period,router_decision,candidates,hypothetical_wins,hypothetical_losses,hypothetical_win_rate,hypothetical_net_profit,hypothetical_profit_factor,hypothetical_expected_payoff,hypothetical_avg_R,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct,same_bar_ambiguous,fx_hypothetical_net,xauusd_hypothetical_net,long_hypothetical_net,short_hypothetical_net
ALL_SCORE_PASSING,2025-02,dirty_skipped,27,8,19,29.63,-138.57,0.844,-5.13,-0.111,1.803,0.915,62.96,37.04,29.63,51.85,0,-189.49,50.92,-422.69,284.12
ALL_SCORE_PASSING,2025-02,strong_blocked_spread_guard,1,0,1,0.0,-46.27,0.0,-46.27,-1.0,0.028,1.182,0.0,0.0,0.0,100.0,0,-46.27,0,0,-46.27
ALL_SCORE_PASSING,2025-02,strong_ordered,2,1,1,50.0,52.32,2.167,26.16,0.5,1.231,0.7,50.0,50.0,50.0,50.0,0,-44.84,97.16,0,52.32
ALL_SCORE_PASSING,2025-02,weak_routed_to_retest,11,5,6,45.45,185.85,1.649,16.9,0.364,2.571,0.772,54.55,45.45,45.45,54.55,0,137.75,48.1,-93.68,279.53
ALL_SCORE_PASSING,2025-08,dirty_skipped,14,8,6,57.14,462.39,2.69,33.03,0.714,1.397,0.946,71.43,64.29,57.14,64.29,0,272.85,189.54,642.25,-179.86
ALL_SCORE_PASSING,2025-08,weak_routed_to_retest,5,2,3,40.0,51.26,1.368,10.25,0.2,1.132,1.273,80.0,40.0,40.0,80.0,0,51.26,0,96.18,-44.92
ALL_SCORE_PASSING,2025-10,dirty_skipped,16,7,9,43.75,212.32,1.498,13.27,0.312,1.328,0.859,68.75,56.25,43.75,62.5,0,97.96,114.36,154.94,57.38
ALL_SCORE_PASSING,2025-10,strong_blocked_existing_position,1,1,0,100.0,96.84,,96.84,2.0,2.217,0.918,100.0,100.0,100.0,100.0,0,0,96.84,96.84,0
ALL_SCORE_PASSING,2025-10,strong_blocked_spread_guard,3,3,0,100.0,293.51,,97.84,2.0,2.116,0.179,100.0,100.0,100.0,66.67,0,293.51,0,0,293.51
ALL_SCORE_PASSING,2025-10,strong_ordered,1,1,0,100.0,93.96,,93.96,2.0,2.057,0.941,100.0,100.0,100.0,100.0,0,0,93.96,93.96,0
ALL_SCORE_PASSING,2025-10,weak_routed_to_retest,7,4,3,57.14,251.46,2.77,35.92,0.714,1.428,0.83,71.43,71.43,57.14,71.43,0,153.88,97.58,54.18,197.28
ALL_SCORE_PASSING,2026-Q1,dirty_skipped,76,19,57,25.0,-781.54,0.702,-10.28,-0.25,1.189,1.048,72.37,52.63,25.0,63.16,0,-440.22,-341.32,-641.33,-140.21
ALL_SCORE_PASSING,2026-Q1,strong_blocked_spread_guard,3,2,1,66.67,170.3,7.412,56.77,1.0,1.414,1.077,66.67,66.67,66.67,100.0,0,170.3,0,0,170.3
ALL_SCORE_PASSING,2026-Q1,strong_ordered,5,1,4,20.0,-86.99,0.517,-17.4,-0.4,1.173,1.091,80.0,60.0,20.0,80.0,0,-4.79,-82.2,-37.16,-49.83
ALL_SCORE_PASSING,2026-Q1,weak_routed_to_retest,35,10,25,28.57,-222.04,0.807,-6.34,-0.143,1.192,1.1,71.43,54.29,25.71,65.71,0,148.34,-370.38,-203.55,-18.49
BEST_ONLY,2025-02,dirty_skipped,27,8,19,29.63,-138.57,0.844,-5.13,-0.111,1.803,0.915,62.96,37.04,29.63,51.85,0,-189.49,50.92,-422.69,284.12
BEST_ONLY,2025-02,strong_blocked_spread_guard,1,0,1,0.0,-46.27,0.0,-46.27,-1.0,0.028,1.182,0.0,0.0,0.0,100.0,0,-46.27,0,0,-46.27
BEST_ONLY,2025-02,strong_ordered,2,1,1,50.0,52.32,2.167,26.16,0.5,1.231,0.7,50.0,50.0,50.0,50.0,0,-44.84,97.16,0,52.32
BEST_ONLY,2025-02,weak_routed_to_retest,11,5,6,45.45,185.85,1.649,16.9,0.364,2.571,0.772,54.55,45.45,45.45,54.55,0,137.75,48.1,-93.68,279.53
BEST_ONLY,2025-08,dirty_skipped,14,8,6,57.14,462.39,2.69,33.03,0.714,1.397,0.946,71.43,64.29,57.14,64.29,0,272.85,189.54,642.25,-179.86
BEST_ONLY,2025-08,weak_routed_to_retest,5,2,3,40.0,51.26,1.368,10.25,0.2,1.132,1.273,80.0,40.0,40.0,80.0,0,51.26,0,96.18,-44.92
BEST_ONLY,2025-10,dirty_skipped,16,7,9,43.75,212.32,1.498,13.27,0.312,1.328,0.859,68.75,56.25,43.75,62.5,0,97.96,114.36,154.94,57.38
BEST_ONLY,2025-10,strong_blocked_spread_guard,3,3,0,100.0,293.51,,97.84,2.0,2.116,0.179,100.0,100.0,100.0,66.67,0,293.51,0,0,293.51
BEST_ONLY,2025-10,strong_not_ordered,1,1,0,100.0,96.84,,96.84,2.0,2.217,0.918,100.0,100.0,100.0,100.0,0,0,96.84,96.84,0
BEST_ONLY,2025-10,strong_ordered,1,1,0,100.0,93.96,,93.96,2.0,2.057,0.941,100.0,100.0,100.0,100.0,0,0,93.96,93.96,0
BEST_ONLY,2025-10,weak_routed_to_retest,7,4,3,57.14,251.46,2.77,35.92,0.714,1.428,0.83,71.43,71.43,57.14,71.43,0,153.88,97.58,54.18,197.28
BEST_ONLY,2026-Q1,dirty_skipped,76,19,57,25.0,-781.54,0.702,-10.28,-0.25,1.189,1.048,72.37,52.63,25.0,63.16,0,-440.22,-341.32,-641.33,-140.21
BEST_ONLY,2026-Q1,strong_blocked_spread_guard,3,2,1,66.67,170.3,7.412,56.77,1.0,1.414,1.077,66.67,66.67,66.67,100.0,0,170.3,0,0,170.3
BEST_ONLY,2026-Q1,strong_ordered,5,1,4,20.0,-86.99,0.517,-17.4,-0.4,1.173,1.091,80.0,60.0,20.0,80.0,0,-4.79,-82.2,-37.16,-49.83
BEST_ONLY,2026-Q1,weak_routed_to_retest,35,10,25,28.57,-222.04,0.807,-6.34,-0.143,1.192,1.1,71.43,54.29,25.71,65.71,0,148.34,-370.38,-203.55,-18.49
