run,year,scenario,evaluations,detail_rows,pass,fail,pass_rate,top_fail_reason,top_fail_reason_rows
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,519953,169844,53947,466006,10.38,no_trend_up,353262
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,74279,148928,8171,66108,11.0,no_trend_up,50698
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,214872,70008,22104,192768,10.29,no_trend_up,145873
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,30696,61554,3363,27333,10.96,no_trend_up,21015
