run,scenario,group,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_win,avg_loss
A,BOTH_5m_new_bar,60-65,643,248,395,38.57,-1013.09,0.939,-1.58,62.84,-42.02
A,BOTH_5m_new_bar,65-70,532,215,317,40.41,29.62,1.002,0.06,58.85,-39.82
A,BOTH_5m_new_bar,70-75,415,182,233,43.86,1166.83,1.121,2.81,59.22,-41.25
A,BOTH_5m_new_bar,75-80,63,16,47,25.4,-994.42,0.504,-15.78,63.19,-42.67
A,BOTH_5m_new_bar,80+,37,15,22,40.54,60.15,1.071,1.63,60.27,-38.36
B,LONG_ONLY_5m_new_bar,60-65,437,173,264,39.59,-92.28,0.993,-0.21,77.17,-50.92
B,LONG_ONLY_5m_new_bar,65-70,367,161,206,43.87,1861.24,1.178,5.07,76.6,-50.83
B,LONG_ONLY_5m_new_bar,70-75,326,157,169,48.16,2961.11,1.339,9.08,74.45,-51.64
B,LONG_ONLY_5m_new_bar,75-80,33,9,24,27.27,-527.89,0.578,-16.0,80.44,-52.16
B,LONG_ONLY_5m_new_bar,80+,21,5,16,23.81,-424.36,0.452,-20.21,70.1,-48.43
C,SHORT_ONLY_5m_new_bar,60-65,344,119,225,34.59,-1977.81,0.781,-5.75,59.38,-40.19
C,SHORT_ONLY_5m_new_bar,65-70,232,85,147,36.64,-1015.36,0.815,-4.38,52.79,-37.43
C,SHORT_ONLY_5m_new_bar,70-75,130,48,82,36.92,-336.25,0.889,-2.59,56.12,-36.95
C,SHORT_ONLY_5m_new_bar,75-80,39,13,26,33.33,-235.96,0.76,-6.05,57.34,-37.75
C,SHORT_ONLY_5m_new_bar,80+,12,6,6,50.0,137.01,1.631,11.42,59.05,-36.21
D,LONG_ONLY_DowFractal_5m_new_bar,60-65,233,95,138,40.77,46.23,1.006,0.2,80.91,-55.37
D,LONG_ONLY_DowFractal_5m_new_bar,65-70,216,100,116,46.3,1766.92,1.269,8.18,83.27,-56.55
D,LONG_ONLY_DowFractal_5m_new_bar,70-75,195,95,100,48.72,2115.17,1.38,10.85,80.91,-55.72
D,LONG_ONLY_DowFractal_5m_new_bar,75-80,15,3,12,20.0,-407.27,0.385,-27.15,85.01,-55.19
D,LONG_ONLY_DowFractal_5m_new_bar,80+,16,5,11,31.25,-171.14,0.701,-10.7,80.24,-52.03
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,60-65,184,78,106,42.39,447.21,1.077,2.43,80.18,-54.78
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,65-70,168,78,90,46.43,1393.34,1.278,8.29,82.2,-55.76
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,70-75,177,84,93,47.46,1569.85,1.303,8.87,80.28,-55.63
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,75-80,5,0,5,0.0,-275.77,0.0,-55.15,0.0,-55.15
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,80+,15,4,11,26.67,-254.11,0.559,-16.94,80.58,-52.4
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,60-65,571,230,341,40.28,54.29,1.003,0.1,68.37,-45.96
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,65-70,496,207,289,41.73,1036.88,1.081,2.09,67.01,-44.41
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,70-75,413,187,226,45.28,2229.66,1.217,5.4,66.87,-45.47
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,75-80,51,13,38,25.49,-840.66,0.517,-16.48,69.33,-45.84
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,80+,35,12,23,34.29,-242.61,0.759,-6.93,63.67,-43.76
