period,scenario,retest_quality,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,not_applicable,13,4,9,30.77,-71.42,0.84,-5.49,0.0,207.03,2.07,-208.98,137.56,-163.64,92.22,1.176,0.985,53.85,46.15,30.77,61.54
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,not_applicable,12,3,9,25.0,-166.94,0.626,-13.91,0.0,207.03,2.07,-304.5,137.56,-163.64,-3.3,1.091,1.031,50.0,41.67,25.0,66.67
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,deep_retest_but_reclaim,1,0,1,0.0,-50.82,0.0,-50.82,0.0,50.82,0.51,-50.82,0,-50.82,0,0.581,2.934,100.0,0.0,0.0,100.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,shallow_retest_then_go,4,1,3,25.0,-59.43,0.597,-14.86,0.0,99.64,1.0,-147.47,88.04,88.04,-147.47,0.639,0.736,25.0,25.0,25.0,50.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,deep_retest_but_reclaim,1,0,1,0.0,-50.82,0.0,-50.82,0.0,50.82,0.51,-50.82,0,-50.82,0,0.581,2.934,100.0,0.0,0.0,100.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,shallow_retest_then_go,4,1,3,25.0,-59.43,0.597,-14.86,0.0,99.64,1.0,-147.47,88.04,88.04,-147.47,0.639,0.736,25.0,25.0,25.0,50.0
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,not_applicable,2,1,1,50.0,27.14,1.514,13.57,0.0,52.77,0.52,-52.77,79.91,79.91,-52.77,1.401,0.619,100.0,50.0,50.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,not_applicable,2,1,1,50.0,27.14,1.514,13.57,0.0,52.77,0.52,-52.77,79.91,79.91,-52.77,1.401,0.619,100.0,50.0,50.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,shallow_retest_then_go,1,1,0,100.0,79.88,,79.88,0.0,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,shallow_retest_then_go,1,1,0,100.0,79.88,,79.88,0.0,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,not_applicable,5,4,1,80.0,313.57,7.348,62.71,0.0,49.4,0.49,199.43,114.14,163.54,150.03,2.092,0.858,100.0,100.0,80.0,40.0
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,not_applicable,4,3,1,75.0,212.7,5.306,53.17,0.0,49.4,0.49,98.56,114.14,163.54,49.16,2.056,0.918,100.0,100.0,75.0,50.0
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,deep_retest_but_reclaim,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,deep_retest_but_reclaim,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,not_applicable,27,4,23,14.81,-716.68,0.33,-26.54,0.0,773.2,7.69,-473.66,-243.02,-516.66,-200.02,1.088,1.209,66.67,51.85,18.52,59.26
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,not_applicable,25,3,22,12.0,-763.08,0.251,-30.52,0.0,819.6,8.15,-520.06,-243.02,-515.34,-247.74,1.015,1.243,64.0,48.0,12.0,64.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,deep_retest_but_reclaim,4,0,4,0.0,-176.18,0.0,-44.05,0.0,176.18,1.76,-96.3,-79.88,-82.93,-93.25,0.331,1.399,25.0,25.0,0.0,100.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,shallow_retest_then_go,13,3,10,23.08,-171.79,0.63,-13.21,0.0,235.73,2.36,-49.86,-121.93,-40.62,-131.17,1.293,1.097,92.31,61.54,23.08,46.15
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,deep_retest_but_reclaim,4,0,4,0.0,-176.18,0.0,-44.05,0.0,176.18,1.76,-96.3,-79.88,-82.93,-93.25,0.331,1.399,25.0,25.0,0.0,100.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,shallow_retest_then_go,11,2,9,18.18,-224.98,0.46,-20.45,0.0,288.92,2.89,-103.05,-121.93,-40.62,-184.36,1.277,1.142,100.0,63.64,18.18,54.55
