period,variant,wave_audit_label,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,chasing_entry,156,70,86,44.87,834.97,1.189,5.35,0.137,639.21,5.74,7,-357.42,82.71,752.26,763.03,71.94,67.95,58.97,3.347,5.021,0.1358,0.4867,52.72,3.205,0.153,0.55
2024,current_thirdwave_current_sl_1_5R,late_entry,7,3,4,42.86,19.92,1.096,2.85,0.065,155.33,1.54,3,-155.33,22.65,-2.73,-4.51,24.43,71.43,71.43,1.569,2.353,0.118,0.468,56.54,1.444,0.269,0.55
2024,current_thirdwave_current_sl_1_5R,third_wave_initial,7,1,6,14.29,-245.78,0.235,-35.11,-0.685,245.78,2.46,4,-221.63,-24.15,-221.63,-216.89,-28.89,57.14,57.14,1.494,2.241,0.1433,0.3158,42.47,1.347,0.389,0.69
2024,current_thirdwave_current_sl_1_5R,third_wave_middle,6,3,3,50.0,77.3,1.503,12.88,0.262,100.78,1.01,2,-100.78,75.43,1.87,1.25,76.05,83.33,83.33,1.625,2.438,0.1155,0.4011,52.64,1.508,0.203,0.31
2024,current_thirdwave_current_sl_1_5R,unclear,2,1,1,50.0,27.84,1.53,13.92,0.302,52.56,0.53,1,-52.56,0,27.84,0,27.84,100.0,0.0,1.39,2.085,0.162,0.1349,84.76,1.23,0.33,0.36
2024,v4_micro_or_candle_lower_tf_sl_1_2R,chasing_entry,206,94,112,45.63,-311.88,0.942,-1.51,0.009,1016.15,9.86,9,-437.96,41.76,-353.64,-170.44,-141.44,68.45,59.22,2.482,2.978,0.137,0.4885,56.51,2.5,0.185,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,late_entry,14,5,9,35.71,-197.04,0.588,-14.07,-0.302,318.68,3.19,4,-243.04,-137.64,-59.4,82.19,-279.23,64.29,50.0,1.403,1.683,0.1472,0.6067,57.04,1.814,0.307,0.71
2024,v4_micro_or_candle_lower_tf_sl_1_2R,third_wave_initial,8,4,4,50.0,36.58,1.194,4.57,0.097,97.14,0.96,2,-91.63,-32.41,68.99,71.7,-35.12,37.5,37.5,1.347,1.617,0.1421,0.5564,47.59,1.346,0.356,0.81
2024,v4_micro_or_candle_lower_tf_sl_1_2R,third_wave_middle,9,4,5,44.44,-14.8,0.938,-1.64,-0.02,145.06,1.45,3,-145.06,-30.87,16.07,-145.32,130.52,44.44,33.33,1.609,1.931,0.1473,0.5763,53.8,1.679,0.263,0.58
2024,v4_micro_or_candle_lower_tf_sl_1_2R,unclear,3,2,1,66.67,64.79,2.363,21.6,0.458,47.55,0.47,1,-47.55,0,64.79,112.34,-47.55,100.0,66.67,1.357,1.628,0.0792,0.461,86.64,1.257,0.167,0.26
2024,v4_micro_or_candle_lower_tf_sl_1_3R,chasing_entry,204,89,115,43.63,-327.21,0.941,-1.6,0.008,901.01,8.83,9,-435.57,117.5,-444.71,-38.63,-288.58,68.63,58.82,2.482,3.226,0.1369,0.4872,56.59,2.501,0.185,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,late_entry,14,5,9,35.71,-172.67,0.639,-12.33,-0.265,309.1,3.09,4,-243.06,-133.12,-39.55,102.04,-274.71,64.29,50.0,1.403,1.824,0.1472,0.6067,57.04,1.814,0.307,0.71
2024,v4_micro_or_candle_lower_tf_sl_1_3R,third_wave_initial,8,4,4,50.0,55.64,1.295,6.95,0.148,97.14,0.96,2,-91.64,-23.59,79.23,81.58,-25.94,37.5,37.5,1.347,1.752,0.1421,0.5564,47.59,1.346,0.356,0.81
2024,v4_micro_or_candle_lower_tf_sl_1_3R,third_wave_middle,9,4,5,44.44,2.69,1.011,0.3,0.018,143.61,1.44,3,-143.61,-21.58,24.27,-145.33,148.02,44.44,33.33,1.609,2.092,0.1473,0.5763,53.8,1.679,0.262,0.58
2024,v4_micro_or_candle_lower_tf_sl_1_3R,unclear,3,2,1,66.67,74.5,2.567,24.83,0.527,47.55,0.47,1,-47.55,0,74.5,122.05,-47.55,100.0,66.67,1.357,1.764,0.0792,0.461,86.64,1.257,0.167,0.26
2024,v4_without_weak_lower_tf_sl_1_3R,chasing_entry,240,104,136,43.33,-312.67,0.951,-1.3,0.008,900.18,8.89,9,-419.85,-114.0,-198.67,-8.72,-303.95,63.33,50.0,2.427,3.156,0.1376,0.4727,56.53,2.429,0.191,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,late_entry,15,6,9,40.0,-59.41,0.857,-3.96,-0.083,179.14,1.79,3,-144.8,-21.5,-37.91,102.17,-161.58,66.67,46.67,1.425,1.852,0.1405,0.6396,56.75,1.711,0.258,0.61
2024,v4_without_weak_lower_tf_sl_1_3R,third_wave_initial,12,2,10,16.67,-407.33,0.231,-33.94,-0.755,422.95,4.22,5,-298.74,-199.52,-207.81,80.78,-488.11,50.0,25.0,1.461,1.899,0.1515,0.5012,45.36,1.403,0.336,0.8
2024,v4_without_weak_lower_tf_sl_1_3R,third_wave_middle,13,4,9,30.77,-217.91,0.479,-16.76,-0.357,244.55,2.45,4,-187.33,-175.26,-42.65,-140.4,-77.51,53.85,23.08,1.478,1.921,0.1511,0.5009,51.63,1.572,0.288,0.6
2024,v4_without_weak_lower_tf_sl_1_3R,unclear,5,3,2,60.0,85.44,1.919,17.09,0.383,47.55,0.47,1,-45.41,58.77,26.67,119.63,-34.19,80.0,40.0,1.332,1.732,0.1061,0.522,86.73,1.236,0.208,0.36
2025,current_thirdwave_current_sl_1_5R,chasing_entry,251,99,152,39.44,-391.7,0.945,-1.56,-0.006,1015.45,9.6,7,-348.97,-387.35,-4.35,-440.73,49.03,77.29,59.76,3.265,4.897,0.0985,0.4743,55.69,3.144,0.093,0.41
2025,current_thirdwave_current_sl_1_5R,late_entry,2,1,1,50.0,24.38,1.533,12.19,0.255,45.76,0.46,1,-45.76,0,24.38,0,24.38,100.0,0.0,1.655,2.482,0.0548,0.2979,49.58,1.56,0.085,0.11
2025,current_thirdwave_current_sl_1_5R,third_wave_initial,4,1,3,25.0,-92.27,0.441,-23.07,-0.517,113.62,1.13,2,-113.62,-51.32,-40.95,31.59,-123.86,75.0,50.0,1.613,2.419,0.0868,0.2063,45.7,1.508,0.183,0.45
2025,current_thirdwave_current_sl_1_5R,third_wave_middle,10,5,5,50.0,120.51,1.488,12.05,0.267,100.84,1.01,2,-100.84,27.85,92.66,-48.48,168.99,30.0,60.0,1.36,2.04,0.1268,0.5087,41.18,1.222,0.329,0.8
2025,current_thirdwave_current_sl_1_5R,unclear,2,0,2,0.0,-92.9,0.0,-46.45,-1.003,92.9,0.93,2,-92.9,0,-92.9,-92.9,0,100.0,100.0,1.45,2.175,0.0887,0.8046,85.17,1.36,0.15,0.2
2025,v4_micro_or_candle_lower_tf_sl_1_2R,chasing_entry,293,146,147,49.83,1160.71,1.16,3.96,0.105,437.64,4.11,8,-394.31,188.3,972.41,1590.11,-429.4,73.38,55.29,2.51,3.012,0.0992,0.4766,54.83,2.454,0.142,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,late_entry,15,4,11,26.67,-307.38,0.441,-20.49,-0.423,393.43,3.93,8,-393.43,-139.67,-167.71,-228.29,-79.09,66.67,60.0,1.405,1.686,0.0934,0.4491,54.66,2.095,0.227,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,third_wave_initial,12,4,8,33.33,-155.72,0.61,-12.98,-0.269,252.07,2.52,5,-252.07,-40.38,-115.34,-172.21,16.49,75.0,66.67,1.542,1.85,0.0942,0.4025,54.72,1.331,0.204,0.48
2025,v4_micro_or_candle_lower_tf_sl_1_2R,third_wave_middle,10,7,3,70.0,272.28,2.796,27.23,0.546,96.38,0.96,2,-96.38,-41.9,314.18,180.63,91.65,70.0,50.0,1.499,1.799,0.1006,0.4764,55.94,1.643,0.243,0.72
2025,v4_micro_or_candle_lower_tf_sl_1_2R,unclear,7,2,5,28.57,-126.28,0.489,-18.04,-0.381,186.88,1.87,3,-145.27,-49.51,-76.77,18.99,-145.27,85.71,57.14,1.426,1.711,0.1107,0.3908,84.12,1.331,0.231,0.6
2025,v4_micro_or_candle_lower_tf_sl_1_3R,chasing_entry,291,138,153,47.42,1073.71,1.145,3.69,0.1,496.56,4.71,8,-391.71,-31.57,1105.28,1541.57,-467.86,73.54,54.98,2.506,3.257,0.0987,0.4775,54.92,2.451,0.139,0.82
