period,variant,scenario,symbol,direction,month,session,regime,is_xauusd,reversal_signal_type,wave_audit_label,sl_mode,reward_r,current_result_R,current_profit,shadow_outcome,shadow_result_R,shadow_profit,tp_hit,sl_hit,same_bar_ambiguous,time_to_tp_minutes,time_to_sl_minutes,mae_R,mfe_R,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,hypothetical_lot_size,invalid_stops,sl_too_tight,sl_too_wide,not_enough_money,delta_result_R_vs_current
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.2,-1.0,-49.08,sl,-1.0,-49.08,0,1,0,,115.0,1.0016,0.0228,12.269999999999982,12269999999.99998,14.723999999999977,14723999999.999977,0.04,0,0,0,0,0.0
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.3,-1.0,-49.08,sl,-1.0,-49.08,0,1,0,,115.0,1.0016,0.0228,12.269999999999982,12269999999.99998,15.950999999999977,15950999999.999977,0.04,0,0,0,0,0.0
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.5,-1.0,-49.08,sl,-1.0,-49.08,0,1,0,,115.0,1.0016,0.0228,12.269999999999982,12269999999.99998,18.404999999999973,18404999999.999973,0.04,0,0,0,0,0.0
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.2,-1.0,-49.08,sl,-1.0,-49.08,0,1,0,,65.0,1.5704,0.0487,5.75,5750000000.0,6.8999999999999995,6899999999.999999,0.0854,0,0,0,0,0.0
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.3,-1.0,-49.08,sl,-1.0,-49.08,0,1,0,,65.0,1.5704,0.0487,5.75,5750000000.0,7.4750000000000005,7475000000.0,0.0854,0,0,0,0,0.0
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.5,-1.0,-49.08,sl,-1.0,-49.08,0,1,0,,65.0,1.5704,0.0487,5.75,5750000000.0,8.625,8625000000.0,0.0854,0,0,0,0,0.0
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,USDJPY,SHORT,2025-02,server_16_23,REGIME_TREND_DOWN,FX,unclear,chasing_entry,CURRENT_SL,1.2,-1.0062,-47.04,sl,-1.0,-46.75,0,1,0,,40.0,1.1209,0.3178,0.6449999999999818,644999999.9999818,0.7739999999999781,773999999.9999781,0.11,0,0,0,0,0.0062
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,USDJPY,SHORT,2025-02,server_16_23,REGIME_TREND_DOWN,FX,unclear,chasing_entry,CURRENT_SL,1.3,-1.0062,-47.04,sl,-1.0,-46.75,0,1,0,,40.0,1.1209,0.3178,0.6449999999999818,644999999.9999818,0.8384999999999764,838499999.9999763,0.11,0,0,0,0,0.0062
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,USDJPY,SHORT,2025-02,server_16_23,REGIME_TREND_DOWN,FX,unclear,chasing_entry,CURRENT_SL,1.5,-1.0062,-47.04,sl,-1.0,-46.75,0,1,0,,40.0,1.1209,0.3178,0.6449999999999818,644999999.9999818,0.9674999999999727,967499999.9999727,0.11,0,0,0,0,0.0062
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,USDJPY,SHORT,2025-02,server_16_23,REGIME_TREND_DOWN,FX,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.2,-1.0062,-47.04,sl,-1.0,-46.75,0,1,0,,40.0,1.1209,0.3178,0.6449999999999818,644999999.9999818,0.7739999999999781,773999999.9999781,0.11,0,0,0,0,0.0062
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,USDJPY,SHORT,2025-02,server_16_23,REGIME_TREND_DOWN,FX,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.3,-1.0062,-47.04,sl,-1.0,-46.75,0,1,0,,40.0,1.1209,0.3178,0.6449999999999818,644999999.9999818,0.8384999999999764,838499999.9999763,0.11,0,0,0,0,0.0062
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,USDJPY,SHORT,2025-02,server_16_23,REGIME_TREND_DOWN,FX,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.5,-1.0062,-47.04,sl,-1.0,-46.75,0,1,0,,40.0,1.1209,0.3178,0.6449999999999818,644999999.9999818,0.9674999999999727,967499999.9999727,0.11,0,0,0,0,0.0062
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,USDJPY,SHORT,2025-02,server_16_23,REGIME_TREND_DOWN,FX,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.2,-1.0062,-47.04,sl,-1.0,-46.75,0,1,0,,40.0,1.9127,0.5423,0.3779999999999859,377999999.9999859,0.4535999999999831,453599999.9999831,0.1877,0,0,0,0,0.0062
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,USDJPY,SHORT,2025-02,server_16_23,REGIME_TREND_DOWN,FX,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.3,-1.0062,-47.04,sl,-1.0,-46.75,0,1,0,,40.0,1.9127,0.5423,0.3779999999999859,377999999.9999859,0.4913999999999817,491399999.99998164,0.1877,0,0,0,0,0.0062
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,USDJPY,SHORT,2025-02,server_16_23,REGIME_TREND_DOWN,FX,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.5,-1.0062,-47.04,sl,-1.0,-46.75,0,1,0,,40.0,1.9127,0.5423,0.3779999999999859,377999999.9999859,0.5669999999999789,566999999.9999788,0.1877,0,0,0,0,0.0062
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.2,1.5466,71.3,tp,1.2,55.32,1,0,0,125.0,,0.2928,1.4924,4.609999999999673,4609999999.999672,5.531999999999607,5531999999.999606,0.1,0,0,0,0,-0.3466
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.3,1.5466,71.3,tp,1.3,59.93,1,0,0,125.0,,0.2928,1.4924,4.609999999999673,4609999999.999672,5.992999999999575,5992999999.999575,0.1,0,0,0,0,-0.2466
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.5,1.5466,71.3,tp,1.5,69.15,1,0,0,130.0,,0.2928,1.6551,4.609999999999673,4609999999.999672,6.914999999999509,6914999999.999509,0.1,0,0,0,0,-0.0466
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.2,1.5466,71.3,tp,1.2,55.32,1,0,0,125.0,,0.2928,1.4924,4.609999999999673,4609999999.999672,5.531999999999607,5531999999.999606,0.1,0,0,0,0,-0.3466
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.3,1.5466,71.3,tp,1.3,59.93,1,0,0,125.0,,0.2928,1.4924,4.609999999999673,4609999999.999672,5.992999999999575,5992999999.999575,0.1,0,0,0,0,-0.2466
