scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,LONG,28,28.57,0.806,-0.138,-192.2,647.85,6.2,1.181,1.072,60.71,50.0,28.57,28,0,-192.2,0,-0.138,0.0,6,11,AUDJPY:1;EURJPY:3;EURUSD:5;GBPJPY:2;GBPUSD:3;USDJPY:14,2025-01:1;2025-02:1;2025-03:5;2025-04:2;2025-06:2;2025-07:3;2025-08:5;2025-09:2;2025-10:3;2025-11:3;2025-12:1,LONG:28
A_current_broad_fx_only,SHORT,35,25.71,0.684,-0.231,-411.47,598.7,5.88,1.198,1.102,68.57,48.57,25.71,0,35,0,-411.47,0.0,-0.231,6,11,AUDJPY:1;EURJPY:6;EURUSD:3;GBPJPY:4;GBPUSD:8;USDJPY:13,2025-01:6;2025-02:3;2025-03:2;2025-04:8;2025-05:1;2025-06:2;2025-07:3;2025-08:3;2025-09:3;2025-11:3;2025-12:1,SHORT:35
B_relaxed_entry,LONG,13,30.77,0.87,-0.08,-57.93,298.95,2.93,1.226,1.06,69.23,61.54,30.77,13,0,-57.93,0,-0.08,0.0,5,8,EURJPY:2;EURUSD:2;GBPJPY:1;GBPUSD:1;USDJPY:7,2025-01:1;2025-03:2;2025-06:1;2025-07:3;2025-08:2;2025-09:1;2025-10:1;2025-11:2,LONG:13
B_relaxed_entry,SHORT,15,26.67,0.729,-0.202,-148.92,201.35,2.0,1.214,1.19,73.33,53.33,26.67,0,15,0,-148.92,0.0,-0.202,6,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;GBPUSD:3;USDJPY:7,2025-01:3;2025-02:2;2025-04:4;2025-06:1;2025-07:1;2025-08:2;2025-09:1;2025-11:1,SHORT:15
C_relaxed_room_to_1r,LONG,10,30.0,0.835,-0.104,-57.32,251.31,2.48,1.366,1.071,80.0,70.0,30.0,10,0,-57.32,0,-0.104,0.0,5,7,EURJPY:1;EURUSD:2;GBPJPY:1;GBPUSD:1;USDJPY:5,2025-01:1;2025-03:2;2025-06:1;2025-07:2;2025-08:1;2025-09:1;2025-11:2,LONG:10
C_relaxed_room_to_1r,SHORT,14,28.57,0.802,-0.145,-99.13,201.35,1.99,1.293,1.181,78.57,57.14,28.57,0,14,0,-99.13,0.0,-0.145,6,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:1;GBPUSD:3;USDJPY:7,2025-01:2;2025-02:2;2025-04:4;2025-06:1;2025-07:1;2025-08:2;2025-09:1;2025-11:1,SHORT:14
D_relaxed_room_to_2r,LONG,7,28.57,0.788,-0.148,-52.17,196.94,1.95,1.405,1.03,85.71,85.71,28.57,7,0,-52.17,0,-0.148,0.0,3,5,EURUSD:2;GBPJPY:1;USDJPY:4,2025-01:1;2025-03:1;2025-07:2;2025-09:1;2025-11:2,LONG:7
D_relaxed_room_to_2r,SHORT,10,40.0,1.341,0.199,101.99,100.4,0.99,1.383,1.2,80.0,60.0,40.0,0,10,0,101.99,0.0,0.199,5,6,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:1;USDJPY:6,2025-01:2;2025-02:2;2025-04:3;2025-06:1;2025-07:1;2025-09:1,SHORT:10
E_relaxed_room_to_2r_no_round_or_major_obstacle,LONG,4,25.0,0.628,-0.255,-55.1,99.17,0.99,1.551,1.185,100.0,100.0,25.0,4,0,-55.1,0,-0.255,0.0,2,3,EURUSD:1;USDJPY:3,2025-07:1;2025-09:1;2025-11:2,LONG:4
E_relaxed_room_to_2r_no_round_or_major_obstacle,SHORT,4,50.0,2.074,0.497,106.04,49.59,0.49,1.424,1.316,100.0,50.0,50.0,0,4,0,106.04,0.0,0.497,2,4,EURUSD:1;USDJPY:3,2025-01:1;2025-02:1;2025-06:1;2025-07:1,SHORT:4
