"Id","Magic","Symbol","Preset","Config"
"strategy01b-preset-c-usdjpy-full-2024-2026q1","2026051470","USDJPY","Preset C","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-preset-c-usdjpy-full-2024-2026q1.ini"
"strategy01b-preset-h-usdjpy-full-2024-2026q1","2026051471","USDJPY","Preset H","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-preset-h-usdjpy-full-2024-2026q1.ini"
"strategy01b-preset-j-usdjpy-full-2024-2026q1","2026051472","USDJPY","Preset J","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-preset-j-usdjpy-full-2024-2026q1.ini"
