period,variant,symbol,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount
2024,current_thirdwave_current_sl_1_5R,AUDJPY,2,0,2,0.0,-106.14,0.0,-53.07,-1.006,106.14,1.06,2,-106.14,-106.14,0,-53.94,-52.2,0.0,50.0,1006.0,4.53,1509.0,6.795,0.085,0.11,52.73
2024,current_thirdwave_current_sl_1_5R,EURJPY,12,3,9,25.0,-258.3,0.473,-21.52,-0.427,410.43,4.07,6,-334.49,-258.3,0,-126.88,-131.42,0.0,58.33,478.8,3.266,718.1,4.899,0.275,0.67,50.95
2024,current_thirdwave_current_sl_1_5R,EURUSD,1,0,1,0.0,-49.92,0.0,-49.92,-1.0,49.92,0.5,1,-49.92,-49.92,0,0,-49.92,0.0,100.0,192.0,2.72,288.0,4.08,0.26,0.26,49.92
2024,current_thirdwave_current_sl_1_5R,GBPJPY,19,11,8,57.89,428.99,2.074,22.58,0.451,101.23,0.96,2,-96.55,428.99,0,204.19,224.8,0.0,57.89,397.4,3.06,596.1,4.59,0.299,0.69,49.81
2024,current_thirdwave_current_sl_1_5R,GBPUSD,3,0,3,0.0,-161.57,0.0,-53.86,-1.071,161.57,1.62,3,-161.57,-161.57,0,-112.25,-49.32,0.0,66.67,179.7,2.71,269.5,4.065,0.317,0.42,50.23
2024,current_thirdwave_current_sl_1_5R,USDJPY,19,10,9,52.63,303.58,1.65,15.98,0.324,160.29,1.54,3,-151.92,303.58,0,94.03,209.55,0.0,57.89,367.7,2.791,551.6,4.187,0.269,0.55,51.0
2024,current_thirdwave_current_sl_1_5R,XAUUSD,122,54,68,44.26,557.61,1.161,4.57,0.13,531.98,5.01,5,-267.41,0,557.61,537.73,19.88,100.0,64.75,522.6,3.163,783.9,4.744,0.122,0.36,48.97
2024,v4_micro_or_candle_lower_tf_sl_1_2R,AUDJPY,1,0,1,0.0,-47.13,0.0,-47.13,-1.025,47.13,0.47,1,-47.13,-47.13,0,0,-47.13,0.0,100.0,526.0,2.54,631.2,3.048,0.13,0.13,45.99
2024,v4_micro_or_candle_lower_tf_sl_1_2R,EURJPY,22,10,12,45.45,-3.5,0.994,-0.16,0.006,273.82,2.7,3,-150.61,-3.5,0,46.38,-49.88,0.0,54.55,280.2,2.04,336.3,2.448,0.356,0.83,47.46
2024,v4_micro_or_candle_lower_tf_sl_1_2R,EURUSD,1,0,1,0.0,-50.46,0.0,-50.46,-1.0,50.46,0.5,1,-50.46,-50.46,0,0,-50.46,0.0,100.0,174.0,2.75,208.8,3.3,0.29,0.29,50.46
2024,v4_micro_or_candle_lower_tf_sl_1_2R,GBPJPY,23,10,13,43.48,-49.04,0.922,-2.13,-0.047,156.61,1.55,3,-136.19,-49.04,0,55.25,-104.29,0.0,52.17,341.4,2.365,409.7,2.838,0.275,0.56,48.13
2024,v4_micro_or_candle_lower_tf_sl_1_2R,GBPUSD,5,2,3,40.0,-38.38,0.761,-7.68,-0.144,109.76,1.1,2,-109.76,-38.38,0,0.64,-39.02,0.0,60.0,177.0,2.282,212.4,2.738,0.294,0.41,49.59
