time,event,symbol,direction,session,entry_selection_mode,scan_interval,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,h4_impulse_pass,h4_pullback_zone_pass,h1_counter_trend_pass,neckline_pass,structure_sl_pass,rr_pass,spread_guard_pass,spread_guard_blocked,setup_pass,entry_pass,final_entry_pass,h4_impulse_high,h4_impulse_low,h4_fib_retracement_pct,h4_atr,h1_atr,m15_atr,spread_atr,spread_points,neckline_price,neckline_break_close_price,right_side_level,entry_price,sl,tp,volume,risk_r,rr,bars_since_right_side,distance_neckline_to_entry,distance_neckline_to_entry_atr,distance_right_side_to_entry,distance_right_side_to_entry_atr,sl_points,sl_atr,tp_points,tp_atr,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason
2025.10.02 04:00:00,blocked_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_confirmation_break,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,true,false,true,false,false,3895.28,3793.16,38.36,26.30,12.47,4.51,0.0399,18.0,3870.45,0.00,3858.64,3856.29,0.00,0.00,0.00,0.00,0.00,11,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.00,0.00,true,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,no_retest_confirmation_break
2025.10.02 04:15:00,blocked_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_confirmation_break,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,true,false,true,false,false,3895.28,3793.16,38.36,26.30,12.47,4.88,0.0369,18.0,3870.45,0.00,3858.64,3859.81,0.00,0.00,0.00,0.00,0.00,12,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.00,0.00,true,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,no_retest_confirmation_break
2025.10.02 04:30:00,blocked_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_confirmation_break,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,true,false,true,false,false,3895.28,3793.16,38.36,26.30,12.47,5.23,0.0344,18.0,3870.45,0.00,3858.64,3864.06,0.00,0.00,0.00,0.00,0.00,13,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.00,0.00,true,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,no_retest_confirmation_break
2025.10.02 04:45:00,blocked_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_confirmation_break,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,true,false,true,false,false,3895.28,3793.16,38.36,26.30,12.47,4.73,0.0380,18.0,3866.57,0.00,3852.88,3863.48,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.00,0.00,true,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,no_retest_confirmation_break
2025.10.02 05:00:00,blocked_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_confirmation_break,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,true,false,true,false,false,3895.28,3793.16,38.36,26.30,13.03,4.57,0.0394,18.0,3866.57,0.00,3852.88,3865.15,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.00,0.00,true,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,no_retest_confirmation_break
2025.10.02 05:15:00,blocked_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_confirmation_break,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,true,false,true,false,false,3895.28,3793.16,38.36,26.30,13.03,4.92,0.0366,18.0,3866.57,0.00,3852.88,3870.08,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.00,0.00,true,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,no_retest_confirmation_break
2025.10.02 05:30:00,blocked_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_trigger,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,true,false,true,false,false,3895.28,3793.16,38.36,26.30,13.03,5.29,0.0340,18.0,3866.57,3869.91,3852.88,3864.16,0.00,0.00,0.00,0.00,0.00,6,2.41,0.00,11.28,0.00,0.0,0.00,0.0,0.00,0.00,true,true,true,false,false,2025.10.02 05:00:00,2025.10.02 05:15:00,,1,1,0.81,0.50,3866.57,0.81,true,deep_retest_but_reclaim_missing,no_retest_trigger
2025.10.02 05:50:00,blocked_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_trigger,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,true,false,true,false,false,3895.28,3793.16,38.36,26.30,13.03,5.25,0.0343,18.0,3865.17,3869.91,3861.57,3864.88,0.00,0.00,0.00,0.00,0.00,3,0.29,0.00,3.31,0.00,0.0,0.00,0.0,0.00,0.00,true,true,true,false,false,2025.10.02 05:00:00,2025.10.02 05:30:00,,2,2,0.39,0.50,3865.17,0.39,true,deep_retest_but_reclaim_missing,no_retest_trigger
2025.10.02 06:00:00,final_entry_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_RetestConfirmation,retest_then_go_after_return_inside,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,true,true,true,true,true,true,true,false,true,true,true,3895.28,3793.16,38.36,26.30,12.89,5.13,0.0351,18.0,3865.17,3869.91,3861.57,3866.29,3861.31,3876.25,0.10,4.98,2.00,4,1.12,0.22,4.72,0.92,498.0,0.97,996.0,1.94,121.46,true,true,true,true,false,2025.10.02 05:00:00,2025.10.02 05:45:00,2025.10.02 05:45:00,3,3,0.18,0.50,3865.17,0.18,true,deep_retest_but_reclaim,
2025.10.02 06:00:00,order_sent,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_RetestConfirmation,retest_then_go_after_return_inside,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,true,true,true,true,true,true,true,false,true,true,true,3895.28,3793.16,38.36,26.30,12.89,5.13,0.0351,18.0,3865.17,3869.91,3861.57,3866.29,3861.31,3876.25,0.10,4.98,2.00,4,1.12,0.22,4.72,0.92,498.0,0.97,996.0,1.94,121.46,true,true,true,true,false,2025.10.02 05:00:00,2025.10.02 05:45:00,2025.10.02 05:45:00,3,3,0.18,0.50,3865.17,0.18,true,deep_retest_but_reclaim,
