period,run,scenario,strategy_family,group,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_balance_dd,max_balance_dd_pct
2025-02,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,unknown,16,10,6,62.5,373.68,2.293,23.36,,102.46,0.99
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,unknown,27,13,14,48.15,278.18,1.422,10.3,,199.11,1.95
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,server_00_07,2,1,1,50.0,50.11,2.056,25.05,,47.47,0.47
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,server_08_15,4,1,3,25.0,-50.86,0.657,-12.71,,99.42,0.99
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,server_16_23,6,1,5,16.67,-166.19,0.339,-27.7,,201.94,2.01
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,server_00_07,2,1,1,50.0,50.11,2.056,25.05,,47.47,0.47
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,server_08_15,4,1,3,25.0,-50.86,0.657,-12.71,,99.42,0.99
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,server_16_23,7,2,5,28.57,-70.67,0.719,-10.1,,147.27,1.47
2025-08,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,unknown,13,5,8,38.46,-40.11,0.899,-3.09,,247.81,2.45
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,unknown,33,15,18,45.45,195.88,1.215,5.94,,385.97,3.67
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,server_16_23,2,1,1,50.0,27.14,1.514,13.57,,52.77,0.52
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,server_16_23,2,1,1,50.0,27.14,1.514,13.57,,52.77,0.52
2025-10,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,unknown,20,11,9,55.0,345.18,1.823,17.26,,176.76,1.75
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,unknown,38,16,22,42.11,79.24,1.077,2.09,,253.1,2.48
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,server_00_07,1,1,0,100.0,99.6,,99.6,,0.0,0.0
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,server_08_15,1,0,1,0.0,-49.4,0.0,-49.4,,49.4,0.49
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,server_16_23,2,2,0,100.0,162.5,,81.25,,0.0,0.0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,server_00_07,1,1,0,100.0,99.6,,99.6,,0.0,0.0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,server_08_15,2,1,1,50.0,51.47,2.042,25.74,,49.4,0.49
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,server_16_23,2,2,0,100.0,162.5,,81.25,,0.0,0.0
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,unknown,60,27,33,45.0,610.21,1.402,10.17,,278.5,2.65
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,unknown,96,43,53,44.79,1047.07,1.397,10.91,,541.77,4.72
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,server_00_07,2,1,1,50.0,27.79,1.393,13.89,,70.76,0.7
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,server_08_15,12,2,10,16.67,-272.47,0.366,-22.71,,372.41,3.69
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,server_16_23,11,0,11,0.0,-518.4,0.0,-47.13,,518.4,5.18
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,server_00_07,3,1,2,33.33,-22.97,0.811,-7.66,,121.52,1.2
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,server_08_15,12,2,10,16.67,-272.47,0.366,-22.71,,372.41,3.69
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,server_16_23,12,1,11,8.33,-421.24,0.187,-35.1,,421.24,4.21
