period,run,scenario,skip_category,skip_reason,rows
2024,C,ThirdWave_SHORT_ONLY,structure_stage,pullback_too_deep,31558
2024,C,ThirdWave_SHORT_ONLY,structure_stage,no_lower_reversal,60182
2024,C,ThirdWave_SHORT_ONLY,structure_stage,sl_too_close,334
2024,C,ThirdWave_SHORT_ONLY,structure_stage,sl_too_wide,4778
2026YTD,A,ThirdWave_BOTH,structure_stage,no_higher_tf_trend,300367
2026YTD,A,ThirdWave_BOTH,structure_stage,trend_broken,16862
2026YTD,A,ThirdWave_BOTH,structure_stage,pullback_too_shallow,14522
2026YTD,A,ThirdWave_BOTH,structure_stage,pullback_too_deep,30508
2026YTD,A,ThirdWave_BOTH,structure_stage,no_lower_reversal,58850
2026YTD,A,ThirdWave_BOTH,structure_stage,sl_too_close,225
2026YTD,A,ThirdWave_BOTH,structure_stage,sl_too_wide,6202
2026YTD,B,ThirdWave_LONG_ONLY,structure_stage,no_higher_tf_trend,145873
2026YTD,B,ThirdWave_LONG_ONLY,structure_stage,trend_broken,8051
2026YTD,B,ThirdWave_LONG_ONLY,structure_stage,pullback_too_shallow,9331
2026YTD,B,ThirdWave_LONG_ONLY,structure_stage,pullback_too_deep,15058
2026YTD,B,ThirdWave_LONG_ONLY,structure_stage,no_lower_reversal,31582
2026YTD,B,ThirdWave_LONG_ONLY,structure_stage,sl_too_close,83
2026YTD,B,ThirdWave_LONG_ONLY,structure_stage,sl_too_wide,3831
2026YTD,C,ThirdWave_SHORT_ONLY,structure_stage,no_higher_tf_trend,154494
2026YTD,C,ThirdWave_SHORT_ONLY,structure_stage,trend_broken,8811
2026YTD,C,ThirdWave_SHORT_ONLY,structure_stage,pullback_too_shallow,5191
2026YTD,C,ThirdWave_SHORT_ONLY,structure_stage,pullback_too_deep,15450
2026YTD,C,ThirdWave_SHORT_ONLY,structure_stage,no_lower_reversal,27268
2026YTD,C,ThirdWave_SHORT_ONLY,structure_stage,sl_too_close,142
2026YTD,C,ThirdWave_SHORT_ONLY,structure_stage,sl_too_wide,2371
2025,A,ThirdWave_BOTH,execution_block,spread_guard,4401
2025,A,ThirdWave_BOTH,execution_block,position_limit,859
2025,A,ThirdWave_BOTH,execution_block,order_failed,13
2025,B,ThirdWave_LONG_ONLY,execution_block,spread_guard,1968
2025,B,ThirdWave_LONG_ONLY,execution_block,position_limit,468
2025,C,ThirdWave_SHORT_ONLY,execution_block,spread_guard,2433
2025,C,ThirdWave_SHORT_ONLY,execution_block,position_limit,369
2025,C,ThirdWave_SHORT_ONLY,execution_block,order_failed,13
2024,A,ThirdWave_BOTH,execution_block,spread_guard,4431
2024,A,ThirdWave_BOTH,execution_block,position_limit,565
2024,B,ThirdWave_LONG_ONLY,execution_block,spread_guard,2147
2024,B,ThirdWave_LONG_ONLY,execution_block,position_limit,311
2024,C,ThirdWave_SHORT_ONLY,execution_block,spread_guard,2284
2024,C,ThirdWave_SHORT_ONLY,execution_block,position_limit,238
2026YTD,A,ThirdWave_BOTH,execution_block,spread_guard,1672
2026YTD,A,ThirdWave_BOTH,execution_block,position_limit,347
2026YTD,B,ThirdWave_LONG_ONLY,execution_block,spread_guard,771
2026YTD,B,ThirdWave_LONG_ONLY,execution_block,position_limit,197
2026YTD,C,ThirdWave_SHORT_ONLY,execution_block,spread_guard,901
2026YTD,C,ThirdWave_SHORT_ONLY,execution_block,position_limit,143
