variant,wave_audit_label,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,chasing_entry,100,100,48,52,48.0,1107.37,1.456,11.07,0.207,277.88,2.53,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,late_entry,2,2,2,0,100.0,156.84,,78.42,1.57,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,third_wave_initial,1,1,0,1,0.0,-46.62,0.0,-46.62,-1.001,46.62,0.47,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,third_wave_middle,5,5,3,2,60.0,120.98,2.204,24.2,0.514,100.51,0.99,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,unclear,1,1,0,1,0.0,-49.61,0.0,-49.61,-1.007,49.61,0.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,chasing_entry,170,170,74,96,43.53,1171.04,1.25,6.89,0.098,574.79,4.92,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,late_entry,8,8,3,5,37.5,-41.85,0.833,-5.23,-0.071,204.07,2.04,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,third_wave_initial,6,6,5,1,83.33,324.67,7.184,54.11,1.097,52.5,0.52,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,third_wave_middle,6,6,3,3,50.0,89.01,1.647,14.83,0.257,98.78,0.98,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,unclear,4,4,2,2,50.0,57.5,1.585,14.38,0.248,98.37,0.98,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,chasing_entry,108,108,49,59,45.37,1112.92,1.387,10.3,0.142,454.55,3.93,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,late_entry,3,3,1,2,33.33,-24.17,0.759,-8.06,-0.18,100.09,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,third_wave_initial,4,4,3,1,75.0,176.4,4.459,44.1,0.881,51.0,0.51,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,third_wave_middle,5,5,3,2,60.0,142.27,2.538,28.45,0.508,92.51,0.92,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,unclear,3,3,0,3,0.0,-151.73,0.0,-50.58,-1.029,151.73,1.52,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,chasing_entry,58,58,23,35,39.66,-55.76,0.967,-0.96,-0.013,433.84,4.18,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,late_entry,1,1,1,0,100.0,66.81,,66.81,1.524,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,third_wave_initial,3,3,1,2,33.33,-20.1,0.793,-6.7,-0.152,97.27,0.97,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,third_wave_middle,3,3,1,2,33.33,-30.46,0.697,-10.15,-0.162,100.66,1.01,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,unclear,3,3,2,1,66.67,93.41,3.011,31.14,0.67,46.44,0.46,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,chasing_entry,122,122,55,67,45.08,1108.95,1.338,9.09,0.133,513.69,4.42,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,late_entry,4,4,2,2,50.0,42.64,1.426,10.66,0.246,100.09,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,third_wave_initial,6,6,4,2,66.67,200.13,2.899,33.36,0.68,54.39,0.53,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,third_wave_middle,6,6,4,2,66.67,229.28,3.513,38.21,0.676,91.23,0.91,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,unclear,4,4,2,2,50.0,62.28,1.635,15.57,0.251,98.05,0.98,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,chasing_entry,144,144,66,78,45.83,1419.04,1.364,9.85,0.154,469.7,3.98,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,late_entry,7,7,4,3,57.14,134.96,1.917,19.28,0.426,100.09,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,third_wave_initial,6,6,4,2,66.67,198.7,2.885,33.12,0.68,54.39,0.53,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,third_wave_middle,6,6,4,2,66.67,220.76,3.42,36.79,0.678,52.47,0.52,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,unclear,3,3,0,3,0.0,-147.63,0.0,-49.21,-1.006,147.63,1.48,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
