variant,month,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,xauusd_trade_share_pct,xauusd_net_profit
current,2025-02,16,10,6,62.5,373.68,2.293,23.36,0.502,102.46,0.99,81.25,270.71
current,2025-08,13,5,8,38.46,-40.11,0.899,-3.09,-0.032,247.81,2.45,92.31,-116.33
current,2025-10,20,11,9,55.0,345.18,1.823,17.26,0.378,176.76,1.75,80.0,292.68
current,2026-01,21,10,11,47.62,243.37,1.475,11.59,0.222,277.88,2.67,90.48,344.58
current,2026-02,18,7,11,38.89,129.28,1.268,7.18,0.027,198.96,1.94,83.33,30.78
current,2026-03,21,10,11,47.62,237.56,1.454,11.31,0.196,193.39,1.87,76.19,225.21
v2_audit_filtered,2025-02,3,3,0,100.0,214.6,,71.53,1.517,0.0,0.0,33.33,64.96
v2_audit_filtered,2025-08,7,3,4,42.86,23.64,1.118,3.38,0.078,150.75,1.49,85.71,-53.53
v2_audit_filtered,2025-10,15,10,5,66.67,478.4,3.043,31.89,0.673,98.94,0.98,80.0,370.67
v2_audit_filtered,2026-01,13,6,7,46.15,157.33,1.479,12.1,0.208,197.67,1.93,92.31,206.92
v2_audit_filtered,2026-02,11,5,6,45.45,100.99,1.396,9.18,0.23,93.0,0.92,81.82,76.74
v2_audit_filtered,2026-03,9,5,4,55.56,225.3,2.29,25.03,0.389,75.11,0.73,100.0,225.3
v3_entry_timing,2025-02,1,1,0,100.0,73.77,,73.77,1.502,0.0,0.0,0.0,0
v3_entry_timing,2025-08,1,0,1,0.0,-51.0,0.0,-51.0,-1.027,51.0,0.51,100.0,-51.0
v3_entry_timing,2026-02,1,0,1,0.0,-46.62,0.0,-46.62,-1.001,46.62,0.47,100.0,-46.62
v3_entry_timing,2026-03,1,1,0,100.0,70.2,,70.2,1.526,0.0,0.0,100.0,70.2
