period,scenario,fx_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,FX,4,1,3,25.0,-56.38,0.624,-14.09,-0.254,149.83,1.5,-56.38,0,-48.66,-7.72,1.278,1.154,100.0,50.0,25.0,100.0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,XAUUSD,2,0,2,0.0,-83.52,0.0,-41.76,-1.006,83.52,0.84,0,-83.52,-38.36,-45.16,0.909,1.326,50.0,50.0,0.0,50.0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,FX,4,1,3,25.0,-56.38,0.624,-14.09,-0.254,149.83,1.5,-56.38,0,-48.66,-7.72,1.278,1.154,100.0,50.0,25.0,100.0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,XAUUSD,2,0,2,0.0,-83.52,0.0,-41.76,-1.006,83.52,0.84,0,-83.52,-38.36,-45.16,0.909,1.326,50.0,50.0,0.0,50.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,FX,19,3,16,15.79,-473.66,0.384,-24.93,-0.53,530.18,5.27,-473.66,0,-372.62,-101.04,1.175,1.151,68.42,52.63,21.05,63.16
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,8,1,7,12.5,-243.02,0.191,-30.38,-0.645,265.38,2.65,0,-243.02,-144.04,-98.98,0.881,1.345,62.5,50.0,12.5,50.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,FX,17,2,15,11.76,-520.06,0.276,-30.59,-0.651,576.58,5.73,-520.06,0,-371.3,-148.76,1.079,1.195,64.71,47.06,11.76,70.59
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,8,1,7,12.5,-243.02,0.191,-30.38,-0.645,265.38,2.65,0,-243.02,-144.04,-98.98,0.881,1.345,62.5,50.0,12.5,50.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,FX,12,3,9,25.0,-146.16,0.667,-12.18,-0.253,244.51,2.45,-146.16,0,-45.04,-101.12,1.181,1.054,75.0,50.0,25.0,58.33
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,5,0,5,0.0,-201.81,0.0,-40.36,-1.029,201.81,2.02,0,-201.81,-78.51,-123.3,0.792,1.444,80.0,60.0,0.0,60.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,FX,10,2,8,20.0,-199.35,0.491,-19.94,-0.404,244.5,2.44,-199.35,0,-45.04,-154.31,1.141,1.094,80.0,50.0,20.0,70.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,5,0,5,0.0,-201.81,0.0,-40.36,-1.029,201.81,2.02,0,-201.81,-78.51,-123.3,0.792,1.444,80.0,60.0,0.0,60.0
