cohort,router_decision,candidates,wins,losses,win_rate,net,PF,avg_R,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,false_return_pct,avg_h4_fib,avg_sl_atr,avg_touch_count,avg_close_strength,avg_close_distance_atr,avg_context_score_v0,feature,bucket
2025-02_other_dirty_weak,dirty_skipped,4,1,3,25.0,-45.36,0.679,-0.25,3.29,0.856,25.0,25.0,25.0,51.3,1.688,5.5,0.45,0.33,5.75,context_quality_v0,clean_context_v0
2025-02_other_dirty_weak,dirty_skipped,5,2,3,40.0,47.65,1.342,0.2,2.842,1.067,60.0,40.0,60.0,50.21,1.606,6.8,0.346,0.378,4.8,context_quality_v0,mixed_context_v0
2025-02_other_dirty_weak,dirty_skipped,18,5,13,27.78,-140.86,0.769,-0.167,1.184,0.885,33.33,27.78,55.56,52.15,1.729,8.89,0.297,0.363,2.72,context_quality_v0,poor_context_v0
2025-02_other_dirty_weak,weak_routed_to_retest,5,1,4,20.0,-95.77,0.501,-0.4,2.445,0.861,20.0,20.0,80.0,50.7,1.706,7.6,0.8,0.512,6.0,context_quality_v0,clean_context_v0
2025-02_other_dirty_weak,weak_routed_to_retest,2,2,0,100.0,194.03,,2.0,5.962,0.029,100.0,100.0,0.0,45.9,1.895,6.5,0.895,1.19,5.0,context_quality_v0,mixed_context_v0
2025-02_other_dirty_weak,weak_routed_to_retest,4,2,2,50.0,87.59,1.929,0.5,1.033,1.033,50.0,50.0,50.0,47.9,1.765,9.75,0.768,0.63,3.75,context_quality_v0,poor_context_v0
2025-08_other_dirty_weak,dirty_skipped,3,1,2,33.33,1.63,1.018,0.0,1.027,0.812,33.33,33.33,66.67,47.59,1.757,8.67,0.483,0.283,4.67,context_quality_v0,mixed_context_v0
2025-08_other_dirty_weak,dirty_skipped,11,7,4,63.64,460.76,3.52,0.909,1.497,0.983,72.73,63.64,63.64,50.42,1.9,8.18,0.471,0.333,2.91,context_quality_v0,poor_context_v0
2025-08_other_dirty_weak,weak_routed_to_retest,1,1,0,100.0,91.72,,2.0,2.255,0.222,100.0,100.0,0.0,52.52,1.81,13.0,0.68,0.32,6.0,context_quality_v0,clean_context_v0
2025-08_other_dirty_weak,weak_routed_to_retest,1,1,0,100.0,99.0,,2.0,2.144,0.444,100.0,100.0,100.0,60.28,1.12,7.0,0.95,0.11,5.0,context_quality_v0,mixed_context_v0
2025-08_other_dirty_weak,weak_routed_to_retest,3,0,3,0.0,-139.46,0.0,-1.0,0.421,1.9,0.0,0.0,100.0,41.89,1.88,9.0,0.647,0.433,2.67,context_quality_v0,poor_context_v0
2025_10_removed_loser_dirty_weak,dirty_skipped,2,0,2,0.0,-94.75,0.0,-1.0,0.532,1.524,0.0,0.0,50.0,49.16,2.14,4.5,0.355,0.31,4.5,context_quality_v0,mixed_context_v0
2025_10_removed_loser_dirty_weak,dirty_skipped,7,0,7,0.0,-331.33,0.0,-1.0,0.767,1.097,28.57,0.0,85.71,43.71,1.757,7.14,0.317,0.166,3.29,context_quality_v0,poor_context_v0
2025_10_removed_loser_dirty_weak,weak_routed_to_retest,3,0,3,0.0,-142.1,0.0,-1.0,0.495,1.351,33.33,0.0,100.0,44.01,1.727,4.33,0.773,0.387,6.0,context_quality_v0,clean_context_v0
2025_10_removed_winner_dirty_weak,dirty_skipped,1,1,0,100.0,94.4,,2.0,2.093,0.107,100.0,100.0,0.0,56.0,1.43,8.0,0.95,0.06,5.0,context_quality_v0,mixed_context_v0
2025_10_removed_winner_dirty_weak,dirty_skipped,6,6,0,100.0,544.0,,2.0,2.121,0.486,100.0,100.0,50.0,56.27,1.783,10.33,0.442,0.4,2.5,context_quality_v0,poor_context_v0
2025_10_removed_winner_dirty_weak,weak_routed_to_retest,1,1,0,100.0,100.3,,2.0,2.118,0.094,100.0,100.0,0.0,61.68,1.11,6.0,0.74,0.46,6.0,context_quality_v0,clean_context_v0
2025_10_removed_winner_dirty_weak,weak_routed_to_retest,1,1,0,100.0,92.76,,2.0,2.226,0.696,100.0,100.0,100.0,41.78,1.0,8.0,0.47,0.3,4.0,context_quality_v0,mixed_context_v0
2025_10_removed_winner_dirty_weak,weak_routed_to_retest,2,2,0,100.0,200.5,,2.0,2.082,0.483,100.0,100.0,50.0,43.06,1.255,13.0,0.575,0.165,3.0,context_quality_v0,poor_context_v0
2026_q1_avoided_loser_dirty_weak,dirty_skipped,8,0,8,0.0,-364.52,0.0,-1.0,0.465,1.095,12.5,0.0,87.5,48.89,1.573,6.12,0.519,0.229,5.75,context_quality_v0,clean_context_v0
2026_q1_avoided_loser_dirty_weak,dirty_skipped,11,0,11,0.0,-503.21,0.0,-1.0,1.011,1.177,54.55,0.0,63.64,53.31,1.759,6.27,0.397,0.549,4.64,context_quality_v0,mixed_context_v0
2026_q1_avoided_loser_dirty_weak,dirty_skipped,38,0,38,0.0,-1757.25,0.0,-1.0,0.878,1.231,36.84,0.0,65.79,48.96,1.786,9.13,0.403,0.403,2.97,context_quality_v0,poor_context_v0
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,8,0,8,0.0,-382.64,0.0,-1.0,0.747,1.19,37.5,0.0,75.0,50.0,1.66,6.75,0.815,0.425,5.88,context_quality_v0,clean_context_v0
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,10,0,10,0.0,-463.26,0.0,-1.0,0.826,1.351,30.0,0.0,60.0,50.25,1.599,7.5,0.849,0.331,4.9,context_quality_v0,mixed_context_v0
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,7,0,7,0.0,-302.08,0.0,-1.0,0.839,1.462,42.86,0.0,85.71,53.1,1.536,11.86,0.74,0.271,3.57,context_quality_v0,poor_context_v0
2026_q1_removed_winner_dirty_weak,dirty_skipped,3,3,0,100.0,293.08,,2.0,2.044,0.819,100.0,100.0,66.67,55.65,1.923,3.67,0.657,0.193,6.0,context_quality_v0,clean_context_v0
2026_q1_removed_winner_dirty_weak,dirty_skipped,2,2,0,100.0,198.9,,2.0,2.99,0.715,100.0,100.0,50.0,52.71,1.37,7.5,0.65,0.405,4.5,context_quality_v0,mixed_context_v0
2026_q1_removed_winner_dirty_weak,dirty_skipped,14,14,0,100.0,1351.46,,2.0,2.145,0.521,100.0,100.0,42.86,49.08,1.606,10.36,0.277,0.514,2.86,context_quality_v0,poor_context_v0
2026_q1_removed_winner_dirty_weak,weak_routed_to_retest,5,5,0,100.0,445.17,,2.0,2.152,0.485,100.0,100.0,20.0,52.69,1.66,5.4,0.658,0.376,6.0,context_quality_v0,clean_context_v0
2026_q1_removed_winner_dirty_weak,weak_routed_to_retest,2,2,0,100.0,192.56,,2.0,2.041,0.528,100.0,50.0,100.0,59.16,1.32,8.0,0.71,0.55,5.0,context_quality_v0,mixed_context_v0
2026_q1_removed_winner_dirty_weak,weak_routed_to_retest,3,3,0,100.0,288.21,,2.0,2.251,0.591,100.0,100.0,66.67,50.24,1.627,12.0,0.66,0.427,3.0,context_quality_v0,poor_context_v0
2025-02_other_dirty_weak,dirty_skipped,3,3,0,100.0,275.25,,2.0,2.33,0.384,100.0,100.0,0.0,39.71,1.903,9.33,0.14,0.493,3.67,h4_fib_bucket,38-42_shallow_edge
