period,variant,atr_percentile_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,p00-20,34,14,20,41.18,171.66,1.171,5.05,0.094,380.27,3.63,4,-203.35,53.92,117.74,70.84,100.82,88.24,67.65,2.726,4.088,0.1353,0.5318,55.96,2.591,0.181,0.67
2024,current_thirdwave_current_sl_1_5R,p20-50,59,27,32,45.76,307.24,1.183,5.21,0.141,286.17,2.73,4,-212.71,89.88,217.36,561.85,-254.61,66.1,71.19,2.929,4.393,0.1403,0.5027,53.23,2.786,0.213,0.69
2024,current_thirdwave_current_sl_1_5R,p50-80,39,17,22,43.59,78.34,1.07,2.01,0.095,310.33,3.1,3,-145.2,-129.73,208.07,287.46,-209.12,74.36,51.28,2.994,4.492,0.1343,0.4915,50.13,2.851,0.165,0.55
2024,current_thirdwave_current_sl_1_5R,p80-100,46,20,26,43.48,157.01,1.117,3.41,0.087,549.61,5.25,6,-308.96,142.57,14.44,-377.27,534.28,52.17,45.65,3.781,5.671,0.1284,0.3736,52.28,3.638,0.114,0.35
2024,v4_micro_or_candle_lower_tf_sl_1_2R,p00-20,37,18,19,48.65,190.62,1.21,5.15,0.113,187.6,1.82,3,-141.96,178.88,11.74,161.94,28.68,91.89,89.19,2.418,2.901,0.1382,0.457,59.34,2.465,0.183,0.46
2024,v4_micro_or_candle_lower_tf_sl_1_2R,p20-50,69,31,38,44.93,-129.29,0.931,-1.87,-0.015,375.34,3.75,5,-248.32,-331.65,202.36,140.15,-269.44,68.12,69.57,2.428,2.913,0.1345,0.5549,58.55,2.394,0.224,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,p50-80,62,32,30,51.61,18.94,1.013,0.31,0.106,529.74,5.19,5,-241.22,98.4,-79.46,-32.34,51.28,67.74,48.39,2.198,2.638,0.1397,0.4838,51.67,2.298,0.209,0.68
2024,v4_micro_or_candle_lower_tf_sl_1_2R,p80-100,72,28,44,38.89,-502.62,0.757,-6.98,-0.142,722.45,7.22,5,-234.91,-104.79,-397.83,-319.28,-183.34,51.39,36.11,2.318,2.782,0.1379,0.4853,57.28,2.378,0.178,0.51
2024,v4_micro_or_candle_lower_tf_sl_1_3R,p00-20,36,17,19,47.22,210.1,1.233,5.84,0.125,173.13,1.67,3,-141.96,192.08,18.02,175.66,34.44,91.67,88.89,2.423,3.15,0.1386,0.4477,59.39,2.476,0.184,0.46
2024,v4_micro_or_candle_lower_tf_sl_1_3R,p20-50,69,30,39,43.48,-74.19,0.961,-1.08,0.002,376.91,3.76,5,-246.8,-289.54,215.35,266.46,-340.65,68.12,69.57,2.43,3.158,0.1345,0.5545,58.63,2.395,0.224,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,p50-80,62,30,32,48.39,-68.39,0.957,-1.1,0.078,571.7,5.6,5,-239.49,138.79,-207.18,-83.05,14.66,67.74,48.39,2.198,2.858,0.1397,0.4838,51.67,2.298,0.208,0.68
2024,v4_micro_or_candle_lower_tf_sl_1_3R,p80-100,71,27,44,38.03,-434.57,0.79,-6.12,-0.123,698.02,6.97,5,-234.91,-102.12,-332.45,-237.36,-197.21,52.11,35.21,2.31,3.004,0.1373,0.4864,57.47,2.373,0.179,0.51
2024,v4_without_weak_lower_tf_sl_1_3R,p00-20,49,20,29,40.82,-99.73,0.927,-2.04,-0.033,269.67,2.69,4,-198.87,0.74,-100.47,89.01,-188.74,81.63,73.47,2.333,3.033,0.142,0.468,58.23,2.337,0.22,0.87
2024,v4_without_weak_lower_tf_sl_1_3R,p20-50,78,34,44,43.59,-95.07,0.955,-1.22,-0.003,529.09,5.2,5,-242.57,-132.59,37.52,422.06,-517.13,67.95,60.26,2.353,3.059,0.1351,0.52,58.31,2.36,0.222,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,p50-80,75,32,43,42.67,-428.99,0.792,-5.72,-0.042,813.07,8.07,7,-322.59,-284.19,-144.8,-180.77,-248.22,61.33,40.0,2.129,2.768,0.1437,0.465,52.14,2.17,0.213,0.65
2024,v4_without_weak_lower_tf_sl_1_3R,p80-100,83,33,50,39.76,-288.09,0.873,-3.47,-0.073,510.46,4.99,8,-354.67,-35.47,-252.62,-176.84,-111.25,48.19,26.51,2.287,2.973,0.1345,0.4797,57.28,2.298,0.174,0.49
2025,current_thirdwave_current_sl_1_5R,p00-20,44,19,25,43.18,191.66,1.151,4.36,0.137,350.55,3.39,5,-260.1,76.22,115.44,-277.34,469.0,97.73,81.82,2.999,4.498,0.1222,0.5577,51.46,2.874,0.127,0.8
2025,current_thirdwave_current_sl_1_5R,p20-50,69,25,44,36.23,-376.99,0.82,-5.46,-0.102,530.46,5.22,7,-341.98,112.84,-489.83,-363.98,-13.01,92.75,56.52,3.185,4.777,0.0987,0.4721,56.72,3.068,0.092,0.34
2025,current_thirdwave_current_sl_1_5R,p50-80,77,31,46,40.26,-85.8,0.96,-1.11,0.002,530.42,5.08,5,-218.4,-315.42,229.62,346.58,-432.38,72.73,55.84,3.29,4.936,0.0902,0.4715,55.51,3.17,0.104,0.45
2025,current_thirdwave_current_sl_1_5R,p80-100,79,31,48,39.24,-160.85,0.928,-2.04,-0.02,480.45,4.79,7,-352.51,-284.46,123.61,-255.78,94.93,51.9,53.16,3.047,4.57,0.0948,0.427,55.58,2.923,0.102,0.51
2025,v4_micro_or_candle_lower_tf_sl_1_2R,p00-20,58,32,26,55.17,519.54,1.401,8.96,0.214,224.2,2.21,3,-146.82,138.97,380.57,232.75,286.79,89.66,75.86,2.226,2.671,0.1168,0.4931,49.68,2.119,0.179,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,p20-50,86,44,42,51.16,423.1,1.2,4.92,0.123,341.88,3.34,5,-256.22,112.0,311.1,499.89,-76.79,82.56,47.67,2.385,2.862,0.1062,0.453,59.76,2.43,0.167,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,p50-80,103,49,54,47.57,174.24,1.065,1.69,0.061,319.52,3.15,5,-248.36,-271.69,445.93,770.55,-596.31,75.73,59.22,2.394,2.873,0.0857,0.4896,53.45,2.371,0.143,0.73
2025,v4_micro_or_candle_lower_tf_sl_1_2R,p80-100,90,38,52,42.22,-273.27,0.891,-3.04,-0.06,474.87,4.71,8,-394.31,-62.44,-210.83,-113.96,-159.31,51.11,46.67,2.434,2.921,0.0959,0.4525,57.38,2.4,0.134,0.53
