period,scenario,session,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,server_00_07,2,1,1,50.0,49.75,2.04,24.88,0.503,47.83,0.48,1
2025-02,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,server_00_07,3,1,2,33.33,-1.66,0.983,-0.55,0.002,99.24,0.99,2
2025-02,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,server_16_23,3,2,1,66.67,131.88,3.509,43.96,1.008,52.56,0.52,1
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_00_07,2,1,1,50.0,50.11,2.056,25.05,0.502,47.47,0.47,1
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_08_15,4,1,3,25.0,-50.86,0.657,-12.71,-0.252,99.42,0.99,2
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_16_23,7,2,5,28.57,-70.05,0.721,-10.01,-0.149,147.13,1.47,3
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_00_07,1,0,1,0.0,-47.83,0.0,-47.83,-1.003,47.83,0.48,1
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_08_15,1,0,1,0.0,-50.34,0.0,-50.34,-1.009,50.34,0.5,1
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_16_23,3,1,2,33.33,-11.54,0.885,-3.85,-0.012,50.82,0.51,1
2025-02,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,server_00_07,4,1,3,25.0,-48.49,0.669,-12.12,-0.256,146.39,1.46,3
2025-02,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,server_08_15,2,0,2,0.0,-98.45,0.0,-49.22,-1.009,98.45,0.98,2
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_16_23,2,1,1,50.0,28.18,1.535,14.09,0.501,52.72,0.52,1
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_16_23,1,1,0,100.0,80.9,,80.9,2.009,0.0,0.0,0
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,server_00_07,1,1,0,100.0,93.96,,93.96,2.0,0.0,0.0,0
2025-10,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,server_00_07,2,1,1,50.0,54.16,2.192,27.08,0.5,45.44,0.45,1
2025-10,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,server_08_15,1,0,1,0.0,-49.4,0.0,-49.4,-1.001,49.4,0.49,1
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_00_07,1,1,0,100.0,99.6,,99.6,2.0,0.0,0.0,0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_08_15,2,1,1,50.0,51.47,2.042,25.74,0.512,49.4,0.49,1
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_16_23,2,2,0,100.0,162.54,,81.27,2.0,0.0,0.0,0
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_00_07,1,1,0,100.0,99.6,,99.6,2.0,0.0,0.0,0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,server_00_07,1,0,1,0.0,-49.9,0.0,-49.9,-1.004,49.9,0.5,1
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,server_08_15,3,1,2,33.33,-0.36,0.996,-0.12,-0.001,93.82,0.94,2
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,server_16_23,2,0,2,0.0,-89.58,0.0,-44.79,-1.01,89.58,0.9,2
2026-Q1,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,server_00_07,1,0,1,0.0,-49.9,0.0,-49.9,-1.004,49.9,0.5,1
2026-Q1,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,server_08_15,6,2,4,33.33,-10.66,0.936,-1.78,-0.014,131.15,1.31,3
2026-Q1,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,server_16_23,3,1,2,33.33,8.38,1.094,2.79,-0.007,89.58,0.89,2
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_00_07,3,1,2,33.33,-22.97,0.811,-7.66,0.001,121.52,1.2,2
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_08_15,12,2,10,16.67,-272.35,0.366,-22.7,-0.513,372.29,3.69,7
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_16_23,12,1,11,8.33,-421.1,0.187,-35.09,-0.756,421.1,4.21,7
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_00_07,2,1,1,50.0,50.91,2.069,25.45,0.507,47.64,0.47,1
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_08_15,6,1,5,16.67,-112.4,0.454,-18.73,-0.522,140.34,1.4,3
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_16_23,9,1,8,11.11,-286.36,0.261,-31.82,-0.674,295.42,2.95,6
2026-Q1,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,server_08_15,2,0,2,0.0,-96.73,0.0,-48.36,-1.009,96.73,0.97,2
2026-Q1,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,server_16_23,5,1,4,20.0,-99.27,0.504,-19.85,-0.401,150.77,1.51,3
2026-Q1,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,server_00_07,1,0,1,0.0,-49.07,0.0,-49.07,-1.0,49.07,0.49,1
2026-Q1,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,server_08_15,2,0,2,0.0,-100.48,0.0,-50.24,-1.008,100.48,1.0,2
2026-Q1,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,server_16_23,1,0,1,0.0,-48.53,0.0,-48.53,-1.0,48.53,0.49,1
