run,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
stop_on,2025-01,125,54,71,43.2,256.71,3998.7,-3741.99,1.069,2.05,74.05,-52.7
stop_on,2025-02,100,34,66,34.0,-756.92,2571.28,-3328.2,0.773,-7.57,75.63,-50.43
stop_off,2025-01,125,54,71,43.2,256.33,4000.77,-3744.44,1.068,2.05,74.09,-52.74
stop_off,2025-02,136,47,89,34.56,-940.98,3444.19,-4385.17,0.785,-6.92,73.28,-49.27
stop_off,2025-03,145,53,92,36.55,-648.52,3317.24,-3965.76,0.836,-4.47,62.59,-43.11
stop_off,2025-04,189,73,116,38.62,-352.72,4439.89,-4792.61,0.926,-1.87,60.82,-41.32
stop_off,2025-05,149,63,86,42.28,325.21,3998.75,-3673.54,1.089,2.18,63.47,-42.72
stop_off,2025-06,145,52,93,35.86,-647.41,3029.37,-3676.78,0.824,-4.46,58.26,-39.54
stop_off,2025-07,134,54,80,40.3,-28.72,3099.35,-3128.07,0.991,-0.21,57.4,-39.1
stop_off,2025-08,94,28,66,29.79,-945.32,1482.96,-2428.28,0.611,-10.06,52.96,-36.79
stop_off,2025-09,160,67,93,41.88,194.62,3293.77,-3099.15,1.063,1.22,49.16,-33.32
stop_off,2025-10,178,81,97,45.51,1297.17,4778.42,-3481.25,1.373,7.29,58.99,-35.89
stop_off,2025-11,120,53,67,44.17,406.68,3119.39,-2712.71,1.15,3.39,58.86,-40.49
stop_off,2025-12,117,52,65,44.44,410.75,3161.37,-2750.62,1.149,3.51,60.8,-42.32
