period,scenario,fx_vs_xauusd,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2025-02,breakout_router_all_r12,FX,1,0,1,0.0,-47.83,0.0,-47.83,-1.003,47.83,0.48,1
2025-02,breakout_router_all_r12,XAUUSD,1,1,0,100.0,58.94,,58.94,1.213,0.0,0.0,0
2025-02,context_router_all_r12,FX,4,1,3,25.0,-94.09,0.374,-23.52,-0.455,150.36,1.5,3
2025-02,context_router_all_r12,XAUUSD,3,2,1,66.67,59.88,2.219,19.96,0.474,49.14,0.49,1
2025-02,context_router_v2_all_r12,FX,3,1,2,33.33,-44.12,0.561,-14.71,-0.266,100.39,1.0,2
2025-02,context_router_v2_all_r12,XAUUSD,3,2,1,66.67,59.88,2.219,19.96,0.474,49.14,0.49,1
2025-02,instant_all_r12,FX,10,3,7,30.0,-179.45,0.492,-17.95,-0.344,247.01,2.47,5
2025-02,instant_all_r12,XAUUSD,3,2,1,66.67,62.33,2.387,20.78,0.471,44.93,0.45,1
2025-02,retest_all_r12,FX,4,0,4,0.0,-198.29,0.0,-49.57,-1.012,198.29,1.98,4
2025-02,retest_all_r12,XAUUSD,1,1,0,100.0,50.08,,50.08,1.208,0.0,0.0,0
2025-08,instant_all_r12,FX,1,0,1,0.0,-52.72,0.0,-52.72,-1.006,52.72,0.53,1
2025-08,instant_all_r12,XAUUSD,1,1,0,100.0,58.52,,58.52,1.206,0.0,0.0,0
2025-08,retest_all_r12,XAUUSD,1,1,0,100.0,58.52,,58.52,1.206,0.0,0.0,0
2025-10,breakout_router_all_r12,XAUUSD,1,1,0,100.0,56.46,,56.46,1.202,0.0,0.0,0
2025-10,context_router_all_r12,FX,1,1,0,100.0,61.51,,61.51,1.22,0.0,0.0,0
2025-10,context_router_all_r12,XAUUSD,3,2,1,66.67,73.82,2.625,24.61,0.469,45.44,0.45,1
2025-10,context_router_v2_all_r12,XAUUSD,3,2,1,66.67,73.82,2.625,24.61,0.469,45.44,0.45,1
2025-10,instant_all_r12,FX,2,2,0,100.0,121.62,,60.81,1.214,0.0,0.0,0
2025-10,instant_all_r12,XAUUSD,3,3,0,100.0,157.39,,52.46,1.203,0.0,0.0,0
2025-10,retest_all_r12,XAUUSD,1,1,0,100.0,59.9,,59.9,1.203,0.0,0.0,0
2026-Q1,breakout_router_all_r12,FX,4,1,3,25.0,-91.81,0.387,-22.95,-0.459,149.83,1.5,3
2026-Q1,breakout_router_all_r12,XAUUSD,2,1,1,50.0,-1.32,0.971,-0.66,0.099,45.16,0.45,1
2026-Q1,context_router_all_r12,FX,7,4,3,57.14,79.73,1.516,11.39,0.246,102.22,1.01,2
2026-Q1,context_router_all_r12,XAUUSD,6,2,4,33.33,-87.66,0.471,-14.61,-0.283,130.88,1.31,3
2026-Q1,context_router_v2_all_r12,FX,5,3,2,60.0,73.21,1.724,14.64,0.317,101.17,1.01,2
2026-Q1,context_router_v2_all_r12,XAUUSD,5,2,3,40.0,-38.86,0.668,-7.77,-0.138,82.08,0.82,2
2026-Q1,instant_all_r12,FX,21,9,12,42.86,-55.02,0.909,-2.62,-0.055,363.45,3.55,4
2026-Q1,instant_all_r12,XAUUSD,8,2,6,25.0,-183.81,0.298,-22.98,-0.469,196.44,1.96,4
2026-Q1,retest_all_r12,FX,13,6,7,46.15,7.95,1.023,0.61,0.018,192.43,1.9,3
2026-Q1,retest_all_r12,XAUUSD,5,0,5,0.0,-201.76,0.0,-40.35,-1.029,201.76,2.02,5
