direction,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct
LONG,60,28,32,46.67,490.72,1.329,8.18,0.197,323.43,3.01
SHORT,49,25,24,51.02,798.24,1.704,16.29,0.258,198.96,1.87
