variant,wave_audit_label,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount
current_thirdwave_current_sl_1_5R,chasing_entry,100,48,52,48.0,1107.37,1.456,11.07,0.207,277.88,2.53,6,-277.88,3.34,1104.03,542.19,565.18,85.0,54.0,1825.4,3.307,2738.1,4.96,0.072,0.35,47.34
current_thirdwave_current_sl_1_5R,late_entry,2,2,0,100.0,156.84,,78.42,1.57,0.0,0.0,0,0.0,86.7,70.14,0,156.84,50.0,100.0,446.5,1.7,669.8,2.55,0.25,0.44,49.81
current_thirdwave_current_sl_1_5R,third_wave_initial,1,0,1,0.0,-46.62,0.0,-46.62,-1.001,46.62,0.47,1,-46.62,0,-46.62,-46.62,0,100.0,100.0,776.0,1.33,1164.0,1.995,0.06,0.06,46.56
current_thirdwave_current_sl_1_5R,third_wave_middle,5,3,2,60.0,120.98,2.204,24.2,0.514,100.51,0.99,2,-100.51,151.29,-30.31,44.76,76.22,60.0,80.0,557.8,1.188,836.7,1.782,0.26,0.8,48.97
current_thirdwave_current_sl_1_5R,unclear,1,0,1,0.0,-49.61,0.0,-49.61,-1.007,49.61,0.5,1,-49.61,0,-49.61,-49.61,0,100.0,100.0,448.0,1.67,672.0,2.505,0.11,0.11,49.28
v4_micro_or_candle_current_sl_1_5R,chasing_entry,122,55,67,45.08,1108.95,1.338,9.09,0.133,513.69,4.42,9,-411.41,-234.83,1343.78,488.66,620.29,80.33,51.64,1798.5,2.537,2697.8,3.806,0.1,0.46,50.22
v4_micro_or_candle_current_sl_1_5R,late_entry,4,2,2,50.0,42.64,1.426,10.66,0.246,100.09,1.0,2,-100.09,-52.03,94.67,-33.28,75.92,75.0,75.0,1206.5,1.462,1809.8,2.194,0.092,0.23,47.88
v4_micro_or_candle_current_sl_1_5R,third_wave_initial,6,4,2,66.67,200.13,2.899,33.36,0.68,54.39,0.53,1,-51.0,156.91,43.22,94.22,105.91,66.67,50.0,270.3,1.235,405.5,1.852,0.382,0.82,50.69
v4_micro_or_candle_current_sl_1_5R,third_wave_middle,6,4,2,66.67,229.28,3.513,38.21,0.676,91.23,0.91,2,-91.23,183.8,45.48,65.22,164.06,33.33,66.67,517.0,1.55,775.5,2.325,0.273,0.6,50.3
v4_micro_or_candle_current_sl_1_5R,unclear,4,2,2,50.0,62.28,1.635,15.57,0.251,98.05,0.98,2,-98.05,82.63,-20.35,-98.05,160.33,75.0,50.0,458.0,1.37,687.0,2.055,0.145,0.25,50.86
v4_micro_or_candle_lower_tf_sl_1_2R,chasing_entry,117,65,52,55.56,1424.85,1.569,12.18,0.243,367.63,3.15,5,-232.91,229.84,1195.01,630.42,794.43,79.49,51.28,1631.2,2.488,1957.4,2.985,0.106,0.6,48.29
v4_micro_or_candle_lower_tf_sl_1_2R,late_entry,2,1,1,50.0,17.7,1.368,8.85,0.103,48.06,0.48,1,-48.06,0,17.7,-48.06,65.76,100.0,50.0,1630.5,1.285,1956.6,1.542,0.055,0.09,51.3
v4_micro_or_candle_lower_tf_sl_1_2R,third_wave_initial,3,3,0,100.0,184.22,,61.41,1.22,0.0,0.0,0,0.0,125.89,58.33,58.33,125.89,33.33,66.67,198.0,1.573,237.6,1.888,0.367,0.48,50.31
v4_micro_or_candle_lower_tf_sl_1_2R,third_wave_middle,5,4,1,80.0,205.81,4.829,41.16,0.784,53.75,0.53,1,-53.75,127.26,78.55,73.43,132.38,60.0,60.0,479.4,1.436,575.3,1.723,0.272,0.61,52.96
v4_micro_or_candle_lower_tf_sl_1_2R,unclear,4,3,1,75.0,133.89,3.801,33.47,0.649,47.8,0.48,1,-47.8,66.09,67.8,12.45,121.44,75.0,50.0,458.0,1.37,549.6,1.644,0.142,0.25,49.56
v4_micro_or_candle_lower_tf_sl_1_3R,chasing_entry,115,61,54,53.04,1392.82,1.535,12.11,0.241,377.82,3.21,5,-247.04,50.76,1342.06,712.22,680.6,79.13,51.3,1626.2,2.492,2114.0,3.239,0.106,0.6,48.32
v4_micro_or_candle_lower_tf_sl_1_3R,late_entry,2,1,1,50.0,22.84,1.475,11.42,0.15,48.06,0.48,1,-48.06,0,22.84,-48.06,70.9,100.0,50.0,1630.5,1.285,2119.7,1.671,0.055,0.09,51.3
v4_micro_or_candle_lower_tf_sl_1_3R,third_wave_initial,3,3,0,100.0,196.77,,65.59,1.304,0.0,0.0,0,0.0,133.12,63.65,63.65,133.12,33.33,66.67,198.0,1.573,257.4,2.045,0.367,0.48,50.31
v4_micro_or_candle_lower_tf_sl_1_3R,third_wave_middle,5,4,1,80.0,222.83,5.146,44.57,0.848,53.75,0.53,1,-53.75,139.12,83.71,84.35,138.48,60.0,60.0,479.4,1.436,623.2,1.867,0.272,0.61,52.96
v4_micro_or_candle_lower_tf_sl_1_3R,unclear,4,2,2,50.0,33.4,1.341,8.35,0.146,98.05,0.98,2,-98.05,71.69,-38.29,-98.05,131.45,75.0,50.0,458.0,1.37,595.4,1.781,0.142,0.25,49.56
v4_micro_or_candle_lower_tf_sl_1_5R,chasing_entry,113,53,60,46.9,1139.3,1.405,10.08,0.187,480.35,4.13,5,-245.25,-165.68,1304.98,698.55,440.75,79.65,51.33,1645.3,2.488,2467.9,3.732,0.103,0.59,47.41
v4_micro_or_candle_lower_tf_sl_1_5R,late_entry,2,1,1,50.0,-7.14,0.851,-3.57,0.25,48.06,0.48,1,-48.06,0,-7.14,-48.06,40.92,100.0,50.0,1630.5,1.285,2445.8,1.927,0.05,0.09,37.66
v4_micro_or_candle_lower_tf_sl_1_5R,third_wave_initial,3,2,1,66.67,97.24,2.889,32.41,0.676,51.49,0.51,1,-51.49,22.76,74.48,74.48,22.76,33.33,66.67,198.0,1.573,297.0,2.36,0.363,0.47,49.91
v4_micro_or_candle_lower_tf_sl_1_5R,third_wave_middle,5,2,3,40.0,-3.15,0.98,-0.63,0.005,154.55,1.55,3,-154.55,30.32,-33.47,-34.43,31.28,60.0,60.0,479.4,1.436,719.1,2.154,0.264,0.58,50.57
v4_micro_or_candle_lower_tf_sl_1_5R,unclear,4,2,2,50.0,48.15,1.491,12.04,0.251,98.05,0.98,2,-98.05,76.27,-28.12,-98.05,146.2,75.0,50.0,458.0,1.37,687.0,2.055,0.14,0.25,48.52
v4_without_weak_lower_tf_sl_1_2R,chasing_entry,141,76,65,53.9,1534.38,1.493,10.88,0.198,413.37,3.51,5,-232.91,-62.61,1596.99,635.67,898.71,75.89,59.57,1568.5,2.422,1882.2,2.907,0.123,1.0,48.79
v4_without_weak_lower_tf_sl_1_2R,late_entry,5,3,2,60.0,83.78,1.88,16.76,0.322,48.06,0.48,1,-48.06,62.75,21.03,-48.06,131.84,80.0,80.0,2087.8,1.474,2505.4,1.769,0.054,0.13,48.78
