timeframe_set,scenario,period,year,symbol,direction,fx_bucket,fx_direction_bucket,time,close_time,month,session,entry_price,sl,tp,result_R,net_profit,scan_driver_symbol,execution_minutes,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_2R,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h4_fib_retracement_pct,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,h1_counter_wave_atr,bos_level_type,true_bos_level,m15_trigger_type,room_to_1r,room_to_2r,nearest_obstacle_type,nearest_obstacle_price,sl_atr,spread_atr,spread_points,distance_bos_to_entry_atr,distance_neckline_to_entry_atr,label,cond_h4_bias_ma,cond_h4_dow_bias,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_m15_close_bos,cond_room_to_1r,cond_room_to_2r,cond_sl_atr_ok,audit_h4_bias_ok,audit_h1_pullback_ok,audit_h1_clean_pullback_type,audit_m15_reversal_ok,audit_dow_structure_ok,audit_room_to_target_ok,audit_fractal_entry_quality,audit_failure_type
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURJPY,LONG,FX,FX LONG,2024.03.05 18:35:00,2024.03.05 19:24:06,2024-03,server_16_23,163.122,162.998,163.37,-1.024,-50.79,USDJPY,15,0.218,1.258,false,false,false,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.91,last_lower_high,163.361,m15_prev_extreme_bos,3.16,1.58,h1_counter_high,163.514,1.0,0.1452,18.0,0.0,1.93,fixed_room2r,false,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,USDJPY,SHORT,FX,FX SHORT,2024.03.12 15:50:00,2024.03.12 15:55:07,2024-03,server_08_15,147.285,147.609,146.637,-1.003,-48.44,USDJPY,15,0.503,2.065,true,false,false,none,ma_bias_pass,dow_bias_fail,too_shallow_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,4.63,last_higher_low,147.208,m15_true_bos_close,2.07,1.04,h1_counter_low,146.613,1.96,0.1267,21.0,0.0,0.46,fixed_room2r,true,false,false,true,true,true,true,true,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,GBPJPY,LONG,FX,FX LONG,2024.03.22 02:20:00,2024.03.22 03:10:07,2024-03,server_00_07,191.943,191.844,192.141,-1.091,-53.42,USDJPY,15,1.03,1.525,true,true,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,6.61,last_lower_high,193.493,m15_prev_extreme_bos,15.98,7.99,h1_counter_high,193.525,1.14,0.1726,15.0,0.0,17.83,fixed_room2r,true,false,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,USDJPY,LONG,FX,FX LONG,2024.03.27 07:05:00,2024.03.27 12:02:01,2024-03,server_00_07,151.676,151.426,152.176,-1.004,-46.41,USDJPY,15,0.636,2.364,true,false,false,none,ma_bias_pass,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,1.05,last_lower_high,151.58,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,2.2,0.132,15.0,0.0,0.84,fixed_room2r,true,true,false,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURJPY,SHORT,FX,FX SHORT,2024.04.15 17:50:00,2024.04.15 18:35:45,2024-04,server_16_23,163.887,164.144,163.373,-1.0,-47.52,USDJPY,15,0.447,1.366,false,false,false,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,8.86,last_higher_low,162.573,m15_prev_extreme_bos,6.33,3.17,h1_counter_low,162.259,1.6,0.1867,30.0,0.0,8.18,fixed_room2r,false,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURUSD,SHORT,FX,FX SHORT,2024.04.19 19:05:00,2024.04.19 19:22:09,2024-04,server_16_23,1.06562,1.06631,1.06424,2.014,97.3,USDJPY,15,2.435,0.406,true,true,true,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.19,last_higher_low,1.06422,m15_prev_extreme_bos,4.35,2.17,h1_counter_low,1.06262,0.78,0.1913,17.0,0.0,1.58,fixed_room2r,true,false,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURJPY,LONG,FX,FX LONG,2024.05.15 17:05:00,2024.05.15 18:22:02,2024-05,server_16_23,168.751,168.444,169.365,-1.0,-48.66,USDJPY,15,0.257,1.691,false,false,false,none,ma_bias_pass,dow_bias_pass,too_shallow_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,3.3,weak_lower_high,169.386,m15_prev_extreme_bos,2.07,1.03,h1_counter_high,169.386,1.58,0.1548,30.0,0.0,3.28,fixed_room2r,true,true,false,true,false,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,acceptable_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,USDJPY,SHORT,FX,FX SHORT,2024.06.05 17:05:00,2024.06.05 17:10:21,2024-06,server_16_23,156.219,156.317,156.023,-1.112,-52.29,USDJPY,15,4.296,2.592,true,true,true,none,ma_bias_pass,dow_bias_pass,too_shallow_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,7.02,weak_higher_low,154.539,m15_prev_extreme_bos,2.87,1.43,h4_impulse_low,155.938,0.74,0.1738,23.0,0.0,12.69,fixed_room2r,true,true,false,true,false,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,acceptable_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,XAUUSD,LONG,XAUUSD,XAUUSD LONG,2024.07.09 17:05:00,2024.07.09 17:05:09,2024-07,server_16_23,2360.99,2358.02,2366.93,-1.04,-49.44,USDJPY,15,3.552,1.481,true,true,true,none,ma_bias_pass,dow_bias_fail,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.3,last_lower_high,2365.61,m15_true_bos_close,2.62,1.31,h1_counter_high,2368.76,0.96,0.0675,21.0,0.0,1.49,fixed_room2r,true,false,false,true,true,true,true,true,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,AUDJPY,LONG,FX,FX LONG,2024.07.25 15:50:00,2024.07.25 16:19:55,2024-07,server_08_15,100.046,99.672,100.794,2.008,96.09,USDJPY,15,2.27,0.441,true,true,true,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,4.58,last_lower_high,100.112,m15_prev_extreme_bos,3.67,1.84,h1_counter_high,101.419,2.05,0.1533,28.0,0.0,0.36,fixed_room2r,false,true,true,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,USDJPY,SHORT,FX,FX SHORT,2024.08.01 17:50:00,2024.08.02 01:07:22,2024-08,server_16_23,149.962,150.352,149.182,2.033,98.76,USDJPY,15,2.51,0.633,true,true,true,none,ma_bias_pass,dow_bias_pass,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.32,last_higher_low,149.42,m15_prev_extreme_bos,3.75,1.87,h1_counter_low,148.5,1.44,0.0848,23.0,0.0,2.0,fixed_room2r,true,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,XAUUSD,SHORT,XAUUSD,XAUUSD SHORT,2024.08.06 03:05:00,2024.08.06 03:30:36,2024-08,server_00_07,2407.38,2413.18,2395.78,-1.009,-46.8,USDJPY,15,0.483,1.886,false,false,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,0.0,weak_higher_low,2364.15,m15_prev_extreme_bos,7.45,3.73,h1_counter_low,2364.15,2.1,0.0652,18.0,0.0,15.67,fixed_room2r,false,true,false,true,false,false,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,acceptable_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURJPY,SHORT,FX,FX SHORT,2024.08.20 04:50:00,2024.08.20 05:32:19,2024-08,server_00_07,162.156,162.592,161.284,-1.0,-46.77,USDJPY,15,0.085,1.706,false,false,false,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,4.96,last_higher_low,162.273,m15_true_bos_close,2.31,1.16,h1_counter_low,161.148,2.14,0.1472,30.0,0.0,0.57,fixed_room2r,false,true,true,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,GBPJPY,SHORT,FX,FX SHORT,2024.08.20 04:35:00,2024.08.20 05:42:40,2024-08,server_00_07,190.177,190.598,189.335,-1.012,-48.55,USDJPY,15,0.632,1.698,true,false,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,4.31,last_higher_low,190.125,m15_true_bos_close,2.75,1.38,h1_counter_low,189.019,1.71,0.1545,38.0,0.0,0.21,fixed_room2r,false,true,false,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,USDJPY,SHORT,FX,FX SHORT,2024.08.20 10:50:00,2024.08.20 15:51:15,2024-08,server_08_15,146.667,146.884,146.233,2.005,98.17,USDJPY,15,2.733,0.203,true,true,true,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,1.09,weak_higher_low,145.838,m15_prev_extreme_bos,3.82,1.91,h1_counter_low,145.838,1.0,0.1059,23.0,0.0,3.82,fixed_room2r,true,false,false,true,false,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,acceptable_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,GBPJPY,LONG,FX,FX LONG,2024.08.21 03:05:00,2024.08.21 03:30:32,2024-08,server_00_07,189.5,189.174,190.152,-1.0,-46.82,USDJPY,15,0.574,1.675,true,false,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,6.25,last_lower_high,190.63,m15_prev_extreme_bos,5.38,2.69,h1_counter_high,191.254,1.63,0.1895,38.0,0.0,5.63,fixed_room2r,true,false,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURJPY,SHORT,FX,FX SHORT,2024.08.27 13:35:00,2024.08.27 15:38:34,2024-08,server_08_15,161.64,161.898,161.124,2.016,96.01,USDJPY,15,2.438,0.407,true,true,true,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.06,last_higher_low,161.483,m15_prev_extreme_bos,2.31,1.15,h1_counter_low,161.045,1.66,0.1935,30.0,0.0,1.01,fixed_room2r,true,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURJPY,LONG,FX,FX LONG,2024.09.04 03:20:00,2024.09.04 03:32:11,2024-09,server_00_07,160.663,160.454,161.081,-1.01,-49.07,USDJPY,15,0.584,2.708,true,false,false,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.22,last_lower_high,161.091,m15_prev_extreme_bos,3.82,1.91,h1_counter_high,161.461,1.32,0.1891,30.0,0.0,2.7,fixed_room2r,false,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURUSD,LONG,FX,FX LONG,2024.09.05 17:35:00,2024.09.06 15:30:53,2024-09,server_16_23,1.10904,1.10721,1.1127,2.033,94.96,USDJPY,15,3.519,0.814,true,true,true,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,1.13,last_lower_high,1.10848,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,1.71,0.1679,18.0,0.0,0.52,fixed_room2r,false,true,false,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,XAUUSD,SHORT,XAUUSD,XAUUSD SHORT,2024.09.09 17:50:00,2024.09.09 19:01:32,2024-09,server_16_23,2496.56,2500.6,2488.48,-1.0,-48.48,USDJPY,15,0.817,1.636,true,false,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,1.04,weak_higher_low,2485.53,m15_prev_extreme_bos,2.73,1.37,h1_counter_low,2485.53,1.05,0.0522,20.0,0.0,2.88,fixed_room2r,true,false,false,true,false,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,acceptable_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,GBPJPY,SHORT,FX,FX SHORT,2024.09.10 13:20:00,2024.09.10 15:31:18,2024-09,server_08_15,187.36,187.574,186.932,2.009,97.04,USDJPY,15,3.318,0.813,true,true,true,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.13,last_higher_low,187.024,m15_prev_extreme_bos,2.67,1.33,h1_counter_low,186.789,0.98,0.1743,38.0,0.0,1.54,fixed_room2r,true,false,true,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,XAUUSD,LONG,XAUUSD,XAUUSD LONG,2024.09.17 21:50:00,2024.09.17 22:25:50,2024-09,server_16_23,2570.49,2568.18,2575.11,-1.004,-48.72,USDJPY,15,0.455,1.537,false,false,false,none,ma_bias_pass,dow_bias_fail,too_shallow_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.68,weak_lower_high,2582.17,m15_prev_extreme_bos,5.06,2.53,h1_counter_high,2582.17,0.62,0.048,18.0,0.0,3.12,fixed_room2r,true,false,false,true,false,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,acceptable_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,USDJPY,LONG,FX,FX LONG,2024.09.25 04:20:00,2024.09.25 09:57:34,2024-09,server_00_07,143.135,142.857,143.691,2.0,100.6,USDJPY,15,2.173,0.158,true,true,true,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,5.86,last_lower_high,144.198,m15_prev_extreme_bos,4.86,2.43,h4_impulse_high,144.486,1.93,0.16,23.0,0.0,7.39,fixed_room2r,true,true,true,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,XAUUSD,LONG,XAUUSD,XAUUSD LONG,2024.10.02 17:50:00,2024.10.02 18:06:36,2024-10,server_16_23,2653.17,2644.27,2670.97,-1.001,-44.55,USDJPY,15,0.349,1.356,false,false,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,4.71,last_lower_high,2655.82,m15_true_bos_close,2.24,1.12,h1_counter_high,2673.13,1.81,0.0367,18.0,0.0,0.54,fixed_room2r,true,false,false,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,XAUUSD,SHORT,XAUUSD,XAUUSD SHORT,2024.10.04 10:05:00,2024.10.04 10:26:42,2024-10,server_08_15,2659.4,2662.26,2653.68,-1.035,-50.32,USDJPY,15,0.227,1.294,false,false,false,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,5.21,last_higher_low,2654.31,m15_prev_extreme_bos,7.26,3.63,h1_counter_low,2638.63,1.44,0.0907,18.0,0.0,2.57,fixed_room2r,false,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURJPY,LONG,FX,FX LONG,2024.10.07 13:50:00,2024.10.07 14:43:54,2024-10,server_08_15,162.957,162.655,163.561,-1.01,-48.82,USDJPY,15,0.281,1.023,false,false,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.7,last_lower_high,163.08,m15_prev_extreme_bos,2.0,1.0,h1_counter_high,163.562,1.72,0.1709,30.0,0.0,0.7,fixed_room2r,true,false,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,GBPUSD,SHORT,FX,FX SHORT,2024.10.04 17:05:00,2024.10.10 15:30:02,2024-10,server_16_23,1.31057,1.31369,1.30433,2.083,96.37,USDJPY,15,2.731,0.894,true,true,true,none,ma_bias_pass,dow_bias_pass,too_shallow_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,0.58,last_higher_low,1.31227,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,1.78,0.1141,20.0,0.0,0.97,fixed_room2r,true,true,false,true,true,false,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURJPY,LONG,FX,FX LONG,2024.10.30 12:20:00,2024.10.30 13:47:02,2024-10,server_08_15,166.012,165.625,166.786,-1.01,-48.98,USDJPY,15,0.096,1.147,false,false,false,none,ma_bias_pass,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,1.68,last_lower_high,165.978,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,2.2,0.1702,30.0,0.0,0.19,fixed_room2r,true,true,false,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
