timeframe_set,scenario,period,year,symbol,direction,fx_bucket,fx_direction_bucket,time,close_time,month,session,entry_price,sl,tp,result_R,net_profit,scan_driver_symbol,execution_minutes,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_2R,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h4_fib_retracement_pct,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,h1_counter_wave_atr,bos_level_type,true_bos_level,m15_trigger_type,room_to_1r,room_to_2r,nearest_obstacle_type,nearest_obstacle_price,sl_atr,spread_atr,spread_points,distance_bos_to_entry_atr,distance_neckline_to_entry_atr,label,cond_h4_bias_ma,cond_h4_dow_bias,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_m15_close_bos,cond_room_to_1r,cond_room_to_2r,cond_sl_atr_ok,audit_h4_bias_ok,audit_h1_pullback_ok,audit_h1_clean_pullback_type,audit_m15_reversal_ok,audit_dow_structure_ok,audit_room_to_target_ok,audit_fractal_entry_quality,audit_failure_type
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,XAUUSD,LONG,XAUUSD,XAUUSD LONG,2024.01.16 09:00:00,2024.01.16 09:12:30,2024-01,server_08_15,2050.6,2049.05,2053.7,-1.0,-49.6,USDJPY,15,0.194,1.619,false,false,false,none,ma_bias_pass,dow_bias_fail,too_shallow_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.85,last_lower_high,2055.55,m15_prev_extreme_bos,3.68,1.84,h1_counter_high,2056.3,1.18,0.1375,18.0,0.0,3.78,fixed_room2r,true,false,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,GBPJPY,LONG,FX,FX LONG,2024.01.24 18:20:00,2024.01.25 08:30:41,2024-01,server_16_23,187.616,187.431,187.986,2.0,102.16,USDJPY,15,2.054,0.995,true,true,true,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.43,weak_lower_high,188.466,m15_prev_extreme_bos,4.59,2.3,h1_counter_high,188.466,0.9,0.1113,23.0,0.0,4.11,fixed_room2r,true,false,false,true,false,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,acceptable_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,GBPJPY,LONG,FX,FX LONG,2024.01.29 14:35:00,2024.01.29 14:52:00,2024-01,server_08_15,187.989,187.889,188.189,-1.0,-50.02,USDJPY,15,0.29,1.83,false,false,false,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.61,last_lower_high,188.286,m15_prev_extreme_bos,5.65,2.83,h1_counter_high,188.554,0.77,0.1466,19.0,0.0,2.29,fixed_room2r,false,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,EURUSD,SHORT,FX,FX SHORT,2024.01.30 16:05:00,2024.01.30 16:11:00,2024-01,server_16_23,1.08357,1.08428,1.08215,-1.0,-49.7,USDJPY,15,0.944,2.169,true,false,false,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,4.2,last_higher_low,1.08114,m15_prev_extreme_bos,5.68,2.84,h1_counter_low,1.07954,1.01,0.184,13.0,0.0,3.44,fixed_room2r,true,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,USDJPY,SHORT,FX,FX SHORT,2024.02.05 04:05:00,2024.02.05 10:28:55,2024-02,server_00_07,148.416,148.592,148.064,-1.011,-49.11,USDJPY,15,0.886,1.045,true,false,false,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,6.12,last_higher_low,148.221,m15_prev_extreme_bos,11.14,5.57,h1_counter_low,146.455,1.25,0.0922,13.0,0.0,1.38,fixed_room2r,false,true,true,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,USDJPY,SHORT,FX,FX SHORT,2024.02.13 12:50:00,2024.02.13 14:47:35,2024-02,server_08_15,149.505,149.586,149.343,2.012,98.23,USDJPY,15,2.605,0.309,true,true,true,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.79,last_higher_low,149.44,m15_prev_extreme_bos,3.14,1.57,h1_counter_low,149.251,1.03,0.1913,15.0,0.0,0.83,fixed_room2r,false,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,USDJPY,LONG,FX,FX LONG,2024.02.15 10:05:00,2024.02.15 10:13:00,2024-02,server_08_15,150.124,150.034,150.304,-1.0,-49.19,USDJPY,15,0.989,1.244,true,false,false,none,ma_bias_pass,dow_bias_fail,too_shallow_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,4.47,last_lower_high,150.621,m15_prev_extreme_bos,6.91,3.46,h1_counter_high,150.746,1.17,0.1822,14.0,0.0,6.47,fixed_room2r,true,false,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,GBPJPY,LONG,FX,FX LONG,2024.02.15 16:35:00,2024.02.15 16:36:46,2024-02,server_16_23,188.698,188.598,188.898,-1.0,-49.32,USDJPY,15,0.34,2.18,false,false,false,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.92,last_lower_high,188.486,m15_true_bos_close,5.61,2.81,h1_counter_high,189.259,0.62,0.1313,21.0,0.0,1.33,fixed_room2r,true,true,true,true,true,true,true,true,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,GBPJPY,LONG,FX,FX LONG,2024.02.15 17:20:00,2024.02.15 18:05:32,2024-02,server_16_23,188.708,188.599,188.926,2.0,98.8,USDJPY,15,2.615,0.294,true,true,true,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.84,last_lower_high,188.486,m15_true_bos_close,5.06,2.53,h1_counter_high,189.259,0.64,0.1171,20.0,0.0,1.3,fixed_room2r,true,true,true,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H4-H1-M15,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024,2024,XAUUSD,SHORT,XAUUSD,XAUUSD SHORT,2024.02.29 07:05:00,2024.02.29 09:02:40,2024-02,server_00_07,2035.61,2037.24,2032.35,-1.012,-49.5,USDJPY,15,0.755,1.172,true,false,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,4.92,last_higher_low,2030.81,m15_prev_extreme_bos,6.83,3.42,h1_counter_low,2024.47,1.7,0.1881,18.0,0.0,5.01,fixed_room2r,false,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
