period,variant,trend_age_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,00-05,32,22,10,68.75,1016.6,2.986,31.77,0.726,104.55,1.01,2,-97.65,551.6,465.0,590.25,426.35,56.25,71.88,3.501,5.251,0.1309,0.5309,59.93,3.36,0.158,0.45
2024,current_thirdwave_current_sl_1_5R,06-10,91,32,59,35.16,-493.71,0.839,-5.43,-0.101,1121.21,11.01,18,-904.75,-396.37,-97.34,-13.72,-479.99,70.33,53.85,3.023,4.535,0.1406,0.4455,51.7,2.879,0.181,0.55
2024,current_thirdwave_current_sl_1_5R,11-20,50,22,28,44.0,210.25,1.149,4.2,0.103,301.96,2.92,6,-301.96,-20.17,230.42,-118.68,328.93,74.0,62.0,3.052,4.577,0.128,0.4635,51.37,2.917,0.159,0.69
2024,current_thirdwave_current_sl_1_5R,21+,5,2,3,40.0,-18.89,0.88,-3.78,-0.01,156.93,1.55,3,-156.93,21.58,-40.47,85.03,-103.92,60.0,60.0,3.286,4.929,0.1285,0.679,42.48,3.138,0.184,0.43
2024,v4_micro_or_candle_lower_tf_sl_1_2R,00-05,31,15,16,48.39,-89.29,0.897,-2.88,0.02,525.26,5.17,9,-525.26,-15.29,-74.0,-54.71,-34.58,70.97,80.65,2.712,3.255,0.1406,0.5681,60.92,2.516,0.198,0.58
2024,v4_micro_or_candle_lower_tf_sl_1_2R,06-10,136,59,77,43.38,-411.97,0.887,-3.03,-0.035,567.97,5.67,5,-250.91,-318.24,-93.73,-60.61,-351.36,66.18,50.74,2.241,2.689,0.1405,0.4937,59.69,2.317,0.208,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,11-20,69,34,35,49.28,166.63,1.099,2.41,0.08,432.81,4.19,7,-355.13,270.24,-103.61,113.67,52.96,66.67,60.87,2.375,2.85,0.1297,0.4684,48.99,2.435,0.185,0.81
2024,v4_micro_or_candle_lower_tf_sl_1_2R,21+,4,1,3,25.0,-87.72,0.39,-21.93,-0.46,96.62,0.97,2,-96.62,-95.87,8.15,-47.88,-39.84,50.0,25.0,1.863,2.235,0.1425,0.7656,44.44,2.23,0.21,0.3
2024,v4_micro_or_candle_lower_tf_sl_1_3R,00-05,32,15,17,46.88,-59.61,0.935,-1.86,0.046,516.37,5.1,7,-372.94,10.62,-70.23,-98.41,38.8,71.88,78.12,2.757,3.584,0.1413,0.5523,61.45,2.562,0.195,0.58
2024,v4_micro_or_candle_lower_tf_sl_1_3R,06-10,132,56,76,42.42,-286.25,0.921,-2.17,-0.016,500.31,5.0,5,-250.91,-305.58,19.33,59.34,-345.59,65.91,50.76,2.226,2.894,0.1406,0.4973,59.59,2.308,0.21,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,11-20,70,32,38,45.71,62.12,1.034,0.89,0.045,384.75,3.75,7,-352.74,330.05,-267.93,208.66,-146.54,67.14,60.0,2.367,3.077,0.129,0.4647,49.39,2.425,0.184,0.81
2024,v4_micro_or_candle_lower_tf_sl_1_3R,21+,4,1,3,25.0,-83.31,0.42,-20.83,-0.437,96.62,0.97,2,-96.62,-95.88,12.57,-47.88,-35.43,50.0,25.0,1.863,2.421,0.1425,0.7656,44.44,2.23,0.21,0.3
