scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
D_broad_reduced_h4_ma_bias,USDJPY,525,27.43,0.819,-0.237,-1124.55,1553.15,14.9,1.303,1.466,67.24,47.24,25.33,266,259,-142.44,-982.11,-0.252,-0.222,1,12,USDJPY:525,2025-01:53;2025-02:52;2025-03:44;2025-04:37;2025-05:51;2025-06:43;2025-07:42;2025-08:41;2025-09:37;2025-10:48;2025-11:35;2025-12:42,LONG:266;SHORT:259
E_broad_reduced_m15_close_bos,AUDJPY,4,25.0,0.652,-0.738,-11.54,29.28,0.29,0.619,1.173,75.0,0.0,0.0,2,2,-19.07,7.53,-0.197,-1.278,1,3,AUDJPY:4,2025-04:2;2025-05:1;2025-10:1,LONG:2;SHORT:2
E_broad_reduced_m15_close_bos,EURJPY,15,20.0,0.271,1.1,-173.98,198.83,1.99,1.638,0.625,80.0,66.67,33.33,7,8,-97.38,-76.6,1.314,0.913,1,9,EURJPY:15,2025-01:1;2025-03:5;2025-04:1;2025-05:1;2025-06:1;2025-08:1;2025-09:1;2025-10:3;2025-11:1,LONG:7;SHORT:8
E_broad_reduced_m15_close_bos,EURUSD,18,38.89,2.022,-0.247,132.52,68.94,0.68,1.056,1.115,50.0,33.33,16.67,11,7,-53.39,185.91,-0.121,-0.445,1,9,EURUSD:18,2025-01:1;2025-02:1;2025-03:3;2025-05:5;2025-07:3;2025-08:1;2025-09:2;2025-11:1;2025-12:1,LONG:11;SHORT:7
E_broad_reduced_m15_close_bos,GBPJPY,11,45.45,2.048,0.479,140.11,46.41,0.46,1.188,0.75,54.55,45.45,36.36,8,3,195.09,-54.98,0.518,0.376,1,7,GBPJPY:11,2025-01:2;2025-02:2;2025-03:2;2025-04:2;2025-09:1;2025-10:1;2025-11:1,LONG:8;SHORT:3
E_broad_reduced_m15_close_bos,GBPUSD,16,0.0,0.0,-0.236,-250.32,250.32,2.5,0.846,1.29,50.0,18.75,12.5,9,7,-191.53,-58.79,0.365,-1.008,1,8,GBPUSD:16,2025-01:1;2025-04:1;2025-05:3;2025-06:5;2025-07:1;2025-08:1;2025-09:1;2025-11:3,LONG:9;SHORT:7
E_broad_reduced_m15_close_bos,USDJPY,24,12.5,0.109,-0.05,-231.23,232.55,2.33,0.985,1.04,66.67,37.5,12.5,13,11,-133.48,-97.75,-0.009,-0.098,1,12,USDJPY:24,2025-01:1;2025-02:1;2025-03:1;2025-04:2;2025-05:1;2025-06:3;2025-07:1;2025-08:3;2025-09:4;2025-10:2;2025-11:4;2025-12:1,LONG:13;SHORT:11
F_broad_reduced_room_to_2r_h4_ma,AUDJPY,60,28.33,0.794,-0.159,-204.92,328.33,3.25,1.508,1.324,75.0,56.67,30.0,13,47,58.21,-263.13,0.139,-0.242,1,8,AUDJPY:60,2025-01:6;2025-02:4;2025-03:11;2025-04:25;2025-05:2;2025-09:2;2025-10:4;2025-11:6,LONG:13;SHORT:47
F_broad_reduced_room_to_2r_h4_ma,EURJPY,141,33.33,1.114,-0.167,234.59,416.77,4.17,1.393,1.416,63.83,50.35,30.5,88,53,-330.66,565.25,-0.287,0.033,1,12,EURJPY:141,2025-01:18;2025-02:18;2025-03:27;2025-04:27;2025-05:12;2025-06:10;2025-07:7;2025-08:2;2025-09:3;2025-10:11;2025-11:4;2025-12:2,LONG:88;SHORT:53
F_broad_reduced_room_to_2r_h4_ma,EURUSD,155,29.68,0.887,-0.214,-214.36,575.99,5.63,1.361,1.403,68.39,52.9,29.68,92,63,-140.09,-74.27,-0.145,-0.315,1,12,EURUSD:155,2025-01:13;2025-02:8;2025-03:19;2025-04:28;2025-05:35;2025-06:17;2025-07:7;2025-08:13;2025-09:8;2025-10:2;2025-11:4;2025-12:1,LONG:92;SHORT:63
F_broad_reduced_room_to_2r_h4_ma,GBPJPY,131,27.48,0.812,-0.073,-411.53,469.33,4.67,1.319,1.27,71.76,47.33,29.77,73,58,-109.68,-301.85,0.164,-0.373,1,12,GBPJPY:131,2025-01:19;2025-02:17;2025-03:27;2025-04:21;2025-05:13;2025-06:3;2025-07:2;2025-08:3;2025-09:2;2025-10:15;2025-11:5;2025-12:4,LONG:73;SHORT:58
F_broad_reduced_room_to_2r_h4_ma,GBPUSD,165,27.88,0.843,-0.369,-315.6,704.8,6.81,1.244,1.388,67.88,50.91,24.24,91,74,-528.68,213.08,-0.286,-0.471,1,12,GBPUSD:165,2025-01:21;2025-02:10;2025-03:10;2025-04:28;2025-05:15;2025-06:20;2025-07:12;2025-08:10;2025-09:13;2025-10:8;2025-11:8;2025-12:10,LONG:91;SHORT:74
F_broad_reduced_room_to_2r_h4_ma,USDJPY,400,25.5,0.732,-0.292,-1374.9,1717.01,16.62,1.313,1.537,66.75,47.25,25.5,200,200,-179.37,-1195.53,-0.262,-0.322,1,12,USDJPY:400,2025-01:43;2025-02:45;2025-03:38;2025-04:20;2025-05:43;2025-06:24;2025-07:32;2025-08:34;2025-09:28;2025-10:34;2025-11:27;2025-12:32,LONG:200;SHORT:200
