open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5
2025.02.04 17:20:00,2025.02.05 01:46:44,EURJPY,SHORT,0.3,160.423,159.919,2,3,0.0,-1.88,98.11,96.23,10096.23,tp 159.921,506.73,2025.02.04 17:20:00,2025.02.05 01:45:00
2025.02.21 22:05:00,2025.02.24 01:02:04,XAUUSD,SHORT,0.15,2935.86,2939.32,4,5,0.0,4.06,-51.9,-47.839999999999996,10048.39,sl 2939.19,3057.07,2025.02.21 22:05:00,2025.02.24 01:00:00
2025.02.24 16:50:00,2025.02.24 17:06:13,USDJPY,SHORT,0.9,149.423,149.257,6,7,0.0,0.0,100.1,100.1,10148.49,tp 149.257,16.22,2025.02.24 16:50:00,2025.02.24 17:05:00
