run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
A,BOTH_5m_new_bar,01,61,24,37,39.34,-46.32,1455.39,-1501.71,0.969,-0.76,60.64,-40.59
A,BOTH_5m_new_bar,02,51,14,37,27.45,-682.91,844.32,-1527.23,0.553,-13.39,60.31,-41.28
A,BOTH_5m_new_bar,03,121,47,74,38.84,-113.25,2977.17,-3090.42,0.963,-0.94,63.34,-41.76
A,BOTH_5m_new_bar,04,118,46,72,38.98,-258.33,2750.33,-3008.66,0.914,-2.19,59.79,-41.79
A,BOTH_5m_new_bar,05,68,31,37,45.59,356.79,1772.9,-1416.11,1.252,5.25,57.19,-38.27
A,BOTH_5m_new_bar,06,49,26,23,53.06,530.37,1474.34,-943.97,1.562,10.82,56.71,-41.04
A,BOTH_5m_new_bar,07,36,10,26,27.78,-431.66,590.63,-1022.29,0.578,-11.99,59.06,-39.32
A,BOTH_5m_new_bar,08,57,29,28,50.88,608.17,1739.28,-1131.11,1.538,10.67,59.98,-40.4
A,BOTH_5m_new_bar,09,85,30,55,35.29,-429.97,1811.48,-2241.45,0.808,-5.06,60.38,-40.75
A,BOTH_5m_new_bar,10,119,43,76,36.13,-427.25,2660.8,-3088.05,0.862,-3.59,61.88,-40.63
A,BOTH_5m_new_bar,11,97,41,56,42.27,148.05,2468.2,-2320.15,1.064,1.53,60.2,-41.43
A,BOTH_5m_new_bar,12,49,15,34,30.61,-455.3,908.15,-1363.45,0.666,-9.29,60.54,-40.1
A,BOTH_5m_new_bar,13,51,28,23,54.9,749.81,1690.02,-940.21,1.797,14.7,60.36,-40.88
A,BOTH_5m_new_bar,14,66,23,43,34.85,-241.38,1465.94,-1707.32,0.859,-3.66,63.74,-39.71
A,BOTH_5m_new_bar,15,137,54,83,39.42,-249.7,3416.36,-3666.06,0.932,-1.82,63.27,-44.17
A,BOTH_5m_new_bar,16,152,60,92,39.47,-100.65,3697.75,-3798.4,0.974,-0.66,61.63,-41.29
A,BOTH_5m_new_bar,17,136,52,84,38.24,-60.91,3450.96,-3511.87,0.983,-0.45,66.36,-41.81
A,BOTH_5m_new_bar,18,84,40,44,47.62,485.01,2261.83,-1776.82,1.273,5.77,56.55,-40.38
A,BOTH_5m_new_bar,19,36,14,22,38.89,-81.0,810.06,-891.06,0.909,-2.25,57.86,-40.5
A,BOTH_5m_new_bar,20,33,18,15,54.55,446.72,1021.31,-574.59,1.777,13.54,56.74,-38.31
A,BOTH_5m_new_bar,21,29,11,18,37.93,-82.59,632.61,-715.2,0.885,-2.85,57.51,-39.73
A,BOTH_5m_new_bar,22,32,14,18,43.75,-40.37,745.74,-786.11,0.949,-1.26,53.27,-43.67
A,BOTH_5m_new_bar,23,23,6,17,26.09,-374.24,285.83,-660.07,0.433,-16.27,47.64,-38.83
B,LONG_ONLY_5m_new_bar,01,45,20,25,44.44,314.99,1577.38,-1262.39,1.25,7.0,78.87,-50.5
B,LONG_ONLY_5m_new_bar,02,33,13,20,39.39,11.58,1055.37,-1043.79,1.011,0.35,81.18,-52.19
B,LONG_ONLY_5m_new_bar,03,89,34,55,38.2,-170.75,2730.13,-2900.88,0.941,-1.92,80.3,-52.74
B,LONG_ONLY_5m_new_bar,04,83,35,48,42.17,169.57,2579.54,-2409.97,1.07,2.04,73.7,-50.21
B,LONG_ONLY_5m_new_bar,05,44,23,21,52.27,648.88,1669.0,-1020.12,1.636,14.75,72.57,-48.58
B,LONG_ONLY_5m_new_bar,06,36,17,19,47.22,291.87,1275.96,-984.09,1.297,8.11,75.06,-51.79
B,LONG_ONLY_5m_new_bar,07,29,11,18,37.93,-55.31,855.59,-910.9,0.939,-1.91,77.78,-50.61
B,LONG_ONLY_5m_new_bar,08,43,20,23,46.51,396.32,1575.43,-1179.11,1.336,9.22,78.77,-51.27
B,LONG_ONLY_5m_new_bar,09,62,22,40,35.48,-234.05,1710.27,-1944.32,0.88,-3.77,77.74,-48.61
B,LONG_ONLY_5m_new_bar,10,79,31,48,39.24,-88.68,2328.13,-2416.81,0.963,-1.12,75.1,-50.35
B,LONG_ONLY_5m_new_bar,11,71,31,40,43.66,293.14,2320.39,-2027.25,1.145,4.13,74.85,-50.68
B,LONG_ONLY_5m_new_bar,12,32,11,21,34.38,-252.23,838.84,-1091.07,0.769,-7.88,76.26,-51.96
B,LONG_ONLY_5m_new_bar,13,37,19,18,51.35,466.56,1384.22,-917.66,1.508,12.61,72.85,-50.98
B,LONG_ONLY_5m_new_bar,14,43,21,22,48.84,550.2,1627.28,-1077.08,1.511,12.8,77.49,-48.96
B,LONG_ONLY_5m_new_bar,15,87,31,56,35.63,-619.44,2400.45,-3019.89,0.795,-7.12,77.43,-53.93
B,LONG_ONLY_5m_new_bar,16,106,42,64,39.62,-169.14,3084.49,-3253.63,0.948,-1.6,73.44,-50.84
B,LONG_ONLY_5m_new_bar,17,103,45,58,43.69,980.92,3936.15,-2955.23,1.332,9.52,87.47,-50.95
B,LONG_ONLY_5m_new_bar,18,60,32,28,53.33,877.33,2243.55,-1366.22,1.642,14.62,70.11,-48.79
B,LONG_ONLY_5m_new_bar,19,26,10,16,38.46,-131.39,666.31,-797.7,0.835,-5.05,66.63,-49.86
B,LONG_ONLY_5m_new_bar,20,25,15,10,60.0,569.74,1097.84,-528.1,2.079,22.79,73.19,-52.81
B,LONG_ONLY_5m_new_bar,21,18,8,10,44.44,-19.31,518.62,-537.93,0.964,-1.07,64.83,-53.79
B,LONG_ONLY_5m_new_bar,22,18,9,9,50.0,168.41,666.68,-498.27,1.338,9.36,74.08,-55.36
B,LONG_ONLY_5m_new_bar,23,15,5,10,33.33,-221.39,303.77,-525.16,0.578,-14.76,60.75,-52.52
C,SHORT_ONLY_5m_new_bar,01,16,6,10,37.5,-76.19,307.14,-383.33,0.801,-4.76,51.19,-38.33
