period,run,scenario,strategy_family,group,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_balance_dd,max_balance_dd_pct
2025-02,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,unclear,16,10,6,62.5,373.68,2.293,23.36,,102.46,0.99
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,candle_reversal,10,5,5,50.0,107.65,1.439,10.77,,120.46,1.19
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,early_higher_low,8,5,3,62.5,253.21,3.201,31.65,,50.86,0.5
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,early_lower_high,4,1,3,25.0,-75.92,0.51,-18.98,,155.07,1.54
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,micro_break,4,2,2,50.0,37.92,1.381,9.48,,99.42,0.99
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,momentum_turn,1,0,1,0.0,-44.68,0.0,-44.68,,44.68,0.45
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,clean_nested_nwave_entry,1,0,1,0.0,-50.82,0.0,-50.82,,50.82,0.51
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,neckline_break_initial,2,1,1,50.0,52.25,2.159,26.12,,45.07,0.45
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,neckline_break_late,9,2,7,22.22,-168.37,0.52,-18.71,,168.37,1.68
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,clean_nested_nwave_entry,1,0,1,0.0,-50.82,0.0,-50.82,,50.82,0.51
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,neckline_break_initial,2,1,1,50.0,52.25,2.159,26.12,,45.07,0.45
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,neckline_break_late,10,3,7,30.0,-72.85,0.792,-7.28,,111.14,1.11
2025-08,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,unclear,13,5,8,38.46,-40.11,0.899,-3.09,,247.81,2.45
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,candle_reversal,16,8,8,50.0,183.69,1.452,11.48,,104.7,1.03
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,early_higher_low,9,3,6,33.33,-86.76,0.711,-9.64,,249.35,2.45
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,early_lower_high,4,2,2,50.0,50.16,1.503,12.54,,99.76,0.98
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,micro_break,4,2,2,50.0,48.79,1.471,12.2,,103.65,1.03
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,neckline_break_late,2,1,1,50.0,27.14,1.514,13.57,,52.77,0.52
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,neckline_break_late,2,1,1,50.0,27.14,1.514,13.57,,52.77,0.52
2025-10,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,unclear,20,11,9,55.0,345.18,1.823,17.26,,176.76,1.75
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,candle_reversal,15,5,10,33.33,-123.14,0.737,-8.21,,223.04,2.23
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,early_higher_low,16,7,9,43.75,78.16,1.193,4.89,,220.76,2.14
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,early_lower_high,5,2,3,40.0,-17.64,0.882,-3.53,,101.24,1.01
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,micro_break,2,2,0,100.0,141.86,,70.93,,0.0,0.0
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,neckline_break_initial,3,2,1,66.67,114.14,3.311,38.05,,49.4,0.49
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,neckline_break_late,1,1,0,100.0,98.56,,98.56,,0.0,0.0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,neckline_break_initial,3,2,1,66.67,114.14,3.311,38.05,,49.4,0.49
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,neckline_break_late,2,2,0,100.0,199.43,,99.72,,0.0,0.0
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,unclear,60,27,33,45.0,610.21,1.402,10.17,,278.5,2.65
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,candle_reversal,39,18,21,46.15,736.9,1.719,18.89,,413.87,3.74
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,confirmed_fractal_reclaim,3,1,2,33.33,-16.37,0.808,-5.46,,85.07,0.84
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,early_higher_low,16,4,12,25.0,-289.18,0.5,-18.07,,289.18,2.89
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,early_lower_high,28,13,15,46.43,274.84,1.347,9.82,,203.55,1.96
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,micro_break,10,7,3,70.0,340.88,3.196,34.09,,57.2,0.55
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,chasing_after_break,2,0,2,0.0,-93.77,0.0,-46.88,,93.77,0.94
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,clean_nested_nwave_entry,3,0,3,0.0,-130.75,0.0,-43.58,,130.75,1.31
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,neckline_break_initial,5,0,5,0.0,-243.67,0.0,-48.73,,243.67,2.44
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,neckline_break_late,15,3,12,20.0,-294.89,0.464,-19.66,,408.7,4.06
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,chasing_after_break,2,0,2,0.0,-93.77,0.0,-46.88,,93.77,0.94
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,clean_nested_nwave_entry,3,0,3,0.0,-130.75,0.0,-43.58,,130.75,1.31
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,neckline_break_initial,5,0,5,0.0,-243.67,0.0,-48.73,,243.67,2.44
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,neckline_break_late,17,4,13,23.53,-248.49,0.586,-14.62,,362.3,3.6
