period,scenario,run,entry_selection_mode,candidate_index,time,month,hour,session,symbol,direction,fx_bucket,event,router_decision,breakout_quality_label,breakout_quality_reason,fail_reason,execution_block_reason,label,fib_zone,neckline_break_label,h4_trend_state,h1_counter_trend_state,h4_fib_retracement_pct,entry_price,sl,tp,volume,risk_r,rr,sl_atr,tp_atr,neckline_price,right_side_level,distance_neckline_to_entry_atr,breakout_close_distance_from_neckline_atr,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,hypothetical_exit_time,hypothetical_exit_price,hypothetical_outcome,hypothetical_result_R,hypothetical_net_profit,same_bar_ambiguous,bars_to_exit,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,time_to_0_5R,time_to_1R,time_to_1_5R,time_to_2R,time_to_3R,false_break_return_inside_neckline,false_break_return_bars
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,1,2026.01.02 11:19:59,2026-01,11,server_08_15,EURUSD,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,52.34,1.17354,1.1748,1.17102,0.39,0.00126,2.0,2.06,4.11,1.17407,1.17464,0.86,1.63,0.29,0.46,1.57,0.18,0.53,5,2026.01.02 17:55:00,1.1748,sl_hit,-1.0,-49.14,0,79,1.825,1.27,1,1,1,0,0,5.0,30.0,50.0,,,0,
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,2,2026.01.02 18:04:59,2026-01,18,server_16_23,EURJPY,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,clean_nested_nwave_entry,bullish_nwave,bearish_counter_nwave,57.32,183.987,183.779,184.403,0.37,0.208,2.0,1.75,3.5,183.985,183.809,0.02,0.04,0.34,0.53,1.58,0.18,0.82,8,2026.01.02 22:55:00,183.779,sl_hit,-1.0,-48.06,0,58,0.236,1.014,0,0,0,0,0,,,,,,1,0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,8,2026.01.08 09:04:59,2026-01,09,server_08_15,EURJPY,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close|large_directional_wick|sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,48.67,182.936,183.112,182.584,0.44,0.176,2.0,2.16,4.32,182.953,183.082,0.21,0.56,0.33,0.29,0.9,0.45,0.22,4,2026.01.08 16:05:00,183.112,sl_hit,-1.0,-48.35,0,84,1.33,1.062,1,1,0,0,0,25.0,50.0,,,,1,3
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,9,2026.01.14 20:04:59,2026-01,20,server_16_23,USDJPY,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close|sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,41.67,158.363,158.097,158.895,0.29,0.266,2.0,2.2,4.39,158.277,158.115,0.71,0.14,0.65,0.26,0.4,0.12,0.22,12,2026.01.16 04:40:00,158.097,sl_hit,-1.0,-48.79,0,391,1.914,1.5,1,1,1,0,0,100.0,545.0,1170.0,,,0,
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,15,2026.01.16 18:04:59,2026-01,18,server_16_23,GBPUSD,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close|sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,49.51,1.33826,1.34046,1.33386,0.22,0.0022,2.0,2.17,4.34,1.33945,1.34031,1.17,1.71,0.57,0.66,1.16,0.02,0.41,6,2026.01.19 01:40:00,1.34046,sl_hit,-1.0,-48.4,0,91,1.864,1.077,1,1,1,0,0,3235.0,3235.0,3235.0,,,0,
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,16,2026.01.16 18:19:59,2026-01,18,server_16_23,GBPUSD,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close|sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,49.51,1.33821,1.34047,1.33369,0.22,0.00226,2.0,2.12,4.24,1.33945,1.34031,1.16,0.59,0.9,1.04,1.16,0.0,0.1,6,2026.01.19 01:40:00,1.34047,sl_hit,-1.0,-49.72,0,88,1.792,1.071,1,1,1,0,0,3220.0,3220.0,3220.0,,,0,
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,17,2026.01.16 18:34:59,2026-01,18,server_16_23,GBPUSD,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,large_directional_wick|sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,49.51,1.33833,1.34046,1.33407,0.23,0.00213,2.0,2.06,4.12,1.33945,1.34031,1.08,1.01,0.47,0.4,0.84,0.53,0.47,6,2026.01.19 01:40:00,1.34046,sl_hit,-1.0,-48.99,0,85,1.958,1.08,1,1,1,0,0,3205.0,3205.0,3205.0,,,0,
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,21,2026.01.21 16:04:59,2026-01,16,server_16_23,GBPUSD,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,58.18,1.34319,1.34101,1.34755,0.22,0.00218,2.0,2.16,4.31,1.34267,1.34116,0.51,1.42,0.76,1.31,1.74,0.12,0.88,4,2026.01.21 21:30:00,1.34101,sl_hit,-1.0,-47.96,0,65,1.22,1.032,1,1,0,0,0,25.0,35.0,,,,1,2
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,23,2026.01.21 17:19:59,2026-01,17,server_16_23,GBPUSD,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close|large_directional_wick,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,58.18,1.34412,1.34204,1.34828,0.24,0.00208,2.0,1.64,3.28,1.34433,1.34219,0.17,0.57,0.03,0.02,0.78,0.81,0.19,3,2026.01.21 19:35:00,1.34204,sl_hit,-1.0,-49.92,0,27,0.168,1.058,0,0,0,0,0,,,,,,1,0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,24,2026.01.23 17:34:59,2026-01,17,server_16_23,USDJPY,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance|sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,clean_nested_nwave_entry,bullish_nwave,bearish_counter_nwave,54.84,158.265,158.065,158.665,0.39,0.2,2.0,2.13,4.26,158.254,158.084,0.12,0.07,0.74,0.92,1.25,0.03,0.97,10,2026.01.23 18:15:00,158.065,sl_hit,-1.0,-49.35,0,8,0.0,1.355,0,0,0,0,0,,,,,,1,0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,25,2026.01.28 13:04:59,2026-01,13,server_08_15,GBPUSD,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,40.03,1.37814,1.37737,1.37968,0.64,0.00077,2.0,0.62,1.25,1.37917,1.37756,0.83,0.03,0.12,0.09,0.73,0.78,0.22,8,2026.01.28 13:05:00,1.37737,sl_hit,-1.0,-49.28,0,0,0.0,1.013,0,0,0,0,0,,,,,,1,0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,26,2026.01.28 20:04:59,2026-01,20,server_16_23,GBPUSD,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,clean_nested_nwave_entry,bullish_nwave,bearish_counter_nwave,38.91,1.37888,1.37696,1.38272,0.26,0.00192,2.0,1.02,2.05,1.37869,1.37714,0.1,0.1,0.87,0.7,0.8,0.08,0.92,14,2026.01.28 20:35:00,1.37696,sl_hit,-1.0,-49.92,0,6,0.146,1.057,0,0,0,0,0,,,,,,1,0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,27,2026.01.29 00:19:59,2026-01,00,server_00_07,EURUSD,LONG,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_initial,bullish_nwave,bearish_counter_nwave,55.91,1.19579,1.19365,1.20007,0.23,0.00214,2.0,1.5,2.99,1.19521,1.19408,0.41,0.13,0.19,0.09,0.48,0.01,0.99,3,2026.01.29 17:15:00,1.19365,sl_hit,-1.0,-49.22,0,203,1.771,1.925,1,1,1,0,0,65.0,95.0,400.0,,,0,
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,28,2026.01.29 00:34:59,2026-01,00,server_00_07,EURUSD,LONG,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,55.91,1.1958,1.19369,1.20002,0.23,0.00211,2.0,1.54,3.09,1.19521,1.19408,0.43,0.15,0.33,0.02,0.07,0.0,1.0,4,2026.01.29 17:15:00,1.19369,sl_hit,-1.0,-48.53,0,200,1.791,1.957,1,1,1,0,0,50.0,80.0,330.0,,,0,
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,29,2026.01.29 00:49:52,2026-01,00,server_00_07,EURUSD,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,55.91,1.19581,1.19369,1.20005,0.23,0.00212,2.0,1.92,3.84,1.19521,1.19408,0.54,0.16,0.3,0.03,0.09,0.3,0.4,4,2026.01.29 17:15:00,1.19369,sl_hit,-1.0,-48.76,0,197,1.778,1.953,1,1,1,0,0,35.1,65.1,370.1,,,0,
