period,scenario,event,symbol,direction,session,label,fail_reason,breakout_quality_label,breakout_quality_reason,breakout_close_distance_from_neckline_atr,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_08_15,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.35,0.73,0.81,1.12,0.1,0.9,11
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_08_15,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.35,0.73,0.81,1.12,0.1,0.9,11
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,order_blocked,XAUUSD,LONG,server_00_07,strong_breakout,max_positions,strong_breakout,instant_entry_quality,0.31,0.67,0.43,0.65,0.22,0.78,13
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,SHORT,server_08_15,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.46,0.78,0.44,0.56,0.22,0.78,10
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,USDJPY,SHORT,server_16_23,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.59,0.64,0.93,1.45,0.19,0.81,11
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,EURUSD,SHORT,server_08_15,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.43,0.83,0.96,1.15,0.06,0.94,4
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,order_blocked,XAUUSD,LONG,server_00_07,strong_breakout,existing_position,strong_breakout,instant_entry_quality,0.31,0.67,0.43,0.65,0.22,0.78,13
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,AUDJPY,SHORT,server_08_15,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.46,0.78,0.44,0.56,0.22,0.78,10
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,USDJPY,SHORT,server_16_23,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.59,0.64,0.93,1.45,0.19,0.81,11
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,EURUSD,SHORT,server_08_15,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.43,0.83,0.96,1.15,0.06,0.94,4
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,EURUSD,SHORT,server_08_15,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.3,0.58,0.42,0.72,0.24,0.76,5
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,USDJPY,SHORT,server_00_07,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,1.17,0.83,0.15,0.19,0.17,0.83,8
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,GBPUSD,SHORT,server_00_07,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.34,0.81,0.53,0.66,0.0,1.0,9
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,EURUSD,SHORT,server_08_15,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.3,0.58,0.42,0.72,0.24,0.76,5
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,USDJPY,SHORT,server_00_07,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,1.17,0.83,0.15,0.19,0.17,0.83,8
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,GBPUSD,SHORT,server_00_07,strong_breakout,spread_guard,strong_breakout,instant_entry_quality,0.34,0.81,0.53,0.66,0.0,1.0,9
