period,scenario,symbol,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2024,context_router_v2_all_r12,AUDJPY,1,0,1,0.0,-50.32,0.0,-50.32,-1.0,50.32,0.5,1
2024,context_router_v2_all_r12,EURJPY,5,1,4,20.0,-138.58,0.299,-27.72,-0.567,197.79,1.97,4
2024,context_router_v2_all_r12,GBPJPY,2,1,1,50.0,10.64,1.216,5.32,0.104,49.37,0.49,1
2024,context_router_v2_all_r12,GBPUSD,3,2,1,66.67,67.26,2.335,22.42,0.471,50.4,0.5,1
2024,context_router_v2_all_r12,USDJPY,4,2,2,50.0,22.01,1.223,5.5,0.094,98.68,0.98,2
2024,context_router_v2_all_r12,XAUUSD,13,6,7,46.15,14.87,1.042,1.14,0.014,155.35,1.53,3
2024,context_router_v3_all_r12,AUDJPY,1,0,1,0.0,-50.32,0.0,-50.32,-1.0,50.32,0.5,1
2024,context_router_v3_all_r12,EURJPY,5,1,4,20.0,-138.58,0.299,-27.72,-0.567,197.79,1.97,4
2024,context_router_v3_all_r12,GBPJPY,2,1,1,50.0,10.64,1.216,5.32,0.104,49.37,0.49,1
2024,context_router_v3_all_r12,GBPUSD,3,2,1,66.67,67.26,2.335,22.42,0.471,50.4,0.5,1
2024,context_router_v3_all_r12,USDJPY,4,2,2,50.0,22.01,1.223,5.5,0.094,98.68,0.98,2
2024,context_router_v3_all_r12,XAUUSD,13,6,7,46.15,14.87,1.042,1.14,0.014,155.35,1.53,3
2024,instant_all_r12,AUDJPY,1,0,1,0.0,-49.75,0.0,-49.75,-1.0,49.75,0.5,1
2024,instant_all_r12,EURJPY,15,6,9,40.0,-85.45,0.808,-5.7,-0.12,335.73,3.29,4
2024,instant_all_r12,GBPJPY,11,3,8,27.27,-222.95,0.442,-20.27,-0.402,250.12,2.49,5
2024,instant_all_r12,GBPUSD,5,4,1,80.0,189.09,4.693,37.82,0.762,51.2,0.51,1
2024,instant_all_r12,USDJPY,10,5,5,50.0,58.59,1.236,5.86,0.103,145.16,1.43,3
2024,instant_all_r12,XAUUSD,36,15,21,41.67,-143.49,0.862,-3.99,-0.088,309.9,3.05,5
2025,context_router_v2_all_r12,AUDJPY,3,2,1,66.67,66.12,2.33,22.04,0.47,49.7,0.49,1
2025,context_router_v2_all_r12,EURJPY,2,1,1,50.0,11.02,1.23,5.51,0.11,47.83,0.48,1
2025,context_router_v2_all_r12,EURUSD,3,1,2,33.33,-48.19,0.548,-16.06,-0.323,57.2,0.57,1
2025,context_router_v2_all_r12,GBPJPY,3,2,1,66.67,66.11,2.367,22.04,0.467,48.35,0.48,1
2025,context_router_v2_all_r12,GBPUSD,1,0,1,0.0,-47.05,0.0,-47.05,-1.0,47.05,0.47,1
2025,context_router_v2_all_r12,USDJPY,3,1,2,33.33,-44.4,0.568,-14.8,-0.273,52.56,0.53,1
2025,context_router_v2_all_r12,XAUUSD,21,9,12,42.86,-256.64,0.649,-12.22,-0.21,427.13,4.27,4
2025,context_router_v3_all_r12,AUDJPY,3,2,1,66.67,66.12,2.33,22.04,0.47,49.7,0.49,1
2025,context_router_v3_all_r12,EURJPY,2,1,1,50.0,11.02,1.23,5.51,0.11,47.83,0.48,1
2025,context_router_v3_all_r12,EURUSD,3,1,2,33.33,-48.19,0.548,-16.06,-0.323,57.2,0.57,1
2025,context_router_v3_all_r12,GBPJPY,3,2,1,66.67,66.11,2.367,22.04,0.467,48.35,0.48,1
2025,context_router_v3_all_r12,GBPUSD,1,0,1,0.0,-49.4,0.0,-49.4,-1.0,49.4,0.49,1
2025,context_router_v3_all_r12,USDJPY,3,1,2,33.33,-44.4,0.568,-14.8,-0.273,52.56,0.53,1
2025,context_router_v3_all_r12,XAUUSD,20,9,11,45.0,-46.29,0.914,-2.31,-0.017,231.62,2.32,4
2025,instant_all_r12,AUDJPY,3,2,1,66.67,64.37,2.357,21.46,0.466,47.44,0.47,1
2025,instant_all_r12,EURJPY,10,5,5,50.0,34.42,1.14,3.44,0.1,146.31,1.46,3
2025,instant_all_r12,EURUSD,8,3,5,37.5,-76.61,0.701,-9.58,-0.183,104.62,1.04,2
2025,instant_all_r12,GBPJPY,13,5,8,38.46,-122.36,0.698,-9.41,-0.163,180.33,1.79,2
2025,instant_all_r12,GBPUSD,1,0,1,0.0,-49.4,0.0,-49.4,-1.0,49.4,0.49,1
2025,instant_all_r12,USDJPY,12,6,6,50.0,41.82,1.14,3.49,0.099,194.4,1.94,3
2025,instant_all_r12,XAUUSD,45,24,21,53.33,161.21,1.141,3.58,0.106,428.09,4.23,5
2026YTD,context_router_v2_all_r12,GBPUSD,2,2,0,100.0,116.92,,58.46,1.203,0.0,0.0,0
2026YTD,context_router_v2_all_r12,USDJPY,3,1,2,33.33,-43.71,0.568,-14.57,-0.273,101.17,1.01,2
2026YTD,context_router_v2_all_r12,XAUUSD,7,3,4,42.86,-38.45,0.771,-5.49,-0.076,82.08,0.82,2
2026YTD,context_router_v3_all_r12,GBPUSD,2,2,0,100.0,116.92,,58.46,1.203,0.0,0.0,0
2026YTD,context_router_v3_all_r12,USDJPY,3,1,2,33.33,-43.71,0.568,-14.57,-0.273,101.17,1.01,2
2026YTD,context_router_v3_all_r12,XAUUSD,6,2,4,33.33,-90.01,0.465,-15.0,-0.289,90.01,0.9,2
2026YTD,instant_all_r12,AUDJPY,1,1,0,100.0,57.54,,57.54,1.2,0.0,0.0,0
