run,group,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_win,avg_loss
stop_off,60-65,645,249,396,38.6,-980.9,0.941,-1.52,63.05,-42.12
stop_off,65-70,528,213,315,40.34,-8.21,0.999,-0.02,59.08,-39.97
stop_off,70-75,418,184,234,44.02,1307.58,1.135,3.13,59.59,-41.27
stop_off,75-80,64,16,48,25.0,-1046.05,0.492,-16.34,63.28,-42.88
stop_off,80+,37,15,22,40.54,54.67,1.064,1.48,60.4,-38.7
stop_on,60-65,111,43,68,38.74,-251.65,0.928,-2.27,74.95,-51.09
stop_on,65-70,38,17,21,44.74,185.75,1.175,4.89,73.28,-50.48
stop_on,70-75,56,23,33,41.07,-57.88,0.967,-1.03,74.6,-53.75
stop_on,75-80,15,3,12,20.0,-383.86,0.378,-25.59,77.85,-51.45
stop_on,80+,5,2,3,40.0,7.43,1.051,1.49,76.11,-48.26
